date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,903.50,933.85,896.90,926.20,903.33,903.50,1106,903.33,903.33,true,15.93,2198.19,-2402.14,-0.24,997597.86
2025-01-02,926.20,939.80,922.00,930.00,924.06,926.20,1077,924.06,924.06,true,15.93,2192.00,-4512.71,-0.45,993085.15
2025-01-03,930.00,925.45,878.75,882.20,930.85,930.00,1067,930.85,882.20,false,15.93,2126.98,-53145.51,-5.36,939939.64
2025-01-06,882.20,903.05,882.30,886.00,910.26,882.20,1065,910.26,886.00,false,15.93,2071.45,1959.62,0.21,941899.26
2025-01-07,886.00,891.05,860.00,872.00,893.25,886.00,1063,893.25,872.00,false,15.93,2055.63,-16953.56,-1.80,924945.70
2025-01-08,872.00,900.25,870.10,885.70,870.55,872.00,1060,870.55,870.55,true,15.93,2031.81,-3584.74,-0.39,921360.96
2025-01-09,885.70,892.25,842.50,853.00,886.82,885.70,1040,886.82,886.82,true,15.93,2027.76,-878.89,-0.10,920482.07
2025-01-10,853.00,855.30,797.00,810.00,857.10,853.00,1079,857.10,810.00,false,15.93,1973.81,-48386.74,-5.26,872095.32
2025-01-13,810.00,853.95,817.50,844.10,818.01,810.00,1076,818.01,818.01,true,15.93,1926.91,6675.92,0.77,878771.24
2025-01-14,844.10,862.00,832.85,850.00,835.15,844.10,1041,835.15,835.15,true,15.93,1922.91,-11255.79,-1.28,867515.45
2025-01-15,850.00,899.60,856.60,894.05,848.49,850.00,1020,848.49,894.05,false,15.93,1956.82,42958.25,4.95,910473.70
2025-01-16,894.05,914.40,882.50,897.00,885.96,894.05,1018,885.96,885.96,true,15.93,1993.26,-10244.81,-1.13,900228.89
2025-01-17,897.00,919.10,894.80,910.25,902.69,897.00,1003,902.69,902.69,true,15.93,1985.60,3705.54,0.41,903934.43
2025-01-20,910.25,935.80,890.40,898.95,904.84,910.25,993,904.84,904.84,true,15.93,1982.62,-7370.68,-0.82,896563.75
2025-01-21,898.95,935.00,846.90,908.00,909.22,898.95,997,909.22,909.22,true,15.93,1983.02,8240.24,0.92,904803.99
2025-01-22,908.00,907.20,875.60,878.55,889.66,908.00,996,889.66,889.66,true,15.93,1969.52,-20252.09,-2.24,884551.90
2025-01-23,878.55,884.65,851.10,864.00,892.50,878.55,1006,892.50,864.00,false,15.93,1928.31,-16581.54,-1.88,867970.37
2025-01-24,864.00,860.00,776.20,812.00,863.30,864.00,1004,863.30,812.00,false,15.93,1850.97,-54074.90,-6.23,813895.46
2025-01-27,812.00,862.00,791.15,842.90,810.57,812.00,1002,810.57,810.57,true,15.93,1788.40,-3237.19,-0.40,810658.28
2025-01-28,842.90,876.30,827.45,870.00,825.95,842.90,961,825.95,870.00,false,15.93,1810.71,24216.46,2.99,834874.74
2025-01-29,870.00,882.55,851.00,859.55,858.16,870.00,959,858.16,858.16,true,15.93,1823.04,-13193.53,-1.58,821681.21
2025-01-30,859.55,887.00,854.00,886.50,863.43,859.55,955,863.43,863.43,true,15.93,1809.99,1879.48,0.23,823560.69
2025-01-31,886.50,921.75,873.60,887.25,875.40,886.50,929,875.40,875.40,true,15.93,1800.49,-12128.32,-1.47,811432.38
2025-02-01,887.25,896.00,871.75,879.50,898.90,887.25,914,898.90,879.50,false,15.93,1776.29,-8875.72,-1.09,802556.66
2025-02-03,879.50,887.50,858.00,869.75,878.61,879.50,912,878.61,878.61,true,15.93,1763.74,-2591.35,-0.32,799965.31
2025-02-04,869.75,908.85,870.40,899.00,871.46,869.75,919,871.46,871.46,true,15.93,1760.19,-204.63,-0.03,799760.68
2025-02-05,899.00,916.15,895.85,905.05,895.83,899.00,889,895.83,905.05,false,15.93,1764.18,3598.34,0.45,803359.02
2025-02-06,905.05,929.00,881.00,889.90,906.34,905.05,887,906.34,906.34,true,15.93,1767.37,-639.07,-0.08,802719.95
2025-02-07,889.90,892.50,858.05,866.80,905.17,889.90,902,905.17,866.80,false,15.93,1743.00,-22595.13,-2.81,780124.82
2025-02-10,866.80,863.95,827.00,829.00,868.77,866.80,900,868.77,829.00,false,15.93,1678.84,-35714.77,-4.58,744410.05
2025-02-11,829.00,830.45,787.00,819.00,837.64,829.00,897,837.64,819.00,false,15.93,1626.08,-10612.01,-1.43,733798.04
2025-02-12,819.00,843.30,802.65,805.90,809.21,819.00,895,809.21,809.21,true,15.93,1602.97,-10380.95,-1.42,723417.08
2025-02-13,805.90,816.95,777.70,787.75,823.19,805.90,897,823.19,787.75,false,15.93,1572.45,-17868.93,-2.47,705548.15
2025-02-14,787.75,806.90,768.05,778.95,792.56,787.75,895,792.56,792.56,true,15.93,1555.82,2733.20,0.39,708281.36
2025-02-17,778.95,803.00,770.10,800.00,783.31,778.95,909,783.31,783.31,true,15.93,1562.10,2385.21,0.34,710666.56
2025-02-18,800.00,824.75,791.00,811.00,790.10,800.00,888,790.10,811.00,false,15.93,1573.62,8178.45,1.15,718845.01
2025-02-19,811.00,829.90,805.05,828.90,813.22,811.00,886,813.22,813.22,true,15.93,1582.96,368.03,0.05,719213.03
2025-02-20,828.90,845.00,800.60,806.75,819.61,828.90,867,819.61,819.61,true,15.93,1572.18,-9642.54,-1.34,709570.49
2025-02-21,806.75,799.00,780.70,791.25,816.26,806.75,879,816.26,791.25,false,15.93,1545.11,-15185.54,-2.14,694384.95
2025-02-24,791.25,801.65,784.05,788.95,788.14,791.25,877,788.14,788.14,true,15.93,1523.64,-4267.04,-0.61,690117.91
2025-02-25,788.95,799.40,772.00,783.05,794.05,788.95,874,794.05,794.05,true,15.93,1521.90,2919.57,0.42,693037.49
2025-02-27,783.05,781.15,746.70,760.30,780.74,783.05,885,780.74,780.74,true,15.93,1522.35,-3582.63,-0.52,689454.86
2025-02-28,760.30,775.65,754.20,767.00,760.26,760.30,906,760.26,760.26,true,15.93,1515.39,-1567.56,-0.23,687887.30
2025-03-03,767.00,794.40,751.20,790.00,762.48,767.00,896,762.48,762.48,true,15.93,1507.46,-5573.31,-0.81,682313.99
2025-03-04,790.00,807.00,778.10,805.00,778.75,790.00,863,778.75,778.75,true,15.93,1489.21,-11213.89,-1.64,671100.10
2025-03-05,805.00,829.55,796.85,810.00,796.39,805.00,833,796.39,810.00,false,15.93,1479.82,2669.25,0.40,673769.34
2025-03-06,810.00,827.85,805.10,814.00,814.17,810.00,831,814.17,814.17,true,15.93,1484.65,1964.69,0.29,675734.03
2025-03-07,814.00,833.50,783.40,787.00,817.03,814.00,830,817.03,817.03,true,15.93,1489.13,1009.84,0.15,676743.87
2025-03-10,787.00,800.05,775.00,788.75,802.66,787.00,859,802.66,788.75,false,15.93,1488.93,-1.61,-0.00,676742.26
