date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,260.00,262.70,253.00,257.10,257.60,261.66,TRADE,257.60,261.66,261.66,true,4.06,1.58
2025-01-03,257.90,260.80,254.05,254.90,257.10,257.02,SKIP,,,,,,
2025-01-06,255.00,255.65,244.20,247.45,254.90,257.52,TRADE,254.90,257.52,247.45,false,-7.45,-2.92
2025-01-07,248.10,253.35,248.10,250.35,247.45,249.22,TRADE,247.45,249.22,249.22,true,1.77,0.72
2025-01-08,252.00,252.50,245.00,245.25,250.35,251.25,SKIP,,,,,,
2025-01-09,245.55,251.15,233.30,237.95,245.25,246.54,TRADE,245.25,246.54,246.54,true,1.29,0.53
2025-01-10,237.15,238.95,218.00,225.05,237.95,241.74,TRADE,237.95,241.74,225.05,false,-12.90,-5.42
2025-01-13,215.05,242.50,215.00,233.95,225.05,224.02,SKIP,,,,,,
2025-01-14,236.95,241.10,224.50,235.50,233.95,234.52,SKIP,,,,,,
2025-01-15,236.90,237.45,229.25,230.10,235.50,231.18,TRADE,235.50,231.18,231.18,true,-4.32,-1.83
2025-01-16,233.90,236.90,232.75,233.80,230.10,232.03,TRADE,230.10,232.03,233.80,false,3.70,1.61
2025-01-17,233.95,234.00,228.80,230.10,233.80,234.58,SKIP,,,,,,
2025-01-20,232.80,244.45,229.40,241.10,230.10,230.63,SKIP,,,,,,
2025-01-21,242.05,247.10,238.50,240.30,241.10,238.73,TRADE,241.10,238.73,238.73,true,-2.37,-0.98
2025-01-22,241.60,244.15,236.65,241.95,240.30,242.64,TRADE,240.30,242.64,242.64,true,2.34,0.97
2025-01-23,242.30,251.95,238.60,239.75,241.95,240.70,TRADE,241.95,240.70,240.70,true,-1.25,-0.52
2025-01-24,239.70,240.45,230.35,232.25,239.75,245.48,TRADE,239.75,245.48,232.25,false,-7.50,-3.13
2025-01-27,232.05,233.60,221.90,224.45,232.25,235.96,TRADE,232.25,235.96,224.45,false,-7.80,-3.36
2025-01-28,226.45,227.15,211.30,216.25,224.45,226.74,TRADE,224.45,226.74,226.74,true,2.29,1.02
2025-01-29,205.25,245.00,205.25,238.00,216.25,217.17,SKIP,,,,,,
2025-01-30,236.45,241.35,229.75,230.60,238.00,228.73,TRADE,238.00,228.73,230.60,false,-7.40,-3.11
