date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,1331.65,1341.60,1309.70,1335.05,1328.50,1353.64,TRADE,1328.50,1353.64,1335.05,false,6.55,0.49
2025-01-03,1336.00,1379.00,1317.30,1327.00,1335.05,1323.19,TRADE,1335.05,1323.19,1323.19,true,-11.86,-0.89
2025-01-06,1334.00,1339.00,1263.55,1277.00,1327.00,1354.27,TRADE,1327.00,1354.27,1277.00,false,-50.00,-3.77
2025-01-07,1280.00,1311.00,1271.25,1308.00,1277.00,1297.54,TRADE,1277.00,1297.54,1297.54,true,20.54,1.61
2025-01-08,1295.00,1304.90,1220.25,1253.00,1308.00,1294.74,TRADE,1308.00,1294.74,1294.74,true,-13.26,-1.01
2025-01-09,1252.00,1252.00,1201.15,1201.70,1253.00,1256.88,SKIP,,,,,,
2025-01-10,1200.00,1209.80,1116.00,1127.00,1201.70,1220.06,TRADE,1201.70,1220.06,1127.00,false,-74.70,-6.22
2025-01-13,1115.00,1170.95,1090.55,1095.80,1127.00,1152.85,TRADE,1127.00,1152.85,1152.85,true,25.85,2.29
2025-01-14,1122.00,1137.30,1086.10,1119.00,1095.80,1132.37,TRADE,1095.80,1132.37,1132.37,true,36.57,3.34
2025-01-15,1166.10,1179.00,1126.65,1145.65,1119.00,1114.20,SKIP,,,,,,
2025-01-16,1160.00,1183.50,1156.85,1170.00,1145.65,1152.02,TRADE,1145.65,1152.02,1170.00,false,24.35,2.13
2025-01-17,1169.10,1169.10,1134.25,1138.15,1170.00,1171.14,SKIP,,,,,,
2025-01-20,1147.90,1199.00,1145.05,1193.75,1138.15,1146.49,TRADE,1138.15,1146.49,1146.49,true,8.34,0.73
2025-01-21,1192.75,1212.00,1170.00,1172.35,1193.75,1181.71,TRADE,1193.75,1181.71,1181.71,true,-12.04,-1.01
2025-01-22,1180.00,1180.00,1023.10,1036.80,1172.35,1187.06,TRADE,1172.35,1187.06,1036.80,false,-135.55,-11.56
2025-01-23,1030.00,1056.35,1011.00,1040.00,1036.80,1064.66,TRADE,1036.80,1064.66,1040.00,false,3.20,0.31
2025-01-24,1042.00,1062.20,971.15,1000.90,1040.00,1032.48,TRADE,1040.00,1032.48,1032.48,true,-7.52,-0.72
