date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,916.30,926.95,908.00,912.00,909.35,909.10,SKIP,,,,,,
2025-01-03,921.10,928.00,913.70,915.90,912.00,917.01,TRADE,912.00,917.01,917.01,true,5.01,0.55
2025-01-06,914.00,924.25,900.00,906.30,915.90,921.63,TRADE,915.90,921.63,921.63,true,5.73,0.63
2025-01-07,908.45,922.70,906.05,911.50,906.30,917.01,TRADE,906.30,917.01,917.01,true,10.71,1.18
2025-01-08,920.00,923.45,900.00,902.85,911.50,912.47,SKIP,,,,,,
2025-01-09,909.55,919.90,895.35,904.85,902.85,910.63,TRADE,902.85,910.63,910.63,true,7.78,0.86
2025-01-10,904.10,998.00,897.50,961.10,904.85,908.36,SKIP,,,,,,
2025-01-13,959.10,995.00,891.00,923.20,961.10,974.18,TRADE,961.10,974.18,974.18,true,13.08,1.36
2025-01-14,927.15,953.30,916.70,942.35,923.20,951.39,TRADE,923.20,951.39,951.39,true,28.19,3.05
2025-01-15,948.00,968.80,939.05,950.35,942.35,939.04,SKIP,,,,,,
2025-01-16,954.95,999.00,954.95,990.05,950.35,953.36,SKIP,,,,,,
2025-01-17,997.00,1014.10,969.20,985.10,990.05,983.36,TRADE,990.05,983.36,983.36,true,-6.69,-0.68
2025-01-20,984.55,1020.00,951.10,955.75,985.10,986.81,SKIP,,,,,,
2025-01-21,960.60,967.40,926.25,928.00,955.75,980.68,TRADE,955.75,980.68,928.00,false,-27.75,-2.90
2025-01-22,930.00,938.45,875.00,891.90,928.00,948.89,TRADE,928.00,948.89,891.90,false,-36.10,-3.89
2025-01-23,896.00,897.35,850.00,855.00,891.90,896.92,TRADE,891.90,896.92,896.92,true,5.02,0.56
2025-01-24,858.00,864.95,795.50,806.60,855.00,866.87,TRADE,855.00,866.87,806.60,false,-48.40,-5.66
2025-01-27,810.00,813.20,754.50,771.95,806.60,827.10,TRADE,806.60,827.10,771.95,false,-34.65,-4.30
2025-01-28,771.00,780.75,723.60,745.20,771.95,777.98,TRADE,771.95,777.98,777.98,true,6.03,0.78
2025-01-29,742.00,780.50,742.00,779.45,745.20,742.79,SKIP,,,,,,
2025-01-30,775.00,788.65,752.55,758.35,779.45,768.72,TRADE,779.45,768.72,768.72,true,-10.73,-1.38
2025-01-31,757.45,788.55,752.00,783.50,758.35,770.64,TRADE,758.35,770.64,770.64,true,12.29,1.62
2025-02-01,792.90,817.70,782.20,790.80,783.50,774.38,TRADE,783.50,774.38,790.80,false,7.30,0.93
2025-02-03,785.00,785.00,747.50,752.50,790.80,802.71,TRADE,790.80,802.71,752.50,false,-38.30,-4.84
2025-02-04,759.25,774.70,745.00,752.80,752.50,753.86,SKIP,,,,,,
2025-02-05,756.00,773.90,748.30,760.65,752.80,757.53,TRADE,752.80,757.53,757.53,true,4.73,0.63
