date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,112.93,114.35,112.03,114.11,112.90,112.87,SKIP,,,,,,
2025-01-03,113.90,115.90,113.50,114.03,114.11,113.47,TRADE,114.11,113.47,114.03,false,-0.08,-0.07
2025-01-06,114.10,114.55,110.00,110.15,114.03,114.92,TRADE,114.03,114.92,110.15,false,-3.88,-3.40
2025-01-07,110.42,112.25,110.42,111.37,110.15,111.03,TRADE,110.15,111.03,111.03,true,0.88,0.80
2025-01-08,111.20,111.45,109.05,109.68,111.37,111.54,SKIP,,,,,,
2025-01-09,110.10,110.63,108.05,108.26,109.68,109.97,SKIP,,,,,,
2025-01-10,108.26,109.10,104.80,106.00,108.26,108.83,TRADE,108.26,108.83,108.83,true,0.57,0.53
2025-01-13,104.90,105.50,99.66,100.09,106.00,106.93,TRADE,106.00,106.93,100.09,false,-5.91,-5.58
2025-01-14,101.69,106.34,101.32,105.99,100.09,102.20,TRADE,100.09,102.20,102.20,true,2.11,2.11
2025-01-15,106.30,107.74,104.40,105.01,105.99,104.61,TRADE,105.99,104.61,104.61,true,-1.38,-1.30
2025-01-16,106.50,108.39,105.93,107.49,105.01,106.27,TRADE,105.01,106.27,106.27,true,1.26,1.20
2025-01-17,107.10,109.45,106.93,108.65,107.49,107.27,SKIP,,,,,,
2025-01-20,109.00,110.25,107.73,109.73,108.65,108.46,SKIP,,,,,,
2025-01-21,110.00,111.57,108.20,109.53,109.73,109.28,SKIP,,,,,,
2025-01-22,109.51,110.40,104.77,107.08,109.53,109.93,SKIP,,,,,,
2025-01-23,106.58,109.85,106.50,108.95,107.08,106.76,SKIP,,,,,,
2025-01-24,109.00,110.80,107.72,107.90,108.95,108.70,SKIP,,,,,,
2025-01-27,106.75,106.95,102.86,103.48,107.90,109.26,TRADE,107.90,109.26,103.48,false,-4.42,-4.10
2025-01-28,105.00,105.00,101.20,102.98,103.48,104.38,TRADE,103.48,104.38,104.38,true,0.90,0.87
2025-01-29,103.00,105.17,103.00,104.27,102.98,103.12,SKIP,,,,,,
2025-01-30,104.50,106.60,104.10,105.43,104.27,104.12,SKIP,,,,,,
2025-01-31,105.58,108.19,103.96,107.30,105.43,105.39,SKIP,,,,,,
2025-02-01,107.69,108.30,104.40,106.36,107.30,106.76,TRADE,107.30,106.76,106.76,true,-0.54,-0.50
2025-02-03,104.00,104.31,100.30,102.25,106.36,106.54,SKIP,,,,,,
2025-02-04,104.00,107.27,103.70,106.39,102.25,101.83,SKIP,,,,,,
2025-02-05,106.68,109.65,106.68,108.75,106.39,105.84,TRADE,106.39,105.84,108.75,false,2.36,2.22
2025-02-06,109.00,109.66,107.19,108.35,108.75,108.51,SKIP,,,,,,
2025-02-07,108.05,111.30,107.46,110.22,108.35,108.09,SKIP,,,,,,
2025-02-10,109.05,109.50,104.87,104.97,110.22,109.82,SKIP,,,,,,
2025-02-11,105.19,105.35,99.52,99.77,104.97,105.85,TRADE,104.97,105.85,99.77,false,-5.20,-4.95
2025-02-12,100.10,106.07,99.15,105.56,99.77,101.71,TRADE,99.77,101.71,101.71,true,1.94,1.94
2025-02-13,105.38,111.30,104.95,109.59,105.56,103.28,TRADE,105.56,103.28,109.59,false,4.03,3.82
2025-02-14,110.10,113.20,104.43,105.33,109.59,109.59,SKIP,,,,,,
2025-02-17,104.40,105.80,102.57,105.39,105.33,108.34,TRADE,105.33,108.34,105.39,false,0.06,0.06
2025-02-18,104.79,105.75,102.00,104.09,105.39,104.42,TRADE,105.39,104.42,104.42,true,-0.97,-0.92
2025-02-19,103.41,107.19,103.35,106.62,104.09,103.39,TRADE,104.09,103.39,103.39,true,-0.70,-0.67
2025-02-20,106.00,110.45,105.55,110.20,106.62,106.12,SKIP,,,,,,
2025-02-21,109.30,115.16,108.75,112.66,110.20,108.61,TRADE,110.20,108.61,112.66,false,2.46,2.23
2025-02-24,111.10,112.17,107.65,108.10,112.66,112.77,SKIP,,,,,,
2025-02-25,108.11,109.49,105.80,106.25,108.10,109.23,TRADE,108.10,109.23,109.23,true,1.13,1.05
2025-02-27,106.20,107.98,104.67,106.03,106.25,107.25,TRADE,106.25,107.25,107.25,true,1.00,0.94
2025-02-28,104.75,105.50,101.60,105.18,106.03,105.74,SKIP,,,,,,
2025-03-03,105.30,106.80,102.73,106.78,105.18,103.89,TRADE,105.18,103.89,103.89,true,-1.29,-1.23
2025-03-04,104.58,108.80,104.06,108.03,106.78,105.26,TRADE,106.78,105.26,105.26,true,-1.52,-1.42
2025-03-05,107.50,112.90,107.50,112.35,108.03,107.17,TRADE,108.03,107.17,112.35,false,4.32,4.00
2025-03-06,113.50,114.90,110.90,111.10,112.35,110.76,TRADE,112.35,110.76,111.10,false,-1.25,-1.11
2025-03-07,111.50,112.91,110.20,110.78,111.10,112.83,TRADE,111.10,112.83,112.83,true,1.73,1.56
2025-03-10,110.90,112.66,106.80,106.96,110.78,111.66,TRADE,110.78,111.66,111.66,true,0.88,0.79
2025-03-11,105.50,108.75,104.60,108.74,106.96,109.91,TRADE,106.96,109.91,108.74,false,1.78,1.66
2025-03-12,108.45,108.89,104.85,106.99,108.74,106.57,TRADE,108.74,106.57,106.57,true,-2.17,-2.00
2025-03-13,107.19,109.68,105.53,105.92,106.99,106.35,TRADE,106.99,106.35,106.35,true,-0.64,-0.60
