date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,480.10,484.15,471.60,477.45,479.10,479.83,SKIP,,,,,,
2025-01-03,478.25,562.80,478.25,534.25,477.45,476.97,SKIP,,,,,,
2025-01-06,535.00,593.90,532.60,570.00,534.25,537.14,TRADE,534.25,537.14,537.14,true,2.89,0.54
2025-01-07,569.95,595.00,556.00,570.00,570.00,574.15,TRADE,570.00,574.15,574.15,true,4.15,0.73
2025-01-08,573.80,574.55,543.70,548.75,570.00,576.44,TRADE,570.00,576.44,548.75,false,-21.25,-3.73
2025-01-09,555.00,603.80,542.90,559.00,548.75,554.87,TRADE,548.75,554.87,554.87,true,6.12,1.12
2025-01-10,562.90,562.90,525.05,527.80,559.00,575.10,TRADE,559.00,575.10,527.80,false,-31.20,-5.58
2025-01-13,521.60,551.40,513.35,516.20,527.80,536.25,TRADE,527.80,536.25,536.25,true,8.45,1.60
2025-01-14,519.10,549.70,502.20,538.10,516.20,531.17,TRADE,516.20,531.17,531.17,true,14.97,2.90
2025-01-15,545.00,556.00,525.05,531.50,538.10,520.94,TRADE,538.10,520.94,531.50,false,-6.60,-1.23
2025-01-16,536.55,541.70,512.05,513.50,531.50,537.81,TRADE,531.50,537.81,537.81,true,6.31,1.19
2025-01-17,514.80,529.00,503.55,520.85,513.50,521.20,TRADE,513.50,521.20,521.20,true,7.70,1.50
2025-01-20,524.20,555.00,522.55,548.60,520.85,519.57,SKIP,,,,,,
2025-01-21,547.00,548.95,531.05,532.35,548.60,544.70,TRADE,548.60,544.70,544.70,true,-3.90,-0.71
2025-01-22,536.60,538.15,516.05,529.20,532.35,540.09,TRADE,532.35,540.09,529.20,false,-3.15,-0.59
2025-01-23,530.30,530.45,520.20,520.60,529.20,526.55,TRADE,529.20,526.55,526.55,true,-2.65,-0.50
2025-01-24,522.20,523.75,504.40,505.75,520.60,524.19,TRADE,520.60,524.19,505.75,false,-14.85,-2.85
2025-01-27,504.95,504.95,464.95,468.90,505.75,512.53,TRADE,505.75,512.53,468.90,false,-36.85,-7.29
2025-01-28,476.10,494.70,455.20,475.75,468.90,475.43,TRADE,468.90,475.43,475.43,true,6.53,1.39
2025-01-29,478.90,502.40,477.55,488.50,475.75,479.90,TRADE,475.75,479.90,479.90,true,4.15,0.87
2025-01-30,489.70,490.00,470.00,471.15,488.50,491.85,TRADE,488.50,491.85,471.15,false,-17.35,-3.55
2025-01-31,472.00,484.10,465.85,473.55,471.15,477.43,TRADE,471.15,477.43,477.43,true,6.28,1.33
2025-02-01,472.90,493.05,466.80,484.95,473.55,476.11,TRADE,473.55,476.11,476.11,true,2.56,0.54
