date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,794.25,802.40,787.00,802.05,793.85,794.25,1259,793.85,793.85,true,15.93,2199.36,-2718.89,-0.27,997281.11
2025-01-02,802.05,809.50,792.15,793.45,795.88,802.05,1243,795.88,795.88,true,15.93,2184.85,-9870.09,-0.99,987411.02
2025-01-03,793.45,797.60,773.15,778.65,798.97,793.45,1244,798.97,778.65,false,15.93,2151.26,-20578.39,-2.08,966832.63
2025-01-06,778.65,783.85,774.85,778.30,781.47,778.65,1241,781.47,781.47,true,15.93,2129.72,1353.97,0.14,968186.60
2025-01-07,778.30,783.95,760.10,771.35,778.73,778.30,1243,778.73,778.73,true,15.93,2128.93,-1610.37,-0.17,966576.23
2025-01-08,771.35,771.35,726.25,761.90,767.67,771.35,1253,767.67,767.67,true,15.93,2121.23,-6748.20,-0.70,959828.03
2025-01-09,761.90,763.40,742.05,743.95,760.13,761.90,1259,760.13,760.13,true,15.93,2107.86,-4352.22,-0.45,955475.81
2025-01-10,743.95,743.95,722.50,728.30,748.01,743.95,1284,748.01,728.30,false,15.93,2079.41,-22189.94,-2.32,933285.88
2025-01-13,728.30,757.00,732.95,750.35,733.81,728.30,1281,733.81,733.81,true,15.93,2060.26,4982.12,0.53,938268.00
2025-01-14,750.35,758.90,750.00,754.20,748.73,750.35,1250,748.73,754.20,false,15.93,2068.76,2727.81,0.29,940995.81
2025-01-15,754.20,776.70,760.40,767.30,754.48,754.20,1247,754.48,767.30,false,15.93,2087.04,14232.73,1.51,955228.54
2025-01-16,767.30,767.95,759.40,763.75,768.15,767.30,1244,768.15,763.75,false,15.93,2095.09,-6527.22,-0.68,948701.32
2025-01-17,763.75,785.00,767.85,778.10,763.55,763.75,1242,763.55,778.10,false,15.93,2106.48,15700.29,1.66,964401.61
2025-01-20,778.10,784.90,756.05,759.00,778.03,778.10,1239,778.03,778.03,true,15.93,2120.85,-2223.51,-0.23,962178.10
2025-01-21,759.00,763.00,738.00,753.05,765.52,759.00,1267,765.52,753.05,false,15.93,2107.34,-9661.92,-1.00,952516.18
2025-01-22,753.05,755.65,743.10,746.10,749.23,753.05,1264,749.23,749.23,true,15.93,2088.77,-6933.18,-0.73,945583.00
2025-01-23,746.10,753.70,739.00,744.50,748.15,746.10,1267,748.15,748.15,true,15.93,2082.54,498.88,0.05,946081.88
2025-01-24,744.50,755.35,735.90,748.60,746.32,744.50,1270,746.32,746.32,true,15.93,2082.68,212.79,0.02,946294.68
2025-01-27,748.60,759.75,745.40,753.25,748.97,748.60,1264,748.97,748.97,true,15.93,2082.22,-1630.47,-0.17,944664.21
2025-01-28,753.25,760.80,749.80,758.80,752.61,753.25,1254,752.61,752.61,true,15.93,2077.18,-2895.67,-0.31,941768.53
2025-01-29,758.80,764.90,754.75,764.00,757.35,758.80,1241,757.35,757.35,true,15.93,2069.70,-3885.08,-0.41,937883.46
2025-01-30,764.00,777.55,759.50,773.15,760.64,764.00,1227,760.64,760.64,true,15.93,2057.81,-6196.46,-0.66,931687.00
2025-01-31,773.15,778.75,752.15,765.90,770.25,773.15,1205,770.25,770.25,true,15.93,2045.78,-5556.21,-0.60,926130.79
2025-02-01,765.90,762.80,753.15,761.10,765.95,765.90,1209,765.95,761.10,false,15.93,2030.76,-7849.89,-0.85,918280.91
2025-02-03,761.10,781.25,765.65,779.05,758.76,761.10,1206,758.76,779.05,false,15.93,2043.16,19588.61,2.13,937869.51
2025-02-04,779.05,782.00,765.00,765.40,776.12,779.05,1203,776.12,776.12,true,15.93,2057.96,-5598.68,-0.60,932270.84
2025-02-05,765.40,770.85,750.05,754.20,771.76,765.40,1218,771.76,754.20,false,15.93,2035.96,-15693.49,-1.68,916577.35
2025-02-06,754.20,759.90,731.75,737.05,758.86,754.20,1215,758.86,758.86,true,15.93,2022.20,3623.77,0.40,920201.11
2025-02-07,737.05,743.90,733.40,736.10,740.52,737.05,1248,740.52,740.52,true,15.93,2028.41,2286.22,0.25,922487.33
2025-02-10,736.10,740.15,726.55,731.20,737.43,736.10,1253,737.43,737.43,true,15.93,2030.97,-380.41,-0.04,922106.93
2025-02-11,731.20,738.70,717.15,732.80,731.28,731.20,1261,731.28,731.28,true,15.93,2028.61,-1943.66,-0.21,920163.27
2025-02-12,732.80,737.50,726.15,726.80,729.15,732.80,1255,729.15,729.15,true,15.93,2018.22,-6614.90,-0.72,913548.37
2025-02-13,726.80,732.90,716.20,720.80,731.83,726.80,1256,731.83,731.83,true,15.93,2015.24,4286.51,0.47,917834.88
2025-02-14,720.80,728.75,711.55,727.65,724.57,720.80,1273,724.57,724.57,true,15.93,2023.95,2759.33,0.30,920594.21
2025-02-17,727.65,728.25,717.35,725.25,721.67,727.65,1265,721.67,721.67,true,15.93,2016.73,-9597.36,-1.04,910996.85
2025-02-18,725.25,734.85,722.05,726.70,723.76,725.25,1256,723.76,723.76,true,15.93,2001.95,-3889.32,-0.43,907107.52
2025-02-19,726.70,731.50,723.35,728.90,728.86,726.70,1248,728.86,728.86,true,15.93,1998.19,681.56,0.08,907789.08
2025-02-20,728.90,731.70,720.00,720.85,729.14,728.90,1245,729.14,729.14,true,15.93,1996.79,-1713.92,-0.19,906075.17
2025-02-21,720.85,719.75,710.50,716.15,724.72,720.85,1256,724.72,716.15,false,15.93,1985.36,-7904.49,-0.87,898170.68
2025-02-24,716.15,718.95,710.00,710.15,715.85,716.15,1254,715.85,715.85,true,15.93,1975.30,-2367.43,-0.26,895803.25
2025-02-25,710.15,717.70,701.10,702.50,713.58,710.15,1261,713.58,713.58,true,15.93,1974.86,2334.44,0.26,898137.69
2025-02-27,702.50,701.35,682.60,689.60,707.28,702.50,1278,707.28,689.60,false,15.93,1957.01,-18459.14,-2.06,879678.55
2025-02-28,689.60,697.40,680.00,695.60,690.06,689.60,1275,690.06,690.06,true,15.93,1934.97,-1364.40,-0.16,878314.14
2025-03-03,695.60,718.45,692.10,716.25,689.59,695.60,1262,689.59,716.25,false,15.93,1959.93,24084.44,2.74,902398.58
2025-03-04,716.25,731.30,717.00,730.00,712.88,716.25,1259,712.88,730.00,false,15.93,2002.91,15292.41,1.70,917690.99
2025-03-05,730.00,736.75,727.00,730.90,725.61,730.00,1257,725.61,730.90,false,15.93,2019.99,-904.62,-0.10,916786.37
2025-03-06,730.90,734.85,728.00,731.50,731.45,730.90,1254,731.45,731.45,true,15.93,2017.17,-1343.40,-0.15,915442.98
2025-03-07,731.50,738.50,726.60,727.85,731.74,731.50,1251,731.74,731.74,true,15.93,2013.56,-1729.25,-0.19,913713.72
2025-03-10,727.85,734.05,722.70,729.85,732.30,727.85,1255,732.30,732.30,true,15.93,2015.74,3553.08,0.39,917266.81
2025-03-11,729.85,737.00,719.05,722.80,729.33,729.85,1256,729.33,729.33,true,15.93,2016.00,-2685.05,-0.29,914581.75
2025-03-12,722.80,731.45,724.50,728.35,726.43,722.80,1265,726.43,726.43,true,15.93,2016.60,2559.42,0.28,917141.17
2025-03-13,728.35,731.25,722.30,723.50,728.41,728.35,1259,728.41,728.41,true,15.93,2017.47,-1957.86,-0.21,915183.31
2025-03-17,723.50,738.45,722.60,737.15,724.77,723.50,1264,724.77,724.77,true,15.93,2013.67,-424.32,-0.05,914758.99
2025-03-18,737.15,749.30,739.10,745.25,731.34,737.15,1240,731.34,745.25,false,15.93,2021.99,8006.08,0.88,922765.07
2025-03-19,745.25,752.70,744.20,748.55,745.26,745.25,1238,745.26,745.26,true,15.93,2029.78,-2033.33,-0.22,920731.74
2025-03-20,748.55,755.50,747.00,754.50,748.29,748.55,1230,748.29,748.29,true,15.93,2025.22,-2360.95,-0.26,918370.78
2025-03-21,754.50,782.95,755.10,781.90,752.25,754.50,1217,752.25,781.90,false,15.93,2056.78,31273.09,3.41,949643.88
2025-03-24,781.90,786.00,769.20,770.70,772.33,781.90,1214,772.33,772.33,true,15.93,2075.52,-13709.43,-1.44,935934.45
2025-03-25,770.70,776.05,762.00,762.40,777.02,770.70,1214,777.02,762.40,false,15.93,2047.30,-12139.43,-1.30,923795.02
2025-03-26,762.40,775.80,760.50,775.00,767.90,762.40,1211,767.90,767.90,true,15.93,2038.51,4606.06,0.50,928401.07
2025-03-27,775.00,778.60,768.00,771.40,770.57,775.00,1197,770.57,770.57,true,15.93,2035.05,-7353.69,-0.79,921047.38
2025-03-28,771.40,782.75,763.20,771.35,773.30,771.40,1193,773.30,773.30,true,15.93,2027.11,223.66,0.02,921271.04
2025-04-01,771.35,777.00,764.30,776.15,772.17,771.35,1194,772.17,772.17,true,15.93,2027.26,-1064.11,-0.12,920206.93
2025-04-02,776.15,784.70,769.95,780.05,772.51,776.15,1185,772.51,772.51,true,15.93,2018.68,-6348.01,-0.69,913858.92
2025-04-03,780.05,782.90,765.00,768.90,778.44,780.05,1171,778.44,778.44,true,15.93,2007.49,-3908.73,-0.43,909950.19
2025-04-04,768.90,753.70,730.00,748.85,773.82,768.90,1183,773.82,748.85,false,15.93,1975.05,-25710.13,-2.83,884240.06
2025-04-07,748.85,774.00,758.15,769.40,742.21,748.85,1180,742.21,769.40,false,15.93,1970.69,22262.38,2.52,906502.45
2025-04-08,769.40,767.95,741.00,742.40,767.45,769.40,1178,767.45,767.45,true,15.93,1991.45,-4304.48,-0.47,902197.97
2025-04-09,742.40,759.70,746.00,753.85,751.33,742.40,1215,751.33,751.33,true,15.93,1996.37,8837.65,0.98,911035.62
2025-04-11,753.85,770.70,757.10,764.15,752.58,753.85,1208,752.58,764.15,false,15.93,2017.12,10409.35,1.14,921444.97
