date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,1891.00,1896.00,1864.95,1875.00,1889.72,1891.00,528,1889.72,1889.72,true,15.93,2195.84,-2887.61,-0.29,997112.39
2025-01-02,1875.00,1884.00,1844.00,1844.00,1875.01,1875.00,531,1875.01,1875.01,true,15.93,2190.38,-2201.00,-0.22,994911.39
2025-01-03,1844.00,1856.50,1825.65,1846.10,1856.13,1844.00,539,1856.13,1856.13,true,15.93,2193.81,4328.33,0.44,999239.72
2025-01-06,1846.10,1865.00,1845.65,1850.15,1842.37,1846.10,541,1842.37,1850.15,false,15.93,2199.64,-24.52,-0.00,999215.20
2025-01-07,1850.15,1862.60,1829.20,1836.20,1854.80,1850.15,540,1854.80,1854.80,true,15.93,2200.74,294.33,0.03,999509.53
2025-01-08,1836.20,1841.00,1814.00,1828.15,1843.27,1836.20,544,1843.27,1828.15,false,15.93,2192.75,-6587.88,-0.66,992921.65
2025-01-09,1828.15,1834.60,1772.75,1787.55,1825.63,1828.15,543,1825.63,1825.63,true,15.93,2182.40,-3566.69,-0.36,989354.96
2025-01-10,1787.55,1785.55,1742.45,1746.30,1790.23,1787.55,553,1790.23,1746.30,false,15.93,2149.64,-24976.82,-2.53,964378.14
2025-01-13,1746.30,1784.05,1742.10,1777.00,1753.28,1746.30,552,1753.28,1753.28,true,15.93,2124.94,1712.09,0.18,966090.23
2025-01-14,1777.00,1775.00,1747.70,1756.50,1765.21,1777.00,543,1765.21,1765.21,true,15.93,2115.76,-8533.66,-0.88,957556.56
2025-01-15,1756.50,1775.60,1740.80,1766.05,1755.04,1756.50,545,1755.04,1755.04,true,15.93,2105.17,-2916.80,-0.30,954639.77
2025-01-16,1766.05,1791.95,1767.60,1786.80,1758.21,1766.05,540,1758.21,1786.80,false,15.93,2110.39,9078.68,0.95,963718.44
2025-01-17,1786.80,1800.45,1768.30,1777.40,1782.40,1786.80,539,1782.40,1782.40,true,15.93,2116.18,-4503.71,-0.47,959214.73
2025-01-20,1777.40,1805.75,1759.50,1763.15,1780.44,1777.40,539,1780.44,1780.44,true,15.93,2109.44,-486.81,-0.05,958727.92
2025-01-21,1763.15,1803.60,1773.85,1795.00,1779.79,1763.15,543,1779.79,1779.79,true,15.93,2116.20,6903.39,0.72,965631.31
2025-01-22,1795.00,1839.75,1786.05,1835.65,1791.87,1795.00,537,1791.87,1791.87,true,15.93,2118.76,-3815.50,-0.40,961815.81
2025-01-23,1835.65,1843.10,1808.20,1820.00,1827.01,1835.65,523,1827.01,1827.01,true,15.93,2107.13,-6641.78,-0.69,955174.03
2025-01-24,1820.00,1824.25,1774.30,1786.55,1822.24,1820.00,524,1822.24,1822.24,true,15.93,2099.39,-941.56,-0.10,954232.47
2025-01-27,1786.55,1780.00,1693.10,1710.00,1792.29,1786.55,534,1792.29,1710.00,false,15.93,2053.87,-42947.50,-4.50,911284.97
2025-01-28,1710.00,1740.00,1696.00,1738.80,1709.81,1710.00,532,1709.81,1709.81,true,15.93,2001.27,-2118.28,-0.23,909166.69
2025-01-29,1738.80,1760.30,1725.30,1756.85,1720.49,1738.80,522,1720.49,1756.85,false,15.93,2007.20,7398.97,0.82,916565.65
2025-01-30,1756.85,1769.85,1706.05,1756.30,1735.63,1756.85,521,1735.63,1735.63,true,15.93,2001.54,-13073.09,-1.43,903492.56
2025-01-31,1756.30,1789.00,1733.30,1750.00,1748.23,1756.30,514,1748.23,1748.23,true,15.93,1981.46,-6145.37,-0.68,897347.19
2025-02-01,1750.00,1785.90,1710.55,1737.50,1761.16,1750.00,512,1761.16,1761.16,true,15.93,1977.49,3720.50,0.42,901067.70
2025-02-03,1737.50,1776.25,1740.65,1760.00,1740.56,1737.50,518,1740.56,1760.00,false,15.93,1992.88,9646.19,1.07,910713.89
2025-02-04,1760.00,1773.80,1735.20,1753.00,1761.59,1760.00,517,1761.59,1761.59,true,15.93,2002.73,-1196.63,-0.13,909517.26
2025-02-05,1753.00,1768.35,1736.30,1742.00,1750.73,1753.00,518,1750.73,1750.73,true,15.93,1996.43,-3188.22,-0.35,906329.05
2025-02-06,1742.00,1753.00,1727.30,1748.95,1745.04,1742.00,520,1745.04,1745.04,true,15.93,1994.59,-429.72,-0.05,905899.33
2025-02-07,1748.95,1750.00,1723.70,1732.15,1742.41,1748.95,517,1742.41,1742.41,true,15.93,1985.54,-5382.65,-0.60,900516.68
