date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,4704.95,4735.95,4648.55,4727.65,4688.17,4704.95,212,4688.17,4688.17,true,15.93,2190.48,-5763.77,-0.58,994236.23
2025-01-02,4727.65,4817.95,4576.50,4625.00,4692.23,4727.65,210,4692.23,4692.23,true,15.93,2175.99,-9630.12,-0.97,984606.11
2025-01-03,4625.00,4701.30,4504.00,4520.45,4691.52,4625.00,212,4691.52,4691.52,true,15.93,2172.61,11913.70,1.22,996519.81
2025-01-06,4520.45,4599.90,4519.90,4523.00,4607.29,4520.45,220,4607.29,4523.00,false,15.93,2188.51,-1643.44,-0.17,994876.36
2025-01-07,4523.00,4673.00,4440.00,4601.60,4548.85,4523.00,219,4548.85,4548.85,true,15.93,2185.41,3459.81,0.35,998336.18
2025-01-08,4601.60,4676.95,4562.20,4651.15,4558.32,4601.60,216,4558.32,4651.15,false,15.93,2198.45,8488.42,0.85,1006824.59
2025-01-09,4651.15,4666.45,4515.65,4531.60,4622.66,4651.15,216,4622.66,4622.66,true,15.93,2203.46,-8373.23,-0.83,998451.37
2025-01-10,4531.60,4503.90,4251.65,4263.00,4590.94,4531.60,220,4590.94,4263.00,false,15.93,2128.29,-61236.22,-6.14,937215.14
2025-01-13,4263.00,4395.35,4266.00,4395.00,4327.15,4263.00,219,4327.15,4327.15,true,15.93,2069.37,11963.55,1.28,949178.70
2025-01-14,4395.00,4438.80,4350.05,4360.55,4358.23,4395.00,215,4358.23,4358.23,true,15.93,2070.14,-9991.62,-1.06,939187.08
2025-01-15,4360.55,4470.00,4289.00,4292.85,4390.55,4360.55,215,4390.55,4390.55,true,15.93,2069.64,4364.43,0.47,943551.51
2025-01-16,4292.85,4355.55,4184.80,4193.55,4340.70,4292.85,219,4340.70,4340.70,true,15.93,2079.82,8383.40,0.89,951934.91
2025-01-17,4193.55,4258.45,4001.00,4010.40,4261.50,4193.55,226,4261.50,4010.40,false,15.93,2039.50,-43447.33,-4.58,908487.58
2025-01-20,4010.40,4054.00,3931.00,3947.55,4081.73,4010.40,226,4081.73,3947.55,false,15.93,1978.35,-16198.38,-1.79,892289.20
2025-01-21,3947.55,4006.35,3819.00,3888.70,4005.91,3947.55,226,4005.91,4005.91,true,15.93,1977.23,11196.20,1.25,903485.40
2025-01-22,3888.70,4054.95,3876.10,3976.95,3883.40,3888.70,232,3883.40,3883.40,true,15.93,1983.44,-3228.97,-0.36,900256.43
2025-01-23,3976.95,4002.20,3787.35,3800.00,3980.62,3976.95,226,3980.62,3980.62,true,15.93,1978.25,-1164.76,-0.13,899091.67
2025-01-24,3800.00,3783.85,3528.05,3539.95,3860.44,3800.00,236,3860.44,3539.95,false,15.93,1905.45,-63293.18,-7.06,835798.49
2025-01-27,3539.95,3644.30,3452.05,3630.00,3608.51,3539.95,236,3608.51,3608.51,true,15.93,1855.74,14308.49,1.71,850106.98
2025-01-28,3630.00,3834.95,3630.00,3825.35,3530.61,3630.00,234,3530.61,3825.35,false,15.93,1919.01,43776.96,5.15,893883.94
2025-01-29,3825.35,3908.50,3740.10,3799.35,3764.34,3825.35,233,3764.34,3764.34,true,15.93,1945.24,-16176.50,-1.81,877707.44
2025-01-30,3799.35,3978.00,3797.00,3969.50,3810.56,3799.35,231,3810.56,3810.56,true,15.93,1933.68,639.90,0.07,878347.34
2025-01-31,3969.50,4050.50,3588.00,3750.00,3938.67,3969.50,221,3938.67,3938.67,true,15.93,1922.48,-8751.84,-1.00,869595.51
2025-02-01,3750.00,3919.10,3693.30,3860.00,3782.53,3750.00,231,3782.53,3782.53,true,15.93,1914.02,5584.48,0.64,875179.99
2025-02-03,3860.00,4046.50,3881.90,3980.00,3845.50,3860.00,226,3845.50,3980.00,false,15.93,1949.02,25155.05,2.88,900335.04
2025-02-04,3980.00,4074.00,3948.05,4020.20,3992.90,3980.00,226,3992.90,3992.90,true,15.93,1982.06,917.41,0.10,901252.45
2025-02-05,4020.20,4075.00,3942.00,3977.05,4029.99,4020.20,224,4029.99,4029.99,true,15.93,1983.57,193.46,0.02,901445.91
2025-02-06,3977.05,4030.00,3921.95,4020.00,3995.18,3977.05,226,3995.18,3995.18,true,15.93,1981.90,2099.55,0.23,903545.46
2025-02-07,4020.00,4035.00,3905.75,3930.35,3975.97,4020.00,224,3975.97,3975.97,true,15.93,1970.21,-11848.86,-1.32,891696.61
2025-02-10,3930.35,3965.35,3829.65,3897.90,3932.60,3930.35,226,3932.60,3932.60,true,15.93,1954.73,-1462.16,-0.16,890234.45
2025-02-11,3897.90,3935.00,3768.40,3898.60,3891.87,3897.90,228,3891.87,3891.87,true,15.93,1953.67,-3344.44,-0.38,886890.00
2025-02-12,3898.60,3957.00,3866.15,3875.20,3860.56,3898.60,227,3860.56,3875.20,false,15.93,1941.12,-7268.85,-0.82,879621.15
2025-02-13,3875.20,3910.90,3688.25,3757.25,3899.36,3875.20,226,3899.36,3899.36,true,15.93,1932.76,3511.47,0.40,883132.63
