date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-11-27,322.50,347.70,322.00,343.75,324.30,322.43,TRADE,324.30,322.43,322.43,true,-1.87,-0.58
2025-11-28,340.55,359.90,331.10,352.00,343.75,340.51,TRADE,343.75,340.51,340.51,true,-3.24,-0.94
2025-12-01,352.45,365.00,351.15,358.10,352.00,350.84,SKIP,,,,,,
2025-12-02,360.00,368.00,352.15,354.10,358.10,358.71,SKIP,,,,,,
2025-12-03,354.00,362.25,346.50,360.05,354.10,357.79,TRADE,354.10,357.79,357.79,true,3.69,1.04
2025-12-04,357.75,361.50,354.15,356.60,360.05,356.90,TRADE,360.05,356.90,356.90,true,-3.15,-0.87
2025-12-05,355.00,361.45,349.35,358.15,356.60,358.11,SKIP,,,,,,
2025-12-08,358.00,364.20,357.10,360.00,358.15,356.65,SKIP,,,,,,
2025-12-09,357.10,381.95,353.50,373.05,360.00,360.25,SKIP,,,,,,
2025-12-10,378.05,382.95,368.35,377.25,373.05,370.39,TRADE,373.05,370.39,370.39,true,-2.66,-0.71
2025-12-11,378.20,379.90,370.15,370.75,377.25,375.62,SKIP,,,,,,
2025-12-12,371.50,379.00,366.35,370.90,370.75,375.26,TRADE,370.75,375.26,375.26,true,4.51,1.22
2025-12-15,372.50,379.15,365.20,375.20,370.90,372.59,SKIP,,,,,,
2025-12-16,377.95,390.00,374.50,387.15,375.20,373.57,SKIP,,,,,,
2025-12-17,389.00,397.50,383.55,385.05,387.15,383.57,TRADE,387.15,383.57,383.57,true,-3.58,-0.92
2025-12-18,391.00,406.80,390.20,399.50,385.05,387.63,TRADE,385.05,387.63,399.50,false,14.45,3.75
2025-12-19,402.05,403.30,385.25,392.60,399.50,400.19,SKIP,,,,,,
2025-12-22,396.35,414.00,394.35,411.35,392.60,396.31,TRADE,392.60,396.31,396.31,true,3.71,0.94
2025-12-23,412.85,428.20,412.50,425.85,411.35,408.64,TRADE,411.35,408.64,425.85,false,14.50,3.52
2025-12-24,427.15,432.30,408.00,408.25,425.85,422.41,TRADE,425.85,422.41,422.41,true,-3.44,-0.81
2025-12-26,410.00,416.50,403.40,410.10,408.25,416.28,TRADE,408.25,416.28,416.28,true,8.03,1.97
2025-12-29,410.00,418.00,406.55,409.00,410.10,410.37,SKIP,,,,,,
2025-12-30,409.95,415.50,406.00,409.35,409.00,410.07,SKIP,,,,,,
2025-12-31,411.85,418.00,409.70,415.50,409.35,409.98,SKIP,,,,,,
2026-01-01,419.20,430.00,417.55,427.20,415.50,414.36,SKIP,,,,,,
2026-01-02,433.10,448.00,432.75,441.25,427.20,425.64,SKIP,,,,,,
2026-01-05,433.85,437.80,422.50,426.90,441.25,440.66,SKIP,,,,,,
2026-01-06,429.95,437.45,427.20,433.00,426.90,429.29,TRADE,426.90,429.29,429.29,true,2.39,0.56
2026-01-07,435.00,440.65,430.15,435.70,433.00,431.50,SKIP,,,,,,
