date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,161.80,164.37,161.01,163.60,161.50,160.93,SKIP,,,,,,
2025-01-03,164.70,166.76,163.00,163.10,163.60,162.93,SKIP,,,,,,
2025-01-06,164.50,164.79,155.00,156.40,163.10,164.73,TRADE,163.10,164.73,164.73,true,1.63,1.00
2025-01-07,156.35,160.78,156.30,159.50,156.40,158.09,TRADE,156.40,158.09,158.09,true,1.69,1.08
2025-01-08,160.80,160.83,154.19,155.00,159.50,158.80,SKIP,,,,,,
2025-01-09,154.07,155.67,150.00,150.55,155.00,155.77,SKIP,,,,,,
2025-01-10,150.00,150.80,145.80,149.00,150.55,152.05,TRADE,150.55,152.05,149.00,false,-1.55,-1.03
2025-01-13,145.80,147.60,143.10,143.70,149.00,148.04,TRADE,149.00,148.04,143.70,false,-5.30,-3.56
2025-01-14,143.99,147.66,142.63,146.90,143.70,145.09,TRADE,143.70,145.09,145.09,true,1.39,0.97
2025-01-15,149.88,159.44,149.88,150.30,146.90,145.70,TRADE,146.90,145.70,150.30,false,3.40,2.31
2025-01-16,151.55,153.40,150.50,151.79,150.30,154.73,TRADE,150.30,154.73,151.79,false,1.49,0.99
2025-01-17,151.81,155.68,150.49,153.38,151.79,151.95,SKIP,,,,,,
2025-01-20,155.94,156.14,152.50,152.99,153.38,153.76,SKIP,,,,,,
2025-01-21,153.50,154.70,150.25,151.09,152.99,153.80,TRADE,152.99,153.80,153.80,true,0.81,0.53
2025-01-22,151.09,151.12,145.00,149.00,151.09,152.54,TRADE,151.09,152.54,149.00,false,-2.09,-1.38
2025-01-23,148.20,150.89,146.74,149.00,149.00,147.63,TRADE,149.00,147.63,147.63,true,-1.37,-0.92
2025-01-24,149.40,154.70,145.85,154.00,149.00,148.88,SKIP,,,,,,
2025-01-27,151.41,151.41,143.30,143.35,154.00,150.17,TRADE,154.00,150.17,150.17,true,-3.83,-2.49
2025-01-28,144.84,149.43,134.61,147.00,143.35,145.59,TRADE,143.35,145.59,145.59,true,2.24,1.56
2025-01-29,146.79,149.80,145.67,148.61,147.00,141.50,TRADE,147.00,141.50,148.61,false,1.61,1.10
2025-01-30,149.50,150.70,135.76,142.00,148.61,148.12,SKIP,,,,,,
2025-01-31,140.99,142.62,136.51,137.99,142.00,141.08,TRADE,142.00,141.08,141.08,true,-0.92,-0.65
2025-02-01,139.09,144.89,136.98,138.21,137.99,138.49,SKIP,,,,,,
2025-02-03,138.38,140.46,131.06,131.99,138.21,141.05,TRADE,138.21,141.05,131.99,false,-6.22,-4.50
2025-02-04,133.00,134.50,129.11,131.15,131.99,134.00,TRADE,131.99,134.00,134.00,true,2.01,1.52
2025-02-05,132.10,133.98,130.33,132.00,131.15,130.93,SKIP,,,,,,
2025-02-06,133.20,133.50,129.52,130.16,132.00,131.93,SKIP,,,,,,
2025-02-07,130.90,131.35,126.97,128.42,130.16,131.01,TRADE,130.16,131.01,131.01,true,0.85,0.65
2025-02-10,129.65,130.23,125.10,126.80,128.42,128.51,SKIP,,,,,,
2025-02-11,126.67,126.67,121.20,124.03,126.80,126.81,SKIP,,,,,,
2025-02-12,123.99,127.00,120.00,125.00,124.03,123.14,TRADE,124.03,123.14,123.14,true,-0.89,-0.72
2025-02-13,125.35,127.00,121.50,121.70,125.00,123.38,TRADE,125.00,123.38,123.38,true,-1.62,-1.30
2025-02-14,123.01,123.64,115.32,117.70,121.70,123.63,TRADE,121.70,123.63,123.63,true,1.93,1.59
2025-02-17,118.01,123.87,116.28,120.64,117.70,118.82,TRADE,117.70,118.82,118.82,true,1.12,0.95
2025-02-18,120.60,120.80,114.50,117.10,120.64,120.79,SKIP,,,,,,
2025-02-19,117.00,123.37,116.00,122.55,117.10,116.42,TRADE,117.10,116.42,116.42,true,-0.68,-0.58
2025-02-20,122.00,124.40,120.56,122.87,122.55,121.03,TRADE,122.55,121.03,121.03,true,-1.52,-1.24
2025-02-21,122.35,126.70,118.60,119.11,122.87,123.04,SKIP,,,,,,
2025-02-24,118.75,118.77,113.88,114.25,119.11,121.57,TRADE,119.11,121.57,114.25,false,-4.86,-4.08
2025-02-25,114.89,117.00,114.00,115.48,114.25,115.81,TRADE,114.25,115.81,115.81,true,1.56,1.37
2025-02-27,116.00,116.56,111.60,111.92,115.48,115.70,SKIP,,,,,,
2025-02-28,112.01,112.01,104.80,106.70,111.92,112.64,TRADE,111.92,112.64,106.70,false,-5.22,-4.66
2025-03-03,107.00,125.00,106.64,117.67,106.70,107.25,TRADE,106.70,107.25,107.25,true,0.55,0.52
2025-03-04,113.94,116.18,110.37,112.80,117.67,112.49,TRADE,117.67,112.49,112.49,true,-5.18,-4.40
2025-03-05,112.60,119.63,111.86,117.75,112.80,113.14,SKIP,,,,,,
2025-03-06,119.00,121.95,118.37,121.10,117.75,115.54,TRADE,117.75,115.54,121.10,false,3.35,2.85
2025-03-07,121.00,124.50,121.00,122.20,121.10,120.53,SKIP,,,,,,
2025-03-10,122.60,124.80,119.00,119.67,122.20,122.96,TRADE,122.20,122.96,122.96,true,0.76,0.62
