date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-08-06,1070.00,1091.15,1026.00,1065.90,1048.80,SHORT,1070.00,934,1048.80,1048.80,true,40.00,395.79,19365.01,1.94,1019365.01
2025-08-07,1060.00,1167.80,1042.50,1134.30,1064.58,LONG,1060.00,961,1064.58,1064.58,true,40.00,408.34,3953.04,0.39,1023318.04
2025-08-08,1150.00,1224.00,1071.05,1090.85,1106.95,SHORT,1150.00,889,1106.95,1106.95,true,40.00,401.29,37830.16,3.70,1061148.21
2025-08-11,1094.00,1122.50,1047.85,1063.55,1149.76,LONG,1094.00,969,1149.76,1063.55,false,40.00,418.13,-29964.18,-2.83,1031184.02
2025-08-12,1063.00,1078.95,1045.55,1061.55,1091.54,LONG,1063.00,970,1091.54,1061.55,false,40.00,412.16,-1858.66,-0.18,1029325.36
2025-08-13,1065.00,1085.00,1051.10,1066.60,1060.91,SHORT,1065.00,966,1060.91,1060.91,true,40.00,410.73,3500.21,0.34,1032825.58
2025-08-14,1071.00,1080.00,1046.65,1057.05,1068.69,SHORT,1071.00,964,1068.69,1068.69,true,40.00,412.53,1774.31,0.17,1034599.88
2025-08-18,1069.90,1098.95,1059.00,1090.55,1063.56,SHORT,1069.90,967,1063.56,1063.56,true,40.00,412.61,5678.17,0.55,1040278.05
2025-08-19,1095.90,1159.20,1093.60,1112.50,1086.50,SHORT,1095.90,949,1086.50,1112.50,false,40.00,419.15,-16212.55,-1.56,1024065.50
2025-08-20,1124.95,1223.75,1086.15,1223.75,1127.55,LONG,1124.95,910,1127.55,1127.55,true,40.00,409.96,1916.04,0.19,1025981.54
2025-08-21,1275.00,1320.00,1187.00,1288.95,1163.86,SHORT,1275.00,804,1163.86,1288.95,false,40.00,412.28,-11668.08,-1.14,1014313.46
2025-08-22,1293.35,1385.00,1267.20,1360.45,1271.89,SHORT,1293.35,784,1271.89,1271.89,true,40.00,402.23,16382.41,1.62,1030695.87
2025-08-25,1354.00,1354.00,1292.45,1319.75,1324.01,SHORT,1354.00,761,1324.01,1324.01,true,40.00,407.59,22374.80,2.17,1053070.67
2025-08-26,1316.85,1325.95,1261.10,1283.00,1313.26,SHORT,1316.85,799,1313.26,1313.26,true,40.00,420.29,2408.12,0.23,1055478.79
2025-08-28,1283.00,1285.65,1232.00,1250.30,1297.17,LONG,1283.00,822,1297.17,1250.30,false,40.00,416.47,-27335.87,-2.59,1028142.91
2025-08-29,1250.30,1303.00,1244.90,1264.00,1251.26,SKIP,,,,,,,,,,1028142.91
2025-09-01,1262.70,1262.70,1200.80,1248.20,1275.34,LONG,1262.70,814,1275.34,1248.20,false,40.00,408.77,-12251.77,-1.19,1015891.14
2025-09-02,1260.00,1310.60,1257.00,1310.60,1224.63,SHORT,1260.00,806,1224.63,1310.60,false,40.00,414.38,-41237.98,-4.06,974653.16
2025-09-03,1322.00,1376.10,1281.60,1357.70,1296.62,SHORT,1322.00,737,1296.62,1296.62,true,40.00,385.98,18279.08,1.88,992932.23
2025-09-04,1384.00,1425.50,1361.60,1386.50,1327.36,SHORT,1384.00,717,1327.36,1386.50,false,40.00,397.29,-2229.79,-0.22,990702.44
2025-09-05,1389.90,1401.60,1356.30,1368.20,1399.97,LONG,1389.90,712,1399.97,1399.97,true,40.00,397.28,6732.56,0.68,997435.00
2025-09-08,1383.70,1423.80,1352.10,1356.80,1381.27,SHORT,1383.70,720,1381.27,1381.27,true,40.00,398.16,1311.44,0.13,998746.45
2025-09-09,1372.00,1374.00,1334.00,1347.90,1385.01,LONG,1372.00,727,1385.01,1347.90,false,40.00,395.47,-17956.17,-1.80,980790.28
