date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,6698.00,7530.00,6622.20,7256.85,6580.62,SHORT,6698.00,149,6580.62,7256.85,false,40.00,415.85,-83724.50,-8.39,916275.50
2025-01-03,7198.30,7638.00,7111.70,7331.60,7203.35,SKIP,,,,,,,,,,916275.50
2025-01-06,7315.00,7325.00,6828.00,6864.00,7413.82,LONG,7315.00,125,7413.82,6864.00,false,40.00,354.48,-56769.47,-6.21,859506.02
2025-01-07,6900.00,6976.75,6809.15,6850.05,7052.81,LONG,6900.00,124,7052.81,6850.05,false,40.00,341.00,-6574.80,-0.77,852931.22
2025-01-08,6898.00,6922.00,6747.05,6853.25,6904.51,SKIP,,,,,,,,,,852931.22
2025-01-09,6882.00,6917.15,6525.00,6544.20,6835.08,SHORT,6882.00,123,6835.08,6835.08,true,40.00,337.44,5393.72,0.64,858324.94
2025-01-10,6598.00,6666.00,6417.95,6536.50,6669.20,LONG,6598.00,130,6669.20,6536.50,false,40.00,341.50,-8376.50,-0.98,849948.44
2025-01-13,6515.00,6577.55,6266.65,6372.90,6508.64,SKIP,,,,,,,,,,849948.44
2025-01-14,6392.15,6540.00,6280.00,6519.95,6404.55,LONG,6392.15,132,6404.55,6404.55,true,40.00,337.83,1258.97,0.15,851207.41
2025-01-15,6521.00,6619.95,6460.00,6548.50,6426.39,SHORT,6521.00,130,6426.39,6548.50,false,40.00,339.81,-3954.81,-0.47,847252.60
2025-01-16,6617.00,6739.00,6556.10,6597.70,6544.18,SHORT,6617.00,128,6544.18,6597.70,false,40.00,338.30,2092.10,0.25,849344.71
2025-01-17,6599.95,6630.00,6399.05,6490.55,6620.32,LONG,6599.95,128,6620.32,6620.32,true,40.00,338.44,2228.92,0.26,851573.63
2025-01-20,6497.00,6572.45,6471.05,6550.65,6483.19,SHORT,6497.00,131,6483.19,6483.19,true,40.00,340.08,1429.03,0.17,853002.66
2025-01-21,6611.65,6695.85,6512.00,6588.40,6536.78,SHORT,6611.65,129,6536.78,6536.78,true,40.00,339.23,9279.00,1.09,862281.66
2025-01-22,6588.00,6596.00,6364.80,6515.95,6586.68,SKIP,,,,,,,,,,862281.66
2025-01-23,6500.00,6786.60,6500.00,6625.75,6453.44,SHORT,6500.00,132,6453.44,6625.75,false,40.00,346.52,-16985.52,-1.98,845296.14
2025-01-24,6627.00,6762.00,6480.00,6530.25,6664.50,LONG,6627.00,127,6664.50,6664.50,true,40.00,337.60,4384.90,0.52,849681.03
2025-01-27,6411.00,6551.95,6294.45,6406.15,6570.70,LONG,6411.00,132,6570.70,6406.15,false,40.00,338.37,-1018.57,-0.12,848662.46
2025-01-28,6416.55,6447.20,6125.00,6397.05,6375.93,SHORT,6416.55,132,6375.93,6375.93,true,40.00,337.72,4984.12,0.59,853646.58
2025-01-29,6429.00,6511.15,6370.00,6434.65,6310.92,SHORT,6429.00,132,6310.92,6434.65,false,40.00,339.60,-1125.40,-0.13,852521.18
2025-01-30,6466.80,6513.70,6307.00,6328.00,6431.50,SHORT,6466.80,131,6431.50,6431.50,true,40.00,337.94,4246.36,0.50,856767.54
2025-01-31,6369.10,6376.80,6262.00,6311.30,6403.72,LONG,6369.10,134,6403.72,6311.30,false,40.00,339.83,-8125.03,-0.95,848642.51
2025-02-01,6345.00,6559.00,6237.05,6501.20,6296.85,SHORT,6345.00,133,6296.85,6296.85,true,40.00,336.27,6027.68,0.71,854670.18
2025-02-03,6420.00,6575.00,6323.50,6352.95,6414.41,SKIP,,,,,,,,,,854670.18
