date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,532.90,538.00,524.80,533.00,525.55,SHORT,532.90,1876,525.55,525.55,true,40.00,397.13,13351.47,1.34,1013351.47
2025-01-03,533.50,549.00,525.00,528.25,531.48,SHORT,533.50,1899,531.48,531.48,true,40.00,404.48,3391.50,0.33,1016742.97
2025-01-06,529.80,529.80,485.60,487.75,534.46,LONG,529.80,1919,534.46,487.75,false,40.00,390.54,-81124.49,-7.98,935618.48
2025-01-07,481.35,503.55,481.35,491.15,499.79,LONG,481.35,1943,499.79,499.79,true,40.00,381.27,35407.65,3.79,971026.13
2025-01-08,493.45,493.45,475.25,476.95,492.26,SHORT,493.45,1967,492.26,492.26,true,40.00,387.78,1912.95,0.20,972939.09
2025-01-09,478.00,481.05,465.00,467.50,480.87,LONG,478.00,2035,480.87,480.87,true,40.00,390.26,5410.19,0.56,978349.28
2025-01-10,467.40,469.40,450.00,452.15,471.05,LONG,467.40,2093,471.05,452.15,false,40.00,384.92,-32343.17,-3.31,946006.10
2025-01-13,440.05,447.30,420.40,424.00,455.74,LONG,440.05,2149,455.74,424.00,false,40.00,371.37,-34902.82,-3.69,911103.28
2025-01-14,420.00,432.20,420.00,428.40,431.47,LONG,420.00,2169,431.47,431.47,true,40.00,369.37,24469.06,2.69,935572.35
2025-01-15,431.95,448.00,424.65,427.20,428.14,SHORT,431.95,2165,428.14,428.14,true,40.00,372.42,7836.23,0.84,943408.58
2025-01-16,430.35,441.45,430.05,431.45,435.60,LONG,430.35,2192,435.60,435.60,true,40.00,379.63,11088.37,1.18,954496.94
2025-01-17,432.00,434.60,426.05,430.15,435.10,LONG,432.00,2209,435.10,430.15,false,40.00,380.90,-4507.55,-0.47,949989.40
2025-01-20,434.00,434.00,424.45,432.05,430.02,SHORT,434.00,2188,430.02,430.02,true,40.00,378.10,8290.14,0.87,958279.54
2025-01-21,433.80,438.75,418.80,423.90,429.48,SHORT,433.80,2209,429.48,429.48,true,40.00,381.40,9121.48,0.95,967401.02
2025-01-22,425.50,427.60,406.05,416.20,425.71,SKIP,,,,,,,,,,967401.02
2025-01-23,416.15,420.35,411.25,413.05,413.54,SHORT,416.15,2324,413.54,413.54,true,40.00,385.64,5640.00,0.58,973041.02
2025-01-24,413.05,413.90,403.15,408.75,416.54,LONG,413.05,2355,416.54,408.75,false,40.00,387.07,-10553.57,-1.08,962487.46
2025-01-27,401.95,412.50,395.30,410.65,409.10,LONG,401.95,2394,409.10,409.10,true,40.00,388.33,16688.77,1.73,979176.23
2025-01-28,411.00,413.80,390.85,401.15,404.56,SHORT,411.00,2382,404.56,404.56,true,40.00,388.53,14911.55,1.52,994087.77
2025-01-29,401.30,406.95,399.15,403.80,399.50,SHORT,401.30,2477,399.50,399.50,true,40.00,396.72,4021.88,0.40,998109.66
2025-01-30,403.85,405.60,392.55,393.90,404.19,SKIP,,,,,,,,,,998109.66
2025-01-31,394.10,402.40,391.10,395.00,399.54,LONG,394.10,2532,399.54,399.54,true,40.00,401.90,13332.18,1.34,1011441.84
2025-02-01,395.00,399.70,380.00,382.55,396.12,LONG,395.00,2560,396.12,396.12,true,40.00,405.05,2422.15,0.24,1013863.98
2025-02-03,379.75,383.20,359.00,362.00,389.14,LONG,379.75,2669,389.14,362.00,false,40.00,395.95,-47810.70,-4.72,966053.29
2025-02-04,369.55,377.45,363.20,373.05,368.78,SHORT,369.55,2614,368.78,368.78,true,40.00,386.00,1586.78,0.16,967640.07
2025-02-05,375.65,390.40,373.00,374.80,369.69,SHORT,375.65,2575,369.69,374.80,false,40.00,386.48,1762.27,0.18,969402.34
2025-02-06,378.35,387.60,373.00,376.95,381.07,LONG,378.35,2562,381.07,381.07,true,40.00,389.13,6539.51,0.67,975941.85
2025-02-07,377.90,377.90,367.05,369.40,379.24,LONG,377.90,2582,379.24,369.40,false,40.00,385.91,-22372.91,-2.29,953568.94
2025-02-10,369.25,369.85,359.60,365.75,370.41,LONG,369.25,2582,370.41,365.75,false,40.00,379.55,-9456.55,-0.99,944112.39
2025-02-11,367.75,367.75,348.00,351.00,363.76,SHORT,367.75,2567,363.76,363.76,true,40.00,375.56,9826.77,1.04,953939.16
2025-02-12,348.05,350.35,333.80,342.95,354.52,LONG,348.05,2740,354.52,342.95,false,40.00,378.67,-14392.67,-1.51,939546.49
2025-02-13,346.75,356.45,340.00,342.80,341.92,SHORT,346.75,2709,341.92,341.92,true,40.00,373.12,12671.35,1.35,952217.84
2025-02-14,346.00,347.15,333.05,340.65,348.25,LONG,346.00,2752,348.25,340.65,false,40.00,377.93,-15141.13,-1.59,937076.71
2025-02-17,339.75,344.25,331.25,339.90,339.52,SKIP,,,,,,,,,,937076.71
2025-02-18,340.00,347.60,335.30,343.25,338.67,SHORT,340.00,2756,338.67,338.67,true,40.00,374.08,3251.40,0.35,940328.11
2025-02-19,343.25,359.50,337.95,352.05,342.29,SHORT,343.25,2739,342.29,342.29,true,40.00,375.54,2213.90,0.24,942542.01
