date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,137.65,143.27,137.65,142.85,137.01,SHORT,137.65,7264,137.01,142.85,false,40.00,407.51,-38220.31,-3.82,961779.69
2025-01-03,142.85,144.22,141.65,143.44,141.50,SHORT,142.85,6732,141.50,143.44,false,40.00,385.46,-4397.34,-0.46,957382.35
2025-01-06,143.44,143.81,136.62,138.39,143.13,SHORT,143.44,6674,143.13,143.13,true,40.00,382.51,1646.43,0.17,959028.78
2025-01-07,139.00,141.24,137.51,139.36,139.10,SKIP,,,,,,,,,,959028.78
2025-01-08,139.36,145.87,137.45,143.40,139.29,SKIP,,,,,,,,,,959028.78
2025-01-09,141.93,144.40,140.83,142.70,143.03,LONG,141.93,6757,143.03,143.03,true,40.00,385.09,7007.61,0.73,966036.38
2025-01-10,142.50,142.50,137.10,139.28,141.93,SHORT,142.50,6779,141.93,141.93,true,40.00,385.63,3438.40,0.36,969474.78
2025-01-13,134.12,136.75,129.20,130.89,138.96,LONG,134.12,7228,138.96,130.89,false,40.00,383.10,-23769.54,-2.45,945705.24
2025-01-14,132.00,135.10,131.69,133.73,132.93,LONG,132.00,7164,132.93,132.93,true,40.00,379.59,6242.93,0.66,951948.17
2025-01-15,134.81,142.35,132.45,140.07,133.55,SHORT,134.81,7061,133.55,133.55,true,40.00,378.98,8477.88,0.89,960426.05
2025-01-16,140.07,142.94,140.01,142.33,136.64,SHORT,140.07,6856,136.64,142.33,false,40.00,387.23,-15921.79,-1.66,944504.26
2025-01-17,141.01,144.24,140.39,143.03,141.87,LONG,141.01,6698,141.87,141.87,true,40.00,378.95,5341.33,0.57,949845.60
2025-01-20,143.00,145.49,141.33,144.47,142.81,SHORT,143.00,6642,142.81,142.81,true,40.00,379.67,842.31,0.09,950687.91
2025-01-21,141.31,147.57,140.00,146.07,143.59,LONG,141.31,6727,143.59,143.59,true,40.00,383.30,14914.26,1.57,965602.16
2025-01-22,145.93,145.94,138.00,139.37,145.62,SHORT,145.93,6616,145.62,145.62,true,40.00,385.78,1625.18,0.17,967227.35
2025-01-23,140.00,142.00,138.50,139.93,140.35,LONG,140.00,6908,140.35,140.35,true,40.00,387.33,1990.47,0.21,969217.81
2025-01-24,140.71,142.31,137.86,139.68,140.02,SHORT,140.71,6888,140.02,140.02,true,40.00,386.73,4325.99,0.45,973543.80
2025-01-27,139.61,142.15,134.20,141.55,140.11,LONG,139.61,6973,140.11,140.11,true,40.00,390.10,3056.40,0.31,976600.20
2025-01-28,142.59,144.23,137.00,141.87,138.21,SHORT,142.59,6849,138.21,138.21,true,40.00,384.64,29573.98,3.03,1006174.18
2025-01-29,141.87,147.37,141.59,146.16,140.90,SHORT,141.87,7092,140.90,146.16,false,40.00,408.54,-30873.22,-3.07,975300.96
2025-01-30,146.20,147.83,143.60,144.37,145.93,SHORT,146.20,6671,145.93,145.93,true,40.00,389.76,1371.41,0.14,976672.37
2025-01-31,144.35,146.70,143.64,145.47,146.13,LONG,144.35,6766,146.13,146.13,true,40.00,393.08,11610.40,1.19,988282.77
2025-02-01,146.95,147.60,142.65,145.97,145.52,SHORT,146.95,6725,145.52,145.52,true,40.00,393.37,9183.38,0.93,997466.15
2025-02-03,145.00,150.09,141.94,149.56,145.61,LONG,145.00,6879,145.61,145.61,true,40.00,399.82,3756.37,0.38,1001222.52
2025-02-04,150.00,152.94,148.79,152.03,147.91,SHORT,150.00,6674,147.91,152.03,false,40.00,403.15,-13991.37,-1.40,987231.15
2025-02-05,152.65,154.89,151.62,152.86,150.74,SHORT,152.65,6467,150.74,152.86,false,40.00,395.15,-1793.22,-0.18,985437.93
2025-02-06,152.86,153.90,150.11,150.76,153.11,LONG,152.86,6446,153.11,153.11,true,40.00,394.46,1177.04,0.12,986614.98
2025-02-07,150.76,152.80,148.12,149.21,151.96,LONG,150.76,6544,151.96,151.96,true,40.00,396.20,7416.60,0.75,994031.58
2025-02-10,151.00,152.21,147.10,147.60,150.76,SHORT,151.00,6582,150.76,150.76,true,40.00,397.24,1142.44,0.11,995174.02
2025-02-11,147.51,147.76,138.21,140.97,148.74,LONG,147.51,6746,148.74,140.97,false,40.00,389.22,-44548.06,-4.48,950625.96
2025-02-12,140.00,142.33,135.84,140.73,141.26,LONG,140.00,6790,141.26,141.26,true,40.00,381.95,8133.45,0.86,958759.41
2025-02-13,140.01,143.34,139.67,140.33,139.79,SHORT,140.01,6847,139.79,139.79,true,40.00,383.16,1083.18,0.11,959842.59
2025-02-14,142.22,142.44,135.00,136.96,141.30,SHORT,142.22,6748,141.30,141.30,true,40.00,382.64,5785.52,0.60,965628.12
