date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,117.87,119.40,113.79,114.25,114.46,SHORT,117.87,8483,114.46,114.46,true,40.00,394.17,28492.86,2.85,1028492.86
2025-01-03,114.90,121.70,114.04,120.66,116.32,LONG,114.90,8951,116.32,116.32,true,40.00,413.93,12256.49,1.19,1040749.35
2025-01-06,121.40,126.80,119.00,120.28,118.76,SHORT,121.40,8572,118.76,120.28,false,40.00,414.34,9146.30,0.88,1049895.65
2025-01-07,121.75,128.29,119.20,123.16,123.29,LONG,121.75,8623,123.29,123.29,true,40.00,422.60,12816.82,1.22,1062712.48
2025-01-08,123.90,123.99,119.70,121.30,124.79,LONG,123.90,8577,124.79,121.30,false,40.00,420.62,-22760.82,-2.14,1039951.66
2025-01-09,120.90,124.29,114.45,115.18,121.31,LONG,120.90,8601,121.31,121.31,true,40.00,416.65,3069.76,0.30,1043021.42
2025-01-10,115.18,115.77,108.63,109.09,118.98,LONG,115.18,9055,118.98,109.09,false,40.00,406.15,-55591.10,-5.33,987430.32
2025-01-13,107.69,109.59,102.28,104.27,111.31,LONG,107.69,9169,111.31,104.27,false,40.00,388.69,-31786.67,-3.22,955643.65
2025-01-14,104.27,108.85,104.18,106.51,105.70,LONG,104.27,9165,105.70,105.70,true,40.00,384.88,12681.07,1.33,968324.72
2025-01-15,107.15,111.50,105.84,110.67,106.54,SHORT,107.15,9037,106.54,106.54,true,40.00,386.22,5086.35,0.53,973411.07
2025-01-16,112.70,117.25,111.73,113.70,109.04,SHORT,112.70,8637,109.04,113.70,false,40.00,391.08,-9068.08,-0.93,964342.98
2025-01-17,114.61,119.39,114.06,116.53,114.71,SKIP,,,,,,,,,,964342.98
2025-01-20,117.46,118.61,114.09,114.60,117.15,SHORT,117.46,8209,117.15,117.15,true,40.00,385.18,2119.61,0.22,966462.59
2025-01-21,115.49,125.75,114.41,124.52,115.74,LONG,115.49,8368,115.74,115.74,true,40.00,386.99,1665.01,0.17,968127.60
2025-01-22,124.00,130.40,121.14,126.40,121.51,SHORT,124.00,7807,121.51,121.51,true,40.00,383.34,19016.09,1.96,987143.70
2025-01-23,124.46,126.70,121.01,122.55,126.36,LONG,124.46,7931,126.36,126.36,true,40.00,397.85,14631.05,1.48,1001774.74
