date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,102.66,105.92,101.45,105.48,102.62,SKIP,,,,,,,,,,1000000.00
2025-01-03,105.45,107.25,105.22,106.40,104.07,SHORT,105.45,9483,104.07,106.40,false,40.00,401.79,-9450.64,-0.95,990549.36
2025-01-06,106.37,106.37,101.28,101.74,106.36,SKIP,,,,,,,,,,990549.36
2025-01-07,102.00,104.59,102.00,103.11,102.49,LONG,102.00,9711,102.49,102.49,true,40.00,397.16,4321.23,0.44,994870.58
2025-01-08,103.24,103.46,101.07,101.97,103.60,LONG,103.24,9636,103.60,101.97,false,40.00,395.48,-12673.20,-1.27,982197.38
2025-01-09,101.90,102.30,100.75,102.03,102.14,LONG,101.90,9638,102.14,102.14,true,40.00,393.31,1879.81,0.19,984077.20
2025-01-10,101.73,101.88,98.32,98.64,101.57,SHORT,101.73,9673,101.57,101.57,true,40.00,393.30,1114.38,0.11,985191.57
2025-01-13,98.00,98.50,94.65,95.42,99.68,LONG,98.00,10052,99.68,95.42,false,40.00,388.85,-26363.01,-2.68,958828.56
2025-01-14,95.45,99.18,95.45,98.41,96.88,LONG,95.45,10045,96.88,96.88,true,40.00,386.39,13937.96,1.45,972766.52
2025-01-15,99.00,99.94,97.50,98.25,97.62,SHORT,99.00,9825,97.62,97.62,true,40.00,386.36,13132.14,1.35,985898.66
2025-01-16,99.50,101.90,99.33,100.22,98.75,SHORT,99.50,9908,98.75,100.22,false,40.00,395.77,-7569.53,-0.77,978329.14
2025-01-17,100.14,100.70,99.33,100.13,100.87,LONG,100.14,9769,100.87,100.13,false,40.00,391.29,-528.98,-0.05,977800.16
2025-01-20,100.80,102.75,99.45,101.00,100.01,SHORT,100.80,9700,100.01,100.01,true,40.00,389.57,7233.43,0.74,985033.59
2025-01-21,101.65,101.85,99.48,100.32,101.37,SHORT,101.65,9690,101.37,101.37,true,40.00,393.45,2279.75,0.23,987313.33
2025-01-22,100.32,100.79,96.25,98.20,100.55,LONG,100.32,9841,100.55,100.55,true,40.00,395.35,1828.08,0.19,989141.41
2025-01-23,97.89,100.00,97.21,99.43,97.93,SKIP,,,,,,,,,,989141.41
2025-01-24,99.25,99.79,96.51,97.62,98.84,SHORT,99.25,9966,98.84,98.84,true,40.00,394.83,3651.23,0.37,992792.64
2025-01-27,97.00,97.20,94.66,95.51,98.05,LONG,97.00,10234,98.05,95.51,false,40.00,394.03,-15682.69,-1.58,977109.95
2025-01-28,97.50,100.15,95.75,99.78,96.02,SHORT,97.50,10021,96.02,96.02,true,40.00,387.85,14403.23,1.47,991513.18
2025-01-29,100.30,100.40,97.30,97.77,98.30,SHORT,100.30,9885,98.30,98.30,true,40.00,392.63,19337.37,1.95,1010850.54
2025-01-30,98.28,98.54,96.00,96.52,98.42,LONG,98.28,10285,98.42,98.42,true,40.00,404.61,995.29,0.10,1011845.83
2025-01-31,96.99,101.87,96.36,101.20,96.95,SKIP,,,,,,,,,,1011845.83
2025-02-01,101.99,101.99,97.86,99.35,100.09,SHORT,101.99,9921,100.09,100.09,true,40.00,400.97,18408.93,1.82,1030254.77
2025-02-03,98.15,99.34,97.29,98.32,100.23,LONG,98.15,10496,100.23,98.32,false,40.00,412.43,1331.89,0.13,1031586.66
2025-02-04,99.35,100.73,98.71,99.05,98.16,SHORT,99.35,10383,98.16,99.05,false,40.00,412.00,2662.90,0.26,1034249.56
2025-02-05,100.20,101.20,99.95,100.26,99.54,SHORT,100.20,10321,99.54,100.26,false,40.00,413.79,-1073.05,-0.10,1033176.51
2025-02-06,100.80,101.01,99.40,99.72,100.57,SHORT,100.80,10249,100.57,100.57,true,40.00,412.77,1904.50,0.18,1035081.01
2025-02-07,99.90,100.27,98.17,99.27,99.97,SKIP,,,,,,,,,,1035081.01
2025-02-10,99.25,99.84,97.85,98.31,99.22,SKIP,,,,,,,,,,1035081.01
2025-02-11,98.26,98.74,95.01,95.22,98.57,LONG,98.26,10534,98.57,98.57,true,40.00,414.68,2810.86,0.27,1037891.87
2025-02-12,95.40,96.31,91.90,95.67,95.95,LONG,95.40,10879,95.95,95.95,true,40.00,416.34,5527.11,0.53,1043418.98
2025-02-13,95.67,96.66,94.50,94.64,94.59,SHORT,95.67,10906,94.59,94.59,true,40.00,415.00,11323.48,1.09,1054742.47
2025-02-14,95.35,95.49,91.01,92.25,95.68,LONG,95.35,11061,95.68,92.25,false,40.00,415.01,-34744.11,-3.29,1019998.36
2025-02-17,92.23,93.49,90.16,93.18,92.77,LONG,92.23,11059,92.77,92.77,true,40.00,409.18,5522.68,0.54,1025521.03
2025-02-18,93.00,93.44,91.30,91.86,92.02,SHORT,93.00,11027,92.02,92.02,true,40.00,408.04,10358.42,1.01,1035879.45
2025-02-19,91.00,93.59,90.59,92.86,91.94,LONG,91.00,11383,91.94,91.94,true,40.00,416.48,10243.54,0.99,1046122.99
2025-02-20,92.65,96.08,92.00,95.65,92.73,SKIP,,,,,,,,,,1046122.99
2025-02-21,95.54,96.29,93.81,94.25,94.99,SHORT,95.54,10949,94.99,94.99,true,40.00,417.22,5564.73,0.53,1051687.72
2025-02-24,93.50,94.64,92.78,93.99,94.88,LONG,93.50,11247,94.88,93.99,false,40.00,421.74,5049.29,0.48,1056737.01
2025-02-25,94.00,94.79,92.66,93.12,93.74,SHORT,94.00,11241,93.74,93.74,true,40.00,422.08,2460.58,0.23,1059197.59
2025-02-27,93.50,93.85,91.60,91.96,93.20,SHORT,93.50,11328,93.20,93.20,true,40.00,422.99,2935.41,0.28,1062133.00
2025-02-28,91.29,91.29,87.00,87.39,92.40,LONG,91.29,11634,92.40,87.39,false,40.00,415.75,-45828.35,-4.32,1016304.65
2025-03-03,87.80,88.70,85.49,87.29,88.36,LONG,87.80,11575,88.36,88.36,true,40.00,407.81,6034.19,0.59,1022338.84
2025-03-04,86.50,88.55,85.46,87.09,86.89,LONG,86.50,11818,86.89,86.89,true,40.00,409.82,4159.20,0.41,1026498.03
2025-03-05,87.00,90.13,87.00,89.74,87.38,LONG,87.00,11798,87.38,87.38,true,40.00,411.47,4031.77,0.39,1030529.81
2025-03-06,90.51,92.00,90.50,90.99,89.24,SHORT,90.51,11385,89.24,90.99,false,40.00,413.28,-5918.08,-0.57,1024611.73
