date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,3552.00,3688.00,3552.00,3672.45,3558.28,LONG,3552.00,281,3558.28,3558.28,true,40.00,399.60,1325.08,0.13,1001325.08
2025-01-03,3672.05,3693.60,3595.00,3609.65,3635.38,SHORT,3672.05,272,3635.38,3635.38,true,40.00,397.52,9536.72,0.95,1010861.80
2025-01-06,3602.00,3609.65,3472.10,3489.60,3631.68,LONG,3602.00,280,3631.68,3489.60,false,40.00,397.13,-31909.13,-3.16,978952.67
2025-01-07,3492.00,3516.35,3450.00,3473.70,3510.44,LONG,3492.00,280,3510.44,3510.44,true,40.00,392.14,4731.06,0.48,983683.73
2025-01-08,3504.90,3530.00,3425.00,3521.95,3475.96,SHORT,3504.90,280,3475.96,3475.96,true,40.00,390.93,7672.27,0.78,991356.00
2025-01-09,3504.35,3673.65,3500.00,3568.30,3469.79,SHORT,3504.35,282,3469.79,3568.30,false,40.00,398.90,-18472.80,-1.87,972883.21
2025-01-10,3550.00,3568.35,3442.35,3454.50,3602.52,LONG,3550.00,274,3602.52,3454.50,false,40.00,383.85,-26590.85,-2.73,946292.36
2025-01-13,3406.10,3448.30,3219.45,3230.90,3493.53,LONG,3406.10,277,3493.53,3230.90,false,40.00,367.69,-48938.09,-5.19,897354.27
2025-01-14,3280.40,3366.95,3270.40,3321.30,3310.50,LONG,3280.40,273,3310.50,3310.50,true,40.00,359.86,7817.44,0.87,905171.71
2025-01-15,3319.00,3330.75,3253.20,3297.80,3317.98,SKIP,,,,,,,,,,905171.71
2025-01-16,3340.00,3388.95,3303.50,3322.05,3289.05,SHORT,3340.00,271,3289.05,3322.05,false,40.00,361.08,4463.37,0.49,909635.07
2025-01-17,3321.00,3427.95,3315.25,3408.80,3340.91,LONG,3321.00,273,3340.91,3340.91,true,40.00,363.74,5031.69,0.55,914666.76
2025-01-20,3402.25,3481.15,3339.25,3438.45,3391.87,SHORT,3402.25,268,3391.87,3391.87,true,40.00,364.16,2377.68,0.26,917044.44
2025-01-21,3428.10,3485.00,3348.20,3380.25,3417.32,SHORT,3428.10,267,3417.32,3417.32,true,40.00,365.55,2472.71,0.27,919517.15
2025-01-22,3380.25,3392.50,3204.05,3233.95,3398.36,LONG,3380.25,272,3398.36,3233.95,false,40.00,359.81,-40193.41,-4.37,879323.74
2025-01-23,3220.15,3385.60,3220.00,3363.70,3261.79,LONG,3220.15,273,3261.79,3261.79,true,40.00,353.91,10973.81,1.25,890297.55
2025-01-24,3356.10,3385.95,3218.00,3232.15,3334.46,SHORT,3356.10,265,3334.46,3334.46,true,40.00,354.60,5340.00,0.60,895637.55
2025-01-27,3224.05,3232.70,3178.85,3205.05,3276.60,LONG,3224.05,277,3276.60,3205.05,false,40.00,356.17,-5659.17,-0.63,889978.37
2025-01-28,3205.05,3214.20,3069.00,3138.30,3205.27,SKIP,,,,,,,,,,889978.37
2025-01-29,3125.00,3275.00,3125.00,3199.45,3120.03,SHORT,3125.00,284,3120.03,3199.45,false,40.00,359.23,-21543.03,-2.43,868435.35
2025-01-30,3200.00,3304.80,3191.00,3288.55,3203.89,LONG,3200.00,271,3203.89,3203.89,true,40.00,347.09,667.10,0.08,869102.45
2025-01-31,3308.40,3354.00,3269.15,3322.10,3226.36,SHORT,3308.40,262,3226.36,3322.10,false,40.00,347.44,-3976.84,-0.46,865125.61
2025-02-01,3322.10,3341.85,3139.95,3175.00,3309.82,SHORT,3322.10,260,3309.82,3309.82,true,40.00,344.86,2807.94,0.33,867933.55
2025-02-03,3175.00,3203.05,2982.25,3044.80,3235.43,LONG,3175.00,273,3235.43,3044.80,false,40.00,339.60,-35924.20,-4.14,832009.35
2025-02-04,3089.15,3180.00,3071.35,3092.60,3071.69,SHORT,3089.15,269,3071.69,3071.69,true,40.00,331.45,4325.29,0.52,836334.63
2025-02-05,3090.00,3097.35,2972.15,2982.50,3105.26,LONG,3090.00,270,3105.26,2982.50,false,40.00,327.92,-29392.92,-3.52,806941.72
2025-02-06,3012.35,3015.50,2955.00,2966.15,3004.59,SHORT,3012.35,267,3004.59,3004.59,true,40.00,321.30,1710.62,0.21,808652.33
2025-02-07,2967.15,2970.00,2890.00,2909.85,2973.50,LONG,2967.15,272,2973.50,2909.85,false,40.00,319.71,-15945.31,-1.98,792707.02
2025-02-10,2909.85,2950.85,2855.00,2868.20,2916.89,LONG,2909.85,272,2916.89,2916.89,true,40.00,316.97,1557.91,0.20,794264.93
2025-02-11,2875.00,2875.05,2718.60,2739.60,2891.53,LONG,2875.00,276,2891.53,2739.60,false,40.00,309.93,-37720.33,-4.75,756544.60
2025-02-12,2739.60,2753.45,2632.10,2682.60,2771.95,LONG,2739.60,276,2771.95,2682.60,false,40.00,299.31,-16071.31,-2.13,740473.30
2025-02-13,2680.00,2751.00,2680.00,2713.30,2679.70,SKIP,,,,,,,,,,740473.30
2025-02-14,2744.00,2744.00,2555.00,2580.50,2717.11,SHORT,2744.00,269,2717.11,2717.11,true,40.00,293.81,6899.60,0.93,747372.90
2025-02-17,2540.05,2612.95,2513.50,2603.60,2596.02,LONG,2540.05,294,2596.02,2596.02,true,40.00,302.00,16113.18,2.16,763486.08
2025-02-18,2601.00,2636.00,2589.00,2609.90,2578.14,SHORT,2601.00,293,2578.14,2609.90,false,40.00,305.36,-2953.06,-0.39,760533.02
2025-02-19,2600.00,2693.60,2585.70,2678.00,2607.85,LONG,2600.00,292,2607.85,2607.85,true,40.00,304.14,1948.06,0.26,762481.08
2025-02-20,2645.05,2784.00,2645.05,2762.90,2665.51,LONG,2645.05,288,2665.51,2665.51,true,40.00,305.89,5546.59,0.73,768027.67
2025-02-21,2732.00,2797.15,2673.00,2685.65,2733.26,SKIP,,,,,,,,,,768027.67
2025-02-24,2660.00,2686.70,2600.00,2662.70,2719.24,LONG,2660.00,288,2719.24,2662.70,false,40.00,306.59,431.01,0.06,768458.69
2025-02-25,2630.00,2673.30,2581.60,2595.45,2646.61,LONG,2630.00,292,2646.61,2646.61,true,40.00,308.15,4501.97,0.59,772960.65
2025-02-27,2590.05,2603.95,2519.30,2543.80,2601.08,LONG,2590.05,298,2601.08,2601.08,true,40.00,309.39,2937.55,0.38,775898.20
2025-02-28,2516.40,2539.00,2407.10,2462.15,2544.44,LONG,2516.40,308,2544.44,2462.15,false,40.00,306.68,-17055.68,-2.20,758842.52
2025-03-03,2462.15,2658.35,2419.35,2640.10,2455.62,SHORT,2462.15,308,2455.62,2455.62,true,40.00,302.93,1668.31,0.22,760510.83
2025-03-04,2600.00,2760.00,2580.00,2718.70,2559.66,SHORT,2600.00,292,2559.66,2718.70,false,40.00,310.61,-35011.01,-4.61,725499.82
2025-03-05,2678.00,2729.00,2660.25,2697.45,2707.51,LONG,2678.00,270,2707.51,2707.51,true,40.00,290.82,7636.88,1.06,733136.70
2025-03-06,2705.05,2710.95,2615.00,2650.15,2691.76,SHORT,2705.05,271,2691.76,2691.76,true,40.00,292.51,3269.08,0.45,736405.78
2025-03-07,2650.15,2717.00,2642.05,2701.80,2668.86,LONG,2650.15,277,2668.86,2668.86,true,40.00,294.67,4848.00,0.66,741253.78
2025-03-10,2706.00,2757.00,2684.95,2714.60,2689.60,SHORT,2706.00,273,2689.60,2689.60,true,40.00,294.60,4142.60,0.56,745396.38
2025-03-11,2700.00,2929.00,2691.15,2882.05,2726.31,LONG,2700.00,276,2726.31,2726.31,true,40.00,299.53,6922.03,0.93,752318.41
2025-03-12,2885.00,2928.00,2848.95,2917.95,2873.62,SHORT,2885.00,260,2873.62,2873.62,true,40.00,299.45,2619.35,0.35,754937.76
2025-03-13,2915.50,2964.55,2890.15,2926.55,2888.57,SHORT,2915.50,258,2888.57,2926.55,false,40.00,301.45,-3192.35,-0.42,751745.41
