date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,567.65,570.65,550.00,551.55,553.04,SHORT,567.65,1761,553.04,553.04,true,40.00,394.71,25293.50,2.53,1025293.50
2026-06-02,550.70,551.80,542.00,546.60,557.19,LONG,550.70,1861,557.19,546.60,false,40.00,408.42,-8078.52,-0.79,1017214.99
2026-06-03,546.50,573.90,542.20,572.20,545.52,SHORT,546.50,1861,545.52,545.52,true,40.00,406.45,1377.33,0.14,1018592.32
2026-06-04,572.20,589.60,567.10,571.85,561.97,SHORT,572.20,1780,561.97,571.85,false,40.00,407.28,175.72,0.02,1018768.04
2026-06-05,571.80,586.95,571.75,580.70,578.57,LONG,571.80,1781,578.57,578.57,true,40.00,409.76,11607.61,1.14,1030375.64
2026-06-08,575.00,580.10,560.75,567.65,581.31,LONG,575.00,1791,581.31,567.65,false,40.00,409.30,-13613.15,-1.32,1016762.50
2026-06-09,565.40,584.85,565.30,583.10,569.55,LONG,565.40,1798,569.55,569.55,true,40.00,408.13,7013.57,0.69,1023776.07
2026-06-10,588.80,589.65,569.25,571.70,579.84,SHORT,588.80,1738,579.84,579.84,true,40.00,406.22,15126.26,1.48,1038902.33
2026-06-11,569.00,612.00,560.00,608.45,578.05,LONG,569.00,1825,578.05,578.05,true,40.00,418.67,16057.58,1.55,1054959.91
2026-06-12,614.50,646.95,608.85,644.45,598.83,SHORT,614.50,1716,598.83,644.45,false,40.00,432.07,-51866.27,-4.92,1003093.64
2026-06-15,648.95,652.60,620.90,627.85,630.01,SHORT,648.95,1545,630.01,630.01,true,40.00,395.20,28827.10,2.88,1031920.74
2026-06-16,629.50,634.80,620.50,629.75,637.89,LONG,629.50,1639,637.89,629.75,false,40.00,412.78,-43.03,-0.00,1031877.70
2026-06-17,633.00,633.70,623.00,630.25,628.02,SHORT,633.00,1630,628.02,628.02,true,40.00,411.09,7666.31,0.74,1039544.01
2026-06-18,636.70,646.80,629.50,632.80,627.69,SHORT,636.70,1632,627.69,632.80,false,40.00,414.36,5910.44,0.57,1045454.45
2026-06-19,635.90,640.90,625.00,631.25,637.64,LONG,635.90,1644,637.64,637.64,true,40.00,418.74,2401.82,0.23,1047856.27
2026-06-22,634.40,642.00,630.00,631.55,632.01,SHORT,634.40,1651,632.01,632.01,true,40.00,418.17,3487.72,0.33,1051343.99
2026-06-23,634.90,638.60,610.15,620.55,635.11,SKIP,,,,,,,,,,1051343.99
2026-06-24,624.45,632.45,617.55,629.05,621.34,SHORT,624.45,1683,621.34,621.34,true,40.00,419.33,4774.80,0.45,1056118.79
2026-06-25,628.90,628.90,618.35,622.30,625.94,SHORT,628.90,1679,625.94,625.94,true,40.00,421.38,4508.46,0.43,1060627.25
2026-06-29,624.05,668.50,624.05,659.50,622.86,SHORT,624.05,1699,622.86,659.50,false,40.00,436.15,-60705.70,-5.73,999921.55
2026-06-30,664.95,675.45,650.30,667.90,652.61,SHORT,664.95,1503,652.61,652.61,true,40.00,396.06,18110.96,1.81,1018032.51
2026-07-01,666.95,675.95,660.90,669.55,664.58,SHORT,666.95,1526,664.58,664.58,true,40.00,406.38,3170.24,0.31,1021202.75
2026-07-02,673.10,675.00,661.00,672.95,669.18,SHORT,673.10,1517,669.18,669.18,true,40.00,407.25,5499.39,0.54,1026702.14
2026-07-03,674.95,674.95,650.25,655.15,668.41,SHORT,674.95,1521,668.41,668.41,true,40.00,408.65,9498.69,0.93,1036200.83
2026-07-06,655.15,711.70,651.00,702.70,657.72,LONG,655.15,1581,657.72,657.72,true,40.00,415.13,3608.04,0.35,1039808.87
2026-07-07,708.70,711.35,680.10,686.00,696.07,SHORT,708.70,1467,696.07,696.07,true,40.00,412.16,18076.05,1.74,1057884.92
2026-07-08,686.00,697.50,668.00,674.80,693.17,LONG,686.00,1542,693.17,693.17,true,40.00,425.34,10590.80,1.00,1068475.73
2026-07-09,670.00,684.00,665.00,666.60,681.17,LONG,670.00,1594,681.17,681.17,true,40.00,430.75,17334.23,1.62,1085809.95
2026-07-10,667.95,676.45,645.05,648.75,672.32,LONG,667.95,1625,672.32,672.32,true,40.00,435.59,6625.66,0.61,1092435.61
2026-07-13,645.00,645.00,623.10,626.25,650.34,LONG,645.00,1693,650.34,626.25,false,40.00,430.45,-32214.20,-2.95,1060221.42
2026-07-14,624.00,628.80,613.00,622.25,634.07,LONG,624.00,1699,634.07,622.25,false,40.00,423.48,-3436.73,-0.32,1056784.69
2026-07-15,625.00,628.70,611.00,620.45,619.45,SHORT,625.00,1690,619.45,619.45,true,40.00,420.62,8918.88,0.84,1065703.57
2026-07-16,623.95,637.00,615.00,628.80,616.94,SHORT,623.95,1707,616.94,616.94,true,40.00,423.64,11502.43,1.08,1077206.00
2026-07-17,631.90,633.95,610.30,616.55,625.00,SHORT,631.90,1704,625.00,625.00,true,40.00,428.35,11289.25,1.05,1088495.25
2026-07-20,622.35,629.35,616.05,626.35,619.35,SHORT,622.35,1749,619.35,619.35,true,40.00,434.35,4772.65,0.44,1093267.90
2026-07-21,629.00,630.95,618.00,619.40,622.59,SHORT,629.00,1738,622.59,622.59,true,40.00,435.05,10665.53,0.98,1103933.43
2026-07-22,618.00,628.65,611.60,615.70,621.85,LONG,618.00,1786,621.85,621.85,true,40.00,442.87,6393.23,0.58,1110326.65
2026-07-23,613.90,623.40,593.40,602.55,618.51,LONG,613.90,1808,618.51,618.51,true,40.00,445.64,7849.24,0.71,1118175.90
2026-07-24,585.00,626.70,580.00,620.75,609.35,LONG,585.00,1911,609.35,609.35,true,40.00,456.48,46036.37,4.12,1164212.26
2026-07-27,630.00,641.95,621.15,624.30,612.05,SHORT,630.00,1847,612.05,624.30,false,40.00,463.34,10024.56,0.86,1174236.83
2026-07-28,624.30,625.05,613.70,620.30,631.16,LONG,624.30,1880,631.16,620.30,false,40.00,467.97,-8027.97,-0.68,1166208.86
2026-07-29,620.95,648.00,619.00,644.80,618.23,SHORT,620.95,1878,618.23,644.80,false,40.00,475.42,-45305.72,-3.89,1120903.14
2026-07-30,652.00,655.00,637.05,648.45,639.79,SHORT,652.00,1719,639.79,639.79,true,40.00,444.12,20504.87,1.83,1141408.01
2026-07-31,654.00,654.00,613.70,619.50,649.05,SHORT,654.00,1745,649.05,649.05,true,40.00,454.76,8142.99,0.71,1149551.00
2026-08-03,619.50,630.00,616.00,619.55,628.32,LONG,619.50,1855,628.32,628.32,true,40.00,462.94,15858.16,1.38,1165409.16
2026-08-04,619.65,628.20,606.40,622.85,622.57,LONG,619.65,1880,622.57,622.57,true,40.00,467.07,4982.53,0.43,1170391.68
2026-08-05,620.00,631.00,610.65,614.15,615.51,SHORT,620.00,1887,615.51,615.51,true,40.00,466.28,7966.35,0.68,1178358.03
2026-08-06,615.05,619.65,596.85,605.00,620.53,LONG,615.05,1915,620.53,605.00,false,40.00,467.28,-19753.03,-1.68,1158605.00
2026-08-07,608.70,617.75,584.75,599.25,606.70,SHORT,608.70,1903,606.70,606.70,true,40.00,462.58,3303.42,0.29,1161908.42
2026-08-10,598.50,628.00,591.75,624.70,598.31,SKIP,,,,,,,,,,1161908.42
2026-08-11,630.00,630.70,616.05,619.80,617.31,SHORT,630.00,1844,617.31,617.31,true,40.00,460.01,22900.35,1.97,1184808.77
2026-08-12,622.60,622.90,603.05,614.15,621.26,SHORT,622.60,1903,621.26,621.26,true,40.00,473.41,2036.61,0.17,1186845.38
2026-08-13,617.00,638.00,615.40,627.70,608.30,SHORT,617.00,1923,608.30,627.70,false,40.00,478.71,-21094.81,-1.78,1165750.57
2026-08-14,630.70,631.95,591.10,599.45,630.06,SHORT,630.70,1848,630.06,630.06,true,40.00,465.98,676.74,0.06,1166427.31
2026-08-17,601.90,611.90,593.20,610.65,605.03,LONG,601.90,1937,605.03,605.03,true,40.00,467.56,5555.25,0.48,1171982.56
2026-08-18,612.95,617.90,607.80,612.60,602.93,SHORT,612.95,1912,602.93,612.60,false,40.00,468.65,160.55,0.01,1172143.11
2026-08-19,614.90,614.90,595.00,598.05,612.93,SHORT,614.90,1906,612.93,612.93,true,40.00,468.05,3246.77,0.28,1175389.88
2026-08-20,600.90,604.45,587.95,595.45,603.17,LONG,600.90,1956,603.17,603.17,true,40.00,471.03,3929.09,0.33,1179318.97
2026-08-21,590.80,599.90,584.30,595.00,597.97,LONG,590.80,1996,597.97,597.97,true,40.00,474.56,13796.76,1.17,1193115.73
2026-08-24,607.90,615.30,592.20,610.35,592.95,SHORT,607.90,1962,592.95,592.95,true,40.00,471.21,28820.69,2.42,1221936.42
2026-08-25,615.00,643.90,613.40,633.45,606.08,SHORT,615.00,1986,606.08,633.45,false,40.00,495.88,-37177.58,-3.04,1184758.83
2026-08-26,635.65,635.65,611.60,613.70,632.14,SHORT,635.65,1863,632.14,632.14,true,40.00,472.38,6026.75,0.51,1190785.58
2026-08-27,619.90,621.20,605.00,607.50,622.15,LONG,619.90,1920,622.15,607.50,false,40.00,471.32,-24319.32,-2.04,1166466.26
2026-08-28,607.50,613.40,605.65,610.00,611.84,LONG,607.50,1920,611.84,611.84,true,40.00,468.23,7824.57,0.67,1174290.83
2026-08-31,610.00,622.25,600.25,618.40,609.94,SKIP,,,,,,,,,,1174290.83
