date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,3176.70,3188.10,2995.80,3018.90,3099.28,SHORT,3176.70,314,3099.28,3099.28,true,40.00,394.13,23875.75,2.39,1023875.75
2026-06-02,3000.00,3059.80,2902.00,3037.60,3067.02,LONG,3000.00,341,3067.02,3037.60,false,40.00,411.76,12369.84,1.21,1036245.58
2026-06-03,3049.00,3180.00,3037.70,3135.70,2978.67,SHORT,3049.00,339,2978.67,3135.70,false,40.00,419.32,-29850.62,-2.89,1006394.96
2026-06-04,3136.00,3188.00,3115.60,3164.70,3124.96,SHORT,3136.00,320,3124.96,3124.96,true,40.00,400.70,3092.10,0.31,1009487.06
2026-06-05,3163.10,3348.90,3161.70,3328.30,3163.71,SKIP,,,,,,,,,,1009487.06
2026-06-08,3232.00,3444.30,3232.00,3316.20,3288.64,LONG,3232.00,312,3288.64,3288.64,true,40.00,406.89,17224.79,1.71,1026711.85
2026-06-09,3300.00,3311.60,3181.10,3198.70,3356.14,LONG,3300.00,311,3356.14,3198.70,false,40.00,404.22,-31948.52,-3.11,994763.33
2026-06-10,3201.00,3295.00,3150.90,3207.00,3219.36,LONG,3201.00,310,3219.36,3219.36,true,40.00,398.06,5253.54,0.53,1000016.87
2026-06-11,3230.00,3230.00,3070.00,3128.10,3230.81,SKIP,,,,,,,,,,1000016.87
2026-06-12,3154.00,3190.50,3070.20,3145.30,3132.50,SHORT,3154.00,317,3132.50,3132.50,true,40.00,398.56,6376.94,0.64,1006393.81
2026-06-15,3249.90,3249.90,3072.00,3096.70,3125.82,SHORT,3249.90,309,3125.82,3125.82,true,40.00,394.02,37906.70,3.77,1044300.51
2026-06-16,3106.00,3109.00,2960.20,2996.50,3127.36,LONG,3106.00,336,3127.36,2996.50,false,40.00,410.09,-37242.09,-3.57,1007058.42
2026-06-17,2982.00,3058.60,2962.40,2999.90,3006.47,LONG,2982.00,337,3006.47,3006.47,true,40.00,403.62,7802.77,0.78,1014861.19
2026-06-18,3005.00,3147.60,3005.00,3136.30,3004.06,SKIP,,,,,,,,,,1014861.19
2026-06-19,3151.90,3261.00,3130.20,3246.20,3109.76,SHORT,3151.90,321,3109.76,3246.20,false,40.00,410.76,-30721.06,-3.04,984140.13
2026-06-22,3262.60,3264.00,3170.20,3249.60,3204.05,SHORT,3262.60,301,3204.05,3204.05,true,40.00,389.29,17194.26,1.75,1001334.39
