date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,200.00,200.16,191.50,192.88,199.54,SHORT,200.00,5000,199.54,199.54,true,40.00,399.54,1860.46,0.19,1001860.46
2026-06-02,191.00,196.49,189.49,195.41,194.47,LONG,191.00,5245,194.47,194.47,true,40.00,404.36,17755.79,1.77,1019616.25
2026-06-03,198.00,198.00,188.75,193.00,193.52,SHORT,198.00,5149,193.52,193.52,true,40.00,403.19,22624.33,2.22,1042240.58
2026-06-04,190.50,195.50,190.50,191.54,192.45,LONG,190.50,5471,192.45,192.45,true,40.00,419.02,10209.43,0.98,1052450.01
2026-06-05,194.00,194.00,187.21,190.19,192.78,SHORT,194.00,5425,192.78,192.78,true,40.00,419.66,6158.84,0.59,1058608.85
2026-06-08,187.01,187.91,182.50,184.26,190.20,LONG,187.01,5660,190.20,184.26,false,40.00,420.28,-16025.28,-1.51,1042583.58
2026-06-09,185.00,194.69,184.32,191.67,184.71,SHORT,185.00,5635,184.71,184.71,true,40.00,416.66,1177.49,0.11,1043761.06
2026-06-10,196.48,203.04,194.68,197.85,190.36,SHORT,196.48,5312,190.36,197.85,false,40.00,418.94,-7736.38,-0.74,1036024.69
2026-06-11,197.70,210.40,193.41,199.14,199.78,LONG,197.70,5240,199.78,199.78,true,40.00,416.56,10442.64,1.01,1046467.33
2026-06-12,205.00,219.05,202.51,217.85,203.38,SHORT,205.00,5104,203.38,203.38,true,40.00,416.87,7811.61,0.75,1054278.93
2026-06-15,225.13,234.00,219.76,231.69,213.94,SHORT,225.13,4682,213.94,231.69,false,40.00,427.77,-31181.69,-2.96,1023097.25
2026-06-16,233.99,241.52,232.51,236.80,227.19,SHORT,233.99,4372,227.19,236.80,false,40.00,411.66,-12736.98,-1.25,1010360.27
2026-06-17,238.00,241.00,227.35,238.08,236.82,SHORT,238.00,4245,236.82,236.82,true,40.00,403.12,4565.98,0.45,1014926.25
2026-06-18,238.49,246.15,233.31,243.10,234.87,SHORT,238.49,4255,234.87,234.87,true,40.00,402.83,14960.27,1.47,1029886.52
2026-06-19,244.00,246.40,236.81,238.35,241.59,SHORT,244.00,4220,241.59,241.59,true,40.00,409.84,9720.36,0.94,1039606.88
2026-06-22,239.90,248.00,237.00,246.29,241.03,LONG,239.90,4333,241.03,241.03,true,40.00,416.77,4439.52,0.43,1044046.40
2026-06-23,249.12,249.43,230.30,232.76,243.78,SHORT,249.12,4190,243.78,243.78,true,40.00,413.05,21921.55,2.10,1065967.95
2026-06-24,233.78,235.87,229.22,231.65,237.09,LONG,233.78,4559,237.09,231.65,false,40.00,424.38,-10175.05,-0.95,1055792.90
2026-06-25,231.28,235.89,229.63,233.19,232.00,LONG,231.28,4564,232.00,232.00,true,40.00,422.88,2823.20,0.27,1058616.09
2026-06-29,232.50,235.45,227.04,232.77,233.31,LONG,232.50,4553,233.31,233.31,true,40.00,424.17,3223.76,0.30,1061839.86
2026-06-30,234.00,235.64,232.96,234.69,232.61,SHORT,234.00,4537,232.61,234.69,false,40.00,425.29,-3595.82,-0.34,1058244.04
2026-07-01,235.49,243.80,234.05,235.50,234.30,SHORT,235.49,4493,234.30,234.30,true,40.00,422.15,4884.52,0.46,1063128.56
2026-07-02,236.20,237.00,230.41,234.73,236.68,LONG,236.20,4500,236.68,236.68,true,40.00,425.59,1694.41,0.16,1064822.96
2026-07-03,237.00,258.20,236.63,257.43,234.29,SHORT,237.00,4492,234.29,257.43,false,40.00,444.20,-92255.76,-8.67,972567.21
2026-07-06,259.99,283.17,256.55,279.97,253.20,SHORT,259.99,3740,253.20,279.97,false,40.00,403.89,-75169.09,-7.73,897398.12
2026-07-07,275.00,299.50,267.75,294.32,275.93,LONG,275.00,3263,275.93,275.93,true,40.00,359.54,2635.05,0.29,900033.17
2026-07-08,288.40,294.15,269.80,276.61,288.78,LONG,288.40,3120,288.78,288.78,true,40.00,360.16,785.44,0.09,900818.61
2026-07-09,281.43,284.14,271.21,275.53,282.07,LONG,281.43,3200,282.07,282.07,true,40.00,360.64,1647.36,0.18,902465.97
2026-07-10,279.90,291.00,275.71,283.18,277.80,SHORT,279.90,3224,277.80,277.80,true,40.00,359.60,6370.80,0.71,908836.77
2026-07-13,280.92,311.49,272.15,303.30,283.15,LONG,280.92,3235,283.15,283.15,true,40.00,364.95,6809.10,0.75,915645.86
2026-07-14,302.83,304.70,277.25,280.64,301.20,SHORT,302.83,3023,301.20,301.20,true,40.00,365.20,4522.29,0.49,920168.16
2026-07-15,282.00,289.90,279.14,281.95,288.33,LONG,282.00,3263,288.33,288.33,true,40.00,372.20,20242.59,2.20,940410.75
2026-07-16,283.45,283.45,265.50,269.26,285.01,LONG,283.45,3317,285.01,269.26,false,40.00,366.67,-47474.90,-5.05,892935.85
2026-07-17,269.76,274.54,262.40,271.24,270.51,LONG,269.76,3310,270.51,270.51,true,40.00,357.66,2084.84,0.23,895020.69
2026-07-20,272.80,282.50,270.52,281.02,269.49,SHORT,272.80,3280,269.49,281.02,false,40.00,363.31,-27364.91,-3.06,867655.79
2026-07-21,281.50,291.00,276.03,288.45,278.68,SHORT,281.50,3082,278.68,278.68,true,40.00,345.29,8305.95,0.96,875961.73
2026-07-22,288.38,301.90,282.33,295.66,285.48,SHORT,288.38,3037,285.48,285.48,true,40.00,348.56,8418.74,0.96,884380.47
2026-07-23,296.00,301.71,290.91,294.82,296.17,SKIP,,,,,,,,,,884380.47
2026-07-24,290.00,296.00,282.25,292.64,296.69,LONG,290.00,3049,296.69,292.64,false,40.00,355.29,7654.07,0.87,892034.53
2026-07-27,294.74,305.07,292.70,303.49,289.80,SHORT,294.74,3026,289.80,303.49,false,40.00,362.05,-26879.55,-3.01,865154.99
2026-07-28,300.00,300.00,290.10,292.46,302.03,LONG,300.00,2883,302.03,292.46,false,40.00,341.61,-22119.43,-2.56,843035.55
2026-07-29,292.50,298.58,285.53,295.41,295.18,LONG,292.50,2882,295.18,295.18,true,40.00,338.74,7345.02,0.87,850380.57
2026-07-30,297.70,298.00,290.50,292.30,293.83,SHORT,297.70,2856,293.83,293.83,true,40.00,337.88,10674.84,1.26,861055.41
2026-07-31,294.80,295.47,288.00,290.16,292.61,SHORT,294.80,2920,292.61,292.61,true,40.00,343.05,6011.75,0.70,867067.16
2026-08-03,293.00,306.40,292.60,301.80,292.36,SHORT,293.00,2959,292.36,301.80,false,40.00,352.00,-26431.20,-3.05,840635.96
