date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,3497.90,3520.00,3460.20,3502.40,3469.59,SHORT,3497.90,285,3469.59,3469.59,true,40.00,397.15,7631.20,0.77,1007631.20
2026-06-02,3513.40,3557.00,3450.00,3539.30,3496.71,SHORT,3513.40,286,3496.71,3496.71,true,40.00,400.98,4332.36,0.43,1011963.56
2026-06-03,1779.80,1821.30,1721.00,1785.20,3529.35,LONG,1779.80,568,3529.35,1785.20,false,40.00,404.98,2622.22,0.26,1014585.78
2026-06-04,1780.00,1780.00,1735.00,1750.60,1767.31,SHORT,1780.00,569,1767.31,1767.31,true,40.00,403.68,6776.93,0.67,1021362.71
2026-06-05,1748.90,1763.00,1734.60,1753.30,1750.56,SKIP,,,,,,,,,,1021362.71
2026-06-08,1747.00,1761.00,1727.10,1754.00,1747.78,SKIP,,,,,,,,,,1021362.71
2026-06-09,1765.00,1765.00,1710.60,1730.70,1745.24,SHORT,1765.00,578,1745.24,1745.24,true,40.00,405.78,10975.50,1.08,1032338.20
2026-06-10,1725.10,1745.00,1725.10,1737.50,1729.49,LONG,1725.10,598,1729.49,1729.49,true,40.00,413.17,2172.05,0.21,1034510.25
2026-06-11,1731.00,1754.00,1729.20,1743.90,1734.99,LONG,1731.00,597,1734.99,1734.99,true,40.00,413.84,1928.19,0.19,1036438.44
2026-06-12,1755.00,1769.70,1740.10,1765.30,1741.43,SHORT,1755.00,590,1741.43,1741.43,true,40.00,412.58,7553.72,0.73,1043992.17
2026-06-15,1789.00,1790.20,1759.80,1781.60,1753.99,SHORT,1789.00,583,1753.99,1781.60,false,40.00,416.33,3857.87,0.37,1047850.03
2026-06-16,1778.70,1785.80,1753.00,1772.90,1779.04,SKIP,,,,,,,,,,1047850.03
2026-06-17,1786.00,1794.00,1760.00,1787.10,1768.86,SHORT,1786.00,586,1768.86,1768.86,true,40.00,416.63,9587.41,0.92,1057437.44
2026-06-18,1790.00,1856.50,1782.90,1805.30,1774.35,SHORT,1790.00,590,1774.35,1805.30,false,40.00,424.25,-9491.25,-0.90,1047946.20
2026-06-19,1800.00,1887.00,1800.00,1867.50,1825.84,LONG,1800.00,582,1825.84,1825.84,true,40.00,422.05,14576.83,1.39,1062523.03
2026-06-22,1900.00,1953.60,1863.10,1917.70,1854.02,SHORT,1900.00,559,1854.02,1917.70,false,40.00,426.82,-10361.12,-0.98,1052161.91
2026-06-23,1936.90,1949.70,1910.20,1915.80,1916.00,SHORT,1936.90,543,1916.00,1916.00,true,40.00,418.42,10890.28,1.04,1063052.19
2026-06-24,1916.00,1923.60,1875.40,1903.90,1926.89,LONG,1916.00,554,1926.89,1903.90,false,40.00,423.24,-7166.64,-0.68,1055885.54
2026-06-25,1904.40,1948.90,1848.00,1932.50,1901.10,SHORT,1904.40,554,1901.10,1901.10,true,40.00,421.65,1366.55,0.13,1057252.09
2026-06-29,1920.00,1999.00,1896.40,1988.70,1910.15,SHORT,1920.00,550,1910.15,1910.15,true,40.00,421.32,4956.18,0.47,1062208.28
2026-06-30,2008.90,2032.70,1957.00,1976.70,1981.28,SHORT,2008.90,528,1981.28,1981.28,true,40.00,421.36,14122.00,1.33,1076330.27
2026-07-01,1994.00,2004.00,1955.30,1964.90,1982.62,SHORT,1994.00,539,1982.62,1982.62,true,40.00,428.68,5665.14,0.53,1081995.41
2026-07-02,1972.70,2003.50,1945.10,1989.70,1967.66,SHORT,1972.70,548,1967.66,1967.66,true,40.00,431.86,2290.06,0.21,1084285.47
2026-07-03,2011.70,2085.00,2009.80,2061.70,1978.32,SHORT,2011.70,538,1978.32,2061.70,false,40.00,438.30,-27378.30,-2.53,1056907.17
2026-07-06,2080.00,2120.00,2065.30,2095.50,2051.51,SHORT,2080.00,508,2051.51,2095.50,false,40.00,424.23,-8338.23,-0.79,1048568.94
2026-07-07,2120.00,2120.00,2024.40,2052.00,2105.58,SHORT,2120.00,494,2105.58,2105.58,true,40.00,417.49,6665.99,0.64,1055234.93
2026-07-08,2050.10,2091.60,2034.40,2059.80,2056.26,LONG,2050.10,514,2056.26,2056.26,true,40.00,422.13,2704.11,0.26,1057939.04
2026-07-09,2075.00,2120.00,2055.00,2095.60,2064.34,SHORT,2075.00,509,2064.34,2064.34,true,40.00,421.38,4964.56,0.47,1062903.60
2026-07-10,2111.80,2176.20,2061.40,2146.80,2083.53,SHORT,2111.80,503,2083.53,2083.53,true,40.00,422.05,13757.76,1.30,1076661.36
2026-07-13,2140.80,2143.00,2095.80,2117.70,2138.97,SKIP,,,,,,,,,,1076661.36
2026-07-14,2115.00,2117.70,2071.60,2080.80,2119.84,LONG,2115.00,509,2119.84,2080.80,false,40.00,427.13,-17874.93,-1.66,1058786.42
2026-07-15,2090.00,2109.00,2071.00,2081.80,2083.79,SHORT,2090.00,506,2083.79,2083.79,true,40.00,422.39,2679.87,0.25,1061466.30
2026-07-16,2100.00,2100.00,2052.80,2079.60,2086.84,SHORT,2100.00,505,2086.84,2086.84,true,40.00,422.87,6182.93,0.58,1067649.23
2026-07-17,2079.00,2088.50,2056.20,2072.70,2076.12,SHORT,2079.00,513,2076.12,2076.12,true,40.00,426.32,1011.12,0.09,1068660.35
2026-07-20,2073.00,2104.90,2060.00,2082.70,2066.45,SHORT,2073.00,515,2066.45,2066.45,true,40.00,426.36,2906.89,0.27,1071567.24
2026-07-21,2082.70,2099.00,2082.00,2091.20,2089.96,LONG,2082.70,514,2089.96,2089.96,true,40.00,428.95,3262.69,0.30,1074829.93
2026-07-22,2105.90,2121.20,2070.00,2079.70,2089.64,SHORT,2105.90,510,2089.64,2089.64,true,40.00,427.95,7824.65,0.73,1082654.58
2026-07-23,2087.90,2090.00,2018.60,2049.10,2084.47,SHORT,2087.90,518,2084.47,2084.47,true,40.00,432.26,1304.48,0.12,1083959.06
2026-07-24,2034.00,2056.80,2002.10,2042.10,2065.54,LONG,2034.00,532,2065.54,2042.10,false,40.00,433.70,3835.50,0.35,1087794.57
2026-07-27,2065.00,2065.00,2033.20,2052.10,2025.90,SHORT,2065.00,526,2025.90,2052.10,false,40.00,433.12,6312.28,0.58,1094106.85
2026-07-28,2050.00,2063.50,2020.00,2037.90,2048.66,SKIP,,,,,,,,,,1094106.85
2026-07-29,2047.10,2048.70,2003.10,2035.00,2033.67,SHORT,2047.10,534,2033.67,2033.67,true,40.00,435.83,6695.79,0.61,1100802.64
2026-07-30,2040.00,2065.40,2030.00,2039.30,2026.66,SHORT,2040.00,539,2026.66,2039.30,false,40.00,439.75,-102.45,-0.01,1100700.19
2026-07-31,2046.00,2089.00,2046.00,2073.70,2046.57,SKIP,,,,,,,,,,1100700.19
2026-08-03,2094.00,2114.90,2050.00,2058.70,2070.64,SHORT,2094.00,525,2070.64,2070.64,true,40.00,437.29,11786.71,1.07,1112486.91
2026-08-04,2051.20,2067.70,2030.20,2034.00,2072.23,LONG,2051.20,542,2072.23,2034.00,false,40.00,442.84,-9805.24,-0.88,1102681.67
2026-08-05,2045.00,2052.60,2031.00,2037.60,2043.30,SKIP,,,,,,,,,,1102681.67
2026-08-06,2047.00,2080.00,2028.50,2071.50,2040.17,SHORT,2047.00,538,2040.17,2040.17,true,40.00,439.78,3194.76,0.29,1105876.43
2026-08-07,2081.50,2107.00,2061.00,2101.50,2043.98,SHORT,2081.50,531,2043.98,2101.50,false,40.00,444.23,-11104.23,-1.00,1094772.20
2026-08-10,2113.00,2141.50,2090.00,2131.50,2088.20,SHORT,2113.00,518,2088.20,2131.50,false,40.00,439.73,-10062.73,-0.92,1084709.47
2026-08-11,2130.50,2161.00,2117.20,2158.00,2120.67,SHORT,2130.50,509,2120.67,2120.67,true,40.00,432.77,4530.70,0.42,1089240.17
2026-08-12,2170.00,2222.00,2160.10,2189.00,2148.58,SHORT,2170.00,501,2148.58,2189.00,false,40.00,436.77,-9995.77,-0.92,1079244.40
2026-08-13,2200.00,2230.00,2181.20,2198.80,2192.71,SHORT,2200.00,490,2192.71,2192.71,true,40.00,430.49,3101.61,0.29,1082346.01
2026-08-14,2209.00,2225.00,2167.00,2174.70,2201.39,SHORT,2209.00,489,2201.39,2201.39,true,40.00,431.34,3249.95,0.30,1085595.96
2026-08-17,2198.00,2200.00,2167.90,2176.00,2187.54,SHORT,2198.00,493,2187.54,2187.54,true,40.00,432.41,4684.37,0.43,1090280.33
2026-08-18,2174.00,2199.00,2172.70,2194.80,2178.76,LONG,2174.00,501,2178.76,2178.76,true,40.00,436.15,1908.61,0.18,1092188.94
2026-08-19,2194.80,2199.80,2145.10,2189.20,2189.86,SHORT,2194.80,497,2189.86,2189.86,true,40.00,435.84,1979.34,0.18,1094168.29
2026-08-20,2189.20,2209.20,2165.00,2171.10,2174.52,SHORT,2189.20,499,2174.52,2174.52,true,40.00,435.50,6849.82,0.63,1101018.11
2026-08-21,2171.10,2198.00,2167.00,2188.00,2185.25,LONG,2171.10,507,2185.25,2185.25,true,40.00,441.73,6692.32,0.61,1107710.42
2026-08-24,2175.00,2198.80,2160.00,2167.90,2187.62,LONG,2175.00,509,2187.62,2187.62,true,40.00,444.11,5939.47,0.54,1113649.89
2026-08-25,2170.00,2173.00,2151.30,2164.40,2175.10,LONG,2170.00,513,2175.10,2164.40,false,40.00,444.71,-3357.51,-0.30,1110292.38
2026-08-26,2165.00,2181.00,2160.00,2179.40,2161.07,SHORT,2165.00,512,2161.07,2161.07,true,40.00,442.99,1529.17,0.14,1111821.55
2026-08-27,2191.00,2195.00,2169.20,2182.90,2173.32,SHORT,2191.00,507,2173.32,2173.32,true,40.00,442.54,8481.22,0.76,1120302.77
2026-08-28,2195.00,2242.00,2182.00,2213.40,2181.63,SHORT,2195.00,510,2181.63,2213.40,false,40.00,449.66,-9873.66,-0.88,1110429.11
2026-08-31,2219.90,2239.00,2182.30,2204.20,2210.14,SHORT,2219.90,500,2210.14,2210.14,true,40.00,443.00,4397.00,0.40,1114826.11
