date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,341.00,345.55,334.05,335.60,339.98,SHORT,341.00,2932,339.98,339.98,true,40.00,399.33,2551.31,0.26,1002551.31
2026-06-02,334.60,344.75,331.90,342.65,340.29,LONG,334.60,2996,340.29,340.29,true,40.00,404.39,16602.85,1.66,1019154.16
2026-06-03,343.00,343.35,327.60,334.75,340.39,SHORT,343.00,2971,340.39,340.39,true,40.00,406.07,7308.24,0.72,1026462.40
2026-06-04,334.00,343.55,334.00,337.70,333.71,SKIP,,,,,,,,,,1026462.40
2026-06-05,337.70,342.40,319.50,332.60,339.20,LONG,337.70,3039,339.20,339.20,true,40.00,411.42,4107.08,0.40,1030569.48
2026-06-08,325.90,334.90,323.00,325.70,331.36,LONG,325.90,3162,331.36,331.36,true,40.00,415.65,16808.87,1.63,1047378.35
2026-06-09,327.90,339.20,326.75,337.55,329.57,LONG,327.90,3194,329.57,329.57,true,40.00,419.99,4873.99,0.47,1052252.34
2026-06-10,339.90,340.00,328.40,329.85,332.53,SHORT,339.90,3095,332.53,332.53,true,40.00,416.23,22353.92,2.12,1074606.25
2026-06-11,328.00,334.85,321.65,323.75,334.21,LONG,328.00,3276,334.21,334.21,true,40.00,433.88,19870.08,1.85,1094476.33
2026-06-12,329.00,340.30,325.05,339.50,327.96,SHORT,329.00,3326,327.96,327.96,true,40.00,437.01,2982.03,0.27,1097458.36
2026-06-15,344.00,356.15,342.85,352.30,333.90,SHORT,344.00,3190,333.90,352.30,false,40.00,444.24,-26961.24,-2.46,1070497.12
2026-06-16,353.00,353.45,342.90,348.25,351.57,SHORT,353.00,3032,351.57,351.57,true,40.00,427.25,3868.51,0.36,1074365.63
2026-06-17,349.95,351.50,343.75,348.70,347.22,SHORT,349.95,3070,347.22,347.22,true,40.00,428.06,7913.04,0.74,1082278.67
2026-06-18,350.00,356.80,347.55,352.80,347.83,SHORT,350.00,3092,347.83,347.83,true,40.00,431.54,6238.10,0.58,1088516.77
2026-06-19,355.00,360.45,349.65,353.70,352.08,SHORT,355.00,3066,352.08,352.08,true,40.00,433.58,8479.14,0.78,1096995.91
2026-06-22,354.90,356.20,350.50,354.80,355.23,SKIP,,,,,,,,,,1096995.91
2026-06-23,354.80,355.50,339.05,342.10,353.50,SHORT,354.80,3091,353.50,353.50,true,40.00,437.87,3540.43,0.32,1100536.34
2026-06-24,342.00,344.00,335.75,340.65,344.72,LONG,342.00,3217,344.72,340.65,false,40.00,439.22,-4822.17,-0.44,1095714.17
2026-06-25,341.50,344.75,334.70,335.25,341.14,SHORT,341.50,3208,341.14,341.14,true,40.00,437.98,676.90,0.06,1096391.07
2026-06-29,332.50,337.45,327.10,328.75,338.00,LONG,332.50,3297,338.00,328.75,false,40.00,436.03,-12839.78,-1.17,1083551.29
2026-06-30,329.75,333.50,328.15,330.65,330.93,LONG,329.75,3285,330.93,330.93,true,40.00,434.07,3402.23,0.31,1086953.52
2026-07-01,330.00,342.00,327.55,340.40,330.55,LONG,330.00,3293,330.55,330.55,true,40.00,435.04,1336.11,0.12,1088289.64
2026-07-02,340.40,347.85,336.20,346.15,337.76,SHORT,340.40,3197,337.76,337.76,true,40.00,433.62,7966.46,0.73,1096256.10
2026-07-03,342.90,356.75,342.50,352.25,343.14,SKIP,,,,,,,,,,1096256.10
2026-07-06,352.00,352.00,342.10,345.95,351.68,SKIP,,,,,,,,,,1096256.10
2026-07-07,345.95,347.60,334.00,335.80,345.82,SKIP,,,,,,,,,,1096256.10
2026-07-08,335.00,341.80,327.55,331.20,336.87,LONG,335.00,3272,336.87,336.87,true,40.00,439.67,5638.97,0.51,1101895.07
2026-07-09,331.35,342.95,331.35,341.10,335.93,LONG,331.35,3325,335.93,335.93,true,40.00,443.74,14744.76,1.34,1116639.83
2026-07-10,345.15,349.50,342.55,346.05,339.05,SHORT,345.15,3235,339.05,346.05,false,40.00,447.21,-3398.71,-0.30,1113241.12
2026-07-13,342.60,345.00,335.55,340.25,346.30,LONG,342.60,3249,346.30,340.25,false,40.00,443.72,-8118.87,-0.73,1105122.26
2026-07-14,340.00,340.25,332.20,333.55,339.13,SHORT,340.00,3250,339.13,339.13,true,40.00,441.43,2346.07,0.21,1107468.32
2026-07-15,335.25,346.30,334.25,343.40,335.16,SKIP,,,,,,,,,,1107468.32
2026-07-16,347.05,355.30,332.75,334.80,340.92,SHORT,347.05,3191,340.92,340.92,true,40.00,439.06,19081.77,1.72,1126550.09
2026-07-17,337.05,337.40,323.05,328.95,341.95,LONG,337.05,3342,341.95,328.95,false,40.00,445.15,-27555.35,-2.45,1098994.73
2026-07-20,328.05,329.80,323.55,324.35,328.09,SKIP,,,,,,,,,,1098994.73
2026-07-21,324.35,326.40,320.80,321.90,325.90,LONG,324.35,3388,325.90,325.90,true,40.00,440.61,4770.79,0.43,1103765.52
2026-07-22,322.15,323.00,311.00,312.40,323.55,LONG,322.15,3426,323.55,312.40,false,40.00,434.79,-33878.29,-3.07,1069887.23
2026-07-23,311.75,314.90,303.70,306.05,314.65,LONG,311.75,3431,314.65,314.65,true,40.00,429.84,9480.06,0.89,1079367.30
2026-07-24,304.50,310.80,301.20,307.95,307.63,LONG,304.50,3544,307.63,307.63,true,40.00,433.88,10618.84,0.98,1089986.14
2026-07-27,309.90,312.50,302.95,304.20,305.67,SHORT,309.90,3517,305.67,305.67,true,40.00,432.99,14403.92,1.32,1104390.06
2026-07-28,305.50,306.45,299.00,302.60,306.66,LONG,305.50,3615,306.66,302.60,false,40.00,439.66,-10963.16,-0.99,1093426.90
2026-07-29,303.00,305.50,299.00,302.50,302.08,SHORT,303.00,3608,302.08,302.08,true,40.00,436.63,2842.73,0.26,1096269.63
2026-07-30,302.00,302.00,290.05,291.65,301.57,SHORT,302.00,3630,301.57,301.57,true,40.00,438.19,1082.71,0.10,1097352.34
2026-07-31,293.00,299.95,292.50,297.95,293.68,LONG,293.00,3745,293.68,293.68,true,40.00,439.42,2067.18,0.19,1099419.52
2026-08-03,299.90,302.50,296.30,302.00,297.44,SHORT,299.90,3665,297.44,297.44,true,40.00,437.85,8538.05,0.78,1107957.57
2026-08-04,301.00,305.05,299.00,300.35,299.89,SHORT,301.00,3680,299.89,299.89,true,40.00,442.26,3602.54,0.33,1111560.11
2026-08-05,302.00,303.00,296.60,299.20,302.22,SKIP,,,,,,,,,,1111560.11
2026-08-06,299.20,300.90,296.45,297.10,299.09,SKIP,,,,,,,,,,1111560.11
2026-08-07,297.05,298.75,289.05,292.00,298.48,LONG,297.05,3741,298.48,298.48,true,40.00,445.58,4864.05,0.44,1116424.17
2026-08-10,292.00,295.65,287.60,294.80,291.80,SKIP,,,,,,,,,,1116424.17
