date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,13120.00,13299.00,12578.00,12801.00,13099.29,SHORT,13120.00,76,13099.29,13099.29,true,40.00,398.53,1135.43,0.11,1001135.43
2026-06-02,12801.00,13325.00,12511.00,13270.00,12887.24,LONG,12801.00,78,12887.24,12887.24,true,40.00,400.74,6285.98,0.63,1007421.41
2026-06-03,13270.00,14080.00,13270.00,13538.00,13007.56,SHORT,13270.00,75,13007.56,13538.00,false,40.00,402.12,-20542.12,-2.06,986879.29
2026-06-04,13570.00,13825.00,13428.00,13709.00,13677.17,LONG,13570.00,72,13677.17,13677.17,true,40.00,392.36,7283.88,0.75,994163.17
2026-06-05,13825.00,14174.00,13655.00,13878.00,13678.90,SHORT,13825.00,71,13678.90,13678.90,true,40.00,390.56,9942.54,1.01,1004105.72
2026-06-08,13335.00,13655.00,13208.00,13276.00,13886.90,LONG,13335.00,75,13886.90,13276.00,false,40.00,399.17,-4864.16,-0.49,999241.55
2026-06-09,13399.00,13799.00,13286.00,13609.00,13427.97,LONG,13399.00,74,13427.97,13427.97,true,40.00,397.04,1706.74,0.17,1000948.29
2026-06-10,13743.00,14246.00,13552.00,14085.00,13557.52,SHORT,13743.00,72,13557.52,13557.52,true,40.00,393.13,12921.43,1.31,1013869.72
2026-06-11,14065.00,14970.00,14025.00,14551.00,14007.26,SHORT,14065.00,72,14007.26,14551.00,false,40.00,412.07,-35444.07,-3.50,978425.65
2026-06-12,14823.00,15340.00,14733.00,15221.00,14648.68,SHORT,14823.00,66,14648.68,15221.00,false,40.00,396.58,-26704.58,-2.73,951721.07
2026-06-15,15600.00,16174.00,15373.00,15986.00,15172.80,SHORT,15600.00,61,15172.80,15986.00,false,40.00,385.35,-23971.35,-2.52,927749.72
2026-06-16,16160.00,16475.00,15833.00,16168.00,15944.29,SHORT,16160.00,57,15944.29,15944.29,true,40.00,365.99,11889.48,1.29,939639.20
2026-06-17,16168.00,16470.00,15791.00,16103.00,16197.72,LONG,16168.00,58,16197.72,16197.72,true,40.00,375.44,1308.32,0.14,940947.52
2026-06-18,16190.00,16686.00,15671.00,15812.00,16158.90,SHORT,16190.00,58,16158.90,16158.90,true,40.00,375.25,1388.55,0.15,942336.08
2026-06-19,15849.00,16375.00,15612.00,16280.00,16033.41,LONG,15849.00,59,16033.41,16033.41,true,40.00,376.21,10463.98,1.12,952800.05
2026-06-22,16361.00,16375.00,16015.00,16172.00,16017.04,SHORT,16361.00,58,16017.04,16017.04,true,40.00,375.59,19534.09,2.06,972334.15
2026-06-23,16380.00,16750.00,16334.00,16654.00,16130.70,SHORT,16380.00,59,16130.70,16654.00,false,40.00,389.80,-16595.80,-1.72,955738.35
2026-06-24,16654.00,17157.00,16569.00,16665.00,16549.33,SHORT,16654.00,57,16549.33,16665.00,false,40.00,379.84,-1046.84,-0.11,954691.51
2026-06-25,16735.00,16756.00,15924.00,16022.00,16810.15,LONG,16735.00,57,16810.15,16022.00,false,40.00,373.43,-41054.43,-4.30,913637.08
2026-06-29,16022.00,16353.00,15575.00,15986.00,16206.32,LONG,16022.00,57,16206.32,16206.32,true,40.00,367.40,10098.84,1.11,923735.92
2026-06-30,16081.00,16125.00,15655.00,15695.00,15970.38,SHORT,16081.00,57,15970.38,15970.38,true,40.00,365.39,5899.95,0.64,929635.87
2026-07-01,15849.00,15849.00,14501.00,14598.00,15887.67,LONG,15849.00,58,15887.67,14598.00,false,40.00,353.19,-72951.19,-7.94,856684.69
2026-07-02,14598.00,15175.00,13963.00,15101.00,14803.55,LONG,14598.00,58,14803.55,14803.55,true,40.00,341.06,11540.84,1.36,868225.53
2026-07-03,15170.00,15170.00,13975.00,14174.00,14675.75,SHORT,15170.00,57,14675.75,14675.75,true,40.00,340.24,27792.01,3.21,896017.54
2026-07-06,14139.00,14617.00,14100.00,14323.00,14341.71,LONG,14139.00,63,14341.71,14341.71,true,40.00,358.86,12371.87,1.39,908389.41
2026-07-07,14490.00,14815.00,14055.00,14154.00,14371.77,SHORT,14490.00,62,14371.77,14371.77,true,40.00,357.89,6932.37,0.77,915321.78
2026-07-08,14101.00,14246.00,13401.00,13443.00,14382.58,LONG,14101.00,64,14382.58,13443.00,false,40.00,352.56,-42504.56,-4.71,872817.22
2026-07-09,13470.00,14150.00,13470.00,14070.00,13744.39,LONG,13470.00,64,13744.39,13744.39,true,40.00,348.34,17172.62,1.99,889989.84
2026-07-10,14170.00,14240.00,13882.00,14058.00,13940.88,SHORT,14170.00,62,13940.88,13940.88,true,40.00,348.57,13816.87,1.57,903806.70
2026-07-13,13950.00,14100.00,13705.00,13847.00,14058.02,LONG,13950.00,64,14058.02,14058.02,true,40.00,358.50,6514.78,0.73,910321.48
2026-07-14,13750.00,13837.00,13500.00,13595.00,13901.21,LONG,13750.00,66,13901.21,13595.00,false,40.00,360.95,-10630.95,-1.17,899690.52
2026-07-15,13665.00,14265.00,13665.00,14136.00,13596.46,SHORT,13665.00,65,13596.46,14136.00,false,40.00,361.41,-31016.41,-3.49,868674.11
