date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,270.40,271.75,263.20,264.35,269.52,SHORT,270.40,3698,269.52,269.52,true,40.00,399.32,2814.92,0.28,1002814.92
2026-06-02,263.50,266.35,261.00,265.80,265.50,LONG,263.50,3805,265.50,265.50,true,40.00,402.57,7167.43,0.71,1009982.35
2026-06-03,263.90,269.90,260.80,268.85,263.83,SKIP,,,,,,,,,,1009982.35
2026-06-04,267.50,272.20,266.35,271.30,265.10,SHORT,267.50,3775,265.10,271.30,false,40.00,406.79,-14791.79,-1.46,995190.55
2026-06-05,264.95,269.40,262.80,263.70,270.34,LONG,264.95,3756,270.34,263.70,false,40.00,397.12,-5132.12,-0.52,990058.43
2026-06-08,260.85,266.50,258.00,259.25,265.54,LONG,260.85,3795,265.54,265.54,true,40.00,399.53,17359.02,1.75,1007417.45
2026-06-09,260.40,274.20,260.40,273.75,261.97,LONG,260.40,3868,261.97,261.97,true,40.00,404.11,5628.65,0.56,1013046.10
2026-06-10,273.40,275.00,268.50,269.30,269.86,SHORT,273.40,3705,269.86,269.86,true,40.00,402.56,12673.14,1.25,1025719.25
2026-06-11,266.20,268.60,262.10,267.60,271.81,LONG,266.20,3853,271.81,267.60,false,40.00,411.35,4942.85,0.48,1030662.10
2026-06-12,270.05,276.10,268.65,274.75,265.61,SHORT,270.05,3816,265.61,274.75,false,40.00,415.79,-18390.99,-1.78,1012271.11
2026-06-15,278.55,282.50,275.40,276.05,273.35,SHORT,278.55,3634,273.35,276.05,false,40.00,403.08,8641.92,0.85,1020913.03
2026-06-16,278.10,278.10,273.10,275.35,279.16,LONG,278.10,3671,279.16,275.35,false,40.00,406.34,-10541.59,-1.03,1010371.44
2026-06-17,277.00,282.40,274.00,281.85,275.05,SHORT,277.00,3647,275.05,275.05,true,40.00,402.67,6668.98,0.66,1017040.42
2026-06-18,283.80,287.10,281.75,283.00,279.64,SHORT,283.80,3583,279.64,283.00,false,40.00,406.17,2420.23,0.24,1019460.65
2026-06-19,281.95,282.50,278.10,281.05,283.44,LONG,281.95,3615,283.44,281.05,false,40.00,407.05,-3700.55,-0.36,1015760.10
2026-06-22,282.00,286.50,280.40,286.05,280.51,SHORT,282.00,3601,280.51,280.51,true,40.00,405.12,4920.37,0.48,1020680.47
2026-06-23,287.00,287.20,276.90,277.80,284.51,SHORT,287.00,3556,284.51,284.51,true,40.00,406.46,8407.98,0.82,1029088.45
2026-06-24,274.00,282.20,274.00,279.90,281.03,LONG,274.00,3755,281.03,281.03,true,40.00,416.83,25940.82,2.52,1055029.28
2026-06-25,282.40,282.40,278.00,279.15,279.33,SHORT,282.40,3735,279.33,279.33,true,40.00,419.61,11006.84,1.04,1066036.11
2026-06-29,279.50,279.90,271.45,272.80,279.72,SKIP,,,,,,,,,,1066036.11
