date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,1310.10,1319.60,1284.80,1290.40,1305.08,SHORT,1310.10,763,1305.08,1305.08,true,40.00,399.08,3391.18,0.34,1003391.18
2026-06-02,1280.20,1284.70,1264.10,1274.00,1293.08,LONG,1280.20,783,1293.08,1274.00,false,40.00,399.99,-5294.59,-0.53,998096.60
2026-06-03,1269.50,1275.20,1256.90,1263.30,1272.83,LONG,1269.50,786,1272.83,1272.83,true,40.00,399.65,2177.73,0.22,1000274.32
2026-06-04,1257.30,1274.90,1248.40,1267.50,1264.55,LONG,1257.30,795,1264.55,1264.55,true,40.00,400.97,5322.78,0.53,1005597.10
2026-06-05,1273.00,1289.40,1268.50,1278.20,1265.11,SHORT,1273.00,789,1265.11,1278.20,false,40.00,402.58,-4545.38,-0.45,1001051.72
2026-06-08,1270.00,1293.70,1270.00,1275.60,1279.64,LONG,1270.00,788,1279.64,1279.64,true,40.00,401.82,7154.50,0.71,1008206.21
2026-06-09,1277.00,1287.60,1261.40,1268.50,1284.40,LONG,1277.00,789,1284.40,1284.40,true,40.00,404.19,5394.41,0.54,1013600.63
2026-06-10,1268.60,1283.70,1266.70,1271.70,1271.80,LONG,1268.60,798,1271.80,1271.80,true,40.00,405.45,2108.15,0.21,1015708.78
2026-06-11,1271.10,1285.70,1266.40,1276.00,1273.85,LONG,1271.10,799,1273.85,1273.85,true,40.00,406.68,1750.57,0.17,1017459.34
2026-06-12,1291.00,1291.00,1266.00,1275.40,1277.69,SHORT,1291.00,788,1277.69,1277.69,true,40.00,404.83,10043.45,0.99,1027502.80
2026-06-15,1296.20,1296.20,1275.30,1279.50,1273.93,SHORT,1296.20,792,1273.93,1279.50,false,40.00,407.99,12778.41,1.24,1040281.21
2026-06-16,1279.00,1286.00,1269.10,1276.90,1283.86,LONG,1279.00,813,1283.86,1283.86,true,40.00,416.72,3494.46,0.34,1043775.67
2026-06-17,1276.00,1277.40,1260.90,1269.00,1277.27,SKIP,,,,,,,,,,1043775.67
2026-06-18,1269.00,1279.90,1261.70,1267.50,1267.83,SKIP,,,,,,,,,,1043775.67
2026-06-19,1267.00,1275.00,1261.00,1272.10,1267.71,SKIP,,,,,,,,,,1043775.67
