date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,917.75,925.90,896.80,901.15,919.00,LONG,917.75,1089,919.00,919.00,true,40.00,400.04,921.21,0.09,1000921.21
2026-06-02,893.30,915.80,890.45,912.50,906.06,LONG,893.30,1120,906.06,906.06,true,40.00,403.06,13848.14,1.38,1014769.35
2026-06-03,907.10,907.90,884.05,899.95,907.21,SKIP,,,,,,,,,,1014769.35
2026-06-04,903.70,907.10,895.50,903.20,893.63,SHORT,903.70,1122,893.63,903.20,false,40.00,405.47,115.53,0.01,1014884.88
2026-06-05,899.00,925.80,896.10,904.80,900.97,LONG,899.00,1128,900.97,900.97,true,40.00,406.07,1776.09,0.18,1016660.97
2026-06-08,881.00,903.70,881.00,895.05,910.35,LONG,881.00,1153,910.35,895.05,false,40.00,409.56,15750.09,1.55,1032411.06
2026-06-09,896.05,928.00,896.05,922.80,894.62,SHORT,896.05,1152,894.62,922.80,false,40.00,419.06,-31275.06,-3.03,1001136.00
2026-06-10,922.85,923.75,881.85,883.95,916.38,SHORT,922.85,1084,916.38,916.38,true,40.00,398.75,6574.73,0.66,1007710.73
2026-06-11,883.85,897.60,881.75,888.95,898.28,LONG,883.85,1140,898.28,888.95,false,40.00,404.20,5369.80,0.53,1013080.53
2026-06-12,901.45,919.70,889.95,917.35,891.19,SHORT,901.45,1123,891.19,891.19,true,40.00,402.63,11079.35,1.09,1024159.89
2026-06-15,926.00,953.50,923.10,933.20,902.98,SHORT,926.00,1106,902.98,933.20,false,40.00,411.26,-8414.46,-0.82,1015745.43
2026-06-16,933.00,936.05,922.00,926.00,937.07,LONG,933.00,1088,937.07,926.00,false,40.00,404.52,-8060.52,-0.79,1007684.91
2026-06-17,926.00,938.40,920.20,936.20,927.69,LONG,926.00,1088,927.69,927.69,true,40.00,403.36,1395.36,0.14,1009080.27
2026-06-18,937.00,941.50,932.25,938.75,930.77,SHORT,937.00,1076,930.77,938.75,false,40.00,403.66,-2326.66,-0.23,1006753.61
2026-06-19,938.50,950.55,931.20,947.45,937.15,SHORT,938.50,1072,937.15,937.15,true,40.00,402.14,1005.06,0.10,1007758.67
2026-06-22,947.00,947.00,913.90,921.05,945.02,SHORT,947.00,1064,945.02,945.02,true,40.00,402.62,1664.10,0.17,1009422.77
2026-06-23,923.00,924.00,902.80,905.45,931.15,LONG,923.00,1093,931.15,905.45,false,40.00,399.70,-19621.85,-1.94,989800.92
2026-06-24,904.05,933.90,900.15,927.60,909.92,LONG,904.05,1094,909.92,909.92,true,40.00,396.90,5984.88,0.61,995785.80
2026-06-25,933.00,936.90,915.50,918.95,921.37,SHORT,933.00,1067,921.37,921.37,true,40.00,395.72,11973.49,1.20,1007759.29
2026-06-29,918.95,921.65,908.10,915.40,927.30,LONG,918.95,1096,927.30,915.40,false,40.00,402.09,-4332.89,-0.43,1003426.40
2026-06-30,916.45,933.10,916.45,924.20,915.66,SKIP,,,,,,,,,,1003426.40
2026-07-01,927.05,949.55,927.05,941.60,925.80,SHORT,927.05,1082,925.80,941.60,false,40.00,404.38,-16187.48,-1.61,987238.92
2026-07-02,941.60,944.90,931.60,943.50,940.22,SHORT,941.60,1048,940.22,940.22,true,40.00,394.43,1011.81,0.10,988250.73
2026-07-03,948.00,978.40,942.10,974.35,938.91,SHORT,948.00,1042,938.91,974.35,false,40.00,400.62,-27897.32,-2.82,960353.42
2026-07-06,968.00,1012.30,960.00,1009.80,963.06,SHORT,968.00,992,963.06,963.06,true,40.00,383.12,4477.36,0.47,964830.77
2026-07-07,1009.70,1038.00,1004.30,1022.25,997.05,SHORT,1009.70,955,997.05,1022.25,false,40.00,388.10,-12413.35,-1.29,952417.42
2026-07-08,1015.90,1031.30,989.80,994.65,1024.47,LONG,1015.90,937,1024.47,1024.47,true,40.00,382.37,7607.72,0.80,960025.15
2026-07-09,995.90,1022.35,995.90,1015.15,1014.38,LONG,995.90,963,1014.38,1014.38,true,40.00,387.18,17369.06,1.81,977394.21
2026-07-10,1019.70,1031.65,1013.70,1015.80,1013.79,SHORT,1019.70,958,1013.79,1013.79,true,40.00,389.62,5232.16,0.54,982626.37
2026-07-13,1010.00,1018.20,1000.55,1012.90,1020.18,LONG,1010.00,972,1020.18,1012.90,false,40.00,393.25,2385.55,0.24,985011.92
2026-07-14,1008.90,1009.00,994.10,997.35,1011.30,LONG,1008.90,976,1011.30,997.35,false,40.00,391.62,-11704.42,-1.19,973307.50
2026-07-15,998.40,1022.85,992.00,1009.70,999.49,LONG,998.40,974,999.49,999.49,true,40.00,389.19,632.47,0.07,973939.97
2026-07-16,1018.00,1019.00,1005.55,1013.50,1012.82,SHORT,1018.00,956,1012.82,1012.82,true,40.00,388.29,4523.79,0.46,978463.76
2026-07-17,1013.80,1031.20,1010.00,1027.20,1011.73,SHORT,1013.80,965,1011.73,1011.73,true,40.00,390.93,1566.62,0.16,980030.38
2026-07-20,1029.00,1034.65,1017.15,1032.85,1024.72,SHORT,1029.00,952,1024.72,1024.72,true,40.00,391.03,3643.53,0.37,983673.91
2026-07-21,1037.80,1068.80,1031.45,1063.45,1026.55,SHORT,1037.80,947,1026.55,1063.45,false,40.00,397.98,-24728.53,-2.52,958945.38
2026-07-22,1058.00,1077.85,1055.65,1069.30,1059.29,LONG,1058.00,906,1059.29,1059.29,true,40.00,383.65,745.09,0.08,959690.47
2026-07-23,1036.60,1042.20,998.15,1005.50,1066.88,LONG,1036.60,925,1066.88,1005.50,false,40.00,377.79,-29185.29,-3.04,930505.18
2026-07-24,1000.00,1003.45,984.05,996.05,1012.63,LONG,1000.00,930,1012.63,996.05,false,40.00,371.27,-4084.77,-0.44,926420.42
2026-07-27,1003.00,1015.60,1000.10,1006.65,994.78,SHORT,1003.00,923,994.78,1006.65,false,40.00,370.98,-3779.93,-0.41,922640.49
2026-07-28,1001.00,1006.00,989.20,991.95,1007.20,LONG,1001.00,921,1007.20,991.95,false,40.00,367.10,-8742.15,-0.95,913898.34
2026-07-29,995.05,1015.00,993.55,1012.30,995.51,SKIP,,,,,,,,,,913898.34
2026-07-30,1012.30,1013.60,999.00,1011.45,1007.03,SHORT,1012.30,902,1007.03,1007.03,true,40.00,364.29,4349.25,0.48,918247.59
2026-07-31,1011.45,1017.90,996.40,1012.45,1006.81,SHORT,1011.45,907,1006.81,1006.81,true,40.00,366.11,3802.37,0.41,922049.96
2026-08-03,1019.00,1028.90,1013.30,1028.90,1010.25,SHORT,1019.00,904,1010.25,1028.90,false,40.00,370.26,-9359.86,-1.02,912690.10
2026-08-04,1028.90,1028.90,1014.60,1026.00,1019.65,SHORT,1028.90,887,1019.65,1019.65,true,40.00,363.41,7801.34,0.85,920491.43
2026-08-05,1025.00,1038.00,1013.10,1019.00,1020.24,SHORT,1025.00,898,1020.24,1020.24,true,40.00,367.33,3867.15,0.42,924358.59
2026-08-06,1016.00,1033.90,1011.00,1016.20,1024.69,LONG,1016.00,909,1024.69,1024.69,true,40.00,371.00,7488.21,0.81,931846.80
2026-08-07,1010.30,1024.90,1004.40,1022.00,1022.59,LONG,1010.30,922,1022.59,1022.59,true,40.00,374.86,10916.52,1.17,942763.31
2026-08-10,1022.00,1028.00,1012.00,1027.30,1014.03,SHORT,1022.00,922,1014.03,1014.03,true,40.00,375.44,6932.90,0.74,949696.21
