date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,629.00,661.65,629.00,646.90,640.17,LONG,629.00,1589,640.17,640.17,true,40.00,403.34,17305.79,1.73,1017305.79
2026-06-02,640.00,652.00,630.25,647.35,650.19,LONG,640.00,1589,650.19,650.19,true,40.00,410.02,15741.89,1.55,1033047.68
2026-06-03,646.40,679.00,636.90,669.25,642.65,SHORT,646.40,1598,642.65,642.65,true,40.00,411.98,5540.52,0.54,1038588.20
2026-06-04,690.00,718.60,686.90,692.80,662.51,SHORT,690.00,1505,662.51,692.80,false,40.00,416.22,-4670.22,-0.45,1033917.97
2026-06-05,691.95,696.00,671.40,679.70,705.87,LONG,691.95,1494,705.87,679.70,false,40.00,409.85,-18751.35,-1.81,1015166.62
2026-06-08,660.05,668.40,645.20,652.55,680.46,LONG,660.05,1538,680.46,652.55,false,40.00,403.76,-11978.76,-1.18,1003187.87
2026-06-09,656.20,681.90,654.20,676.75,659.13,LONG,656.20,1528,659.13,659.13,true,40.00,401.96,4035.08,0.40,1007222.94
2026-06-10,676.75,690.55,662.55,666.90,667.36,SHORT,676.75,1488,667.36,667.36,true,40.00,400.01,13532.31,1.34,1020755.26
2026-06-11,658.00,663.90,642.25,644.85,676.56,LONG,658.00,1551,676.56,644.85,false,40.00,404.14,-20839.79,-2.04,999915.46
2026-06-12,652.05,689.95,652.05,683.80,652.37,SKIP,,,,,,,,,,999915.46
2026-06-15,691.25,697.60,680.50,683.30,680.38,SHORT,691.25,1446,680.38,683.30,false,40.00,397.52,11058.18,1.11,1010973.64
2026-06-16,683.50,687.85,677.05,684.70,689.71,LONG,683.50,1479,689.71,684.70,false,40.00,404.71,1330.09,0.13,1012303.73
2026-06-17,684.70,704.40,680.50,692.90,682.62,SHORT,684.70,1478,682.62,682.62,true,40.00,404.18,2630.06,0.26,1014933.79
2026-06-18,695.00,713.95,688.70,706.50,694.89,SKIP,,,,,,,,,,1014933.79
2026-06-19,708.00,738.00,699.15,727.30,704.09,SHORT,708.00,1433,704.09,704.09,true,40.00,404.70,5158.33,0.51,1020092.11
2026-06-22,734.00,738.50,724.65,728.10,727.23,SHORT,734.00,1389,727.23,727.23,true,40.00,405.93,8957.60,0.88,1029049.71
2026-06-23,727.00,727.70,710.20,716.90,731.31,LONG,727.00,1415,731.31,716.90,false,40.00,408.62,-14740.12,-1.43,1014309.59
2026-06-24,714.55,728.25,699.00,704.50,717.69,LONG,714.55,1419,717.69,717.69,true,40.00,406.47,4009.19,0.40,1018318.78
2026-06-25,705.20,709.35,688.05,693.10,709.17,LONG,705.20,1444,709.17,709.17,true,40.00,408.47,5284.21,0.52,1023602.99
2026-06-29,693.10,703.80,680.00,684.50,695.96,LONG,693.10,1476,695.96,695.96,true,40.00,410.05,3771.31,0.37,1027374.30
2026-06-30,686.00,702.95,681.00,697.75,687.90,LONG,686.00,1497,687.90,687.90,true,40.00,411.35,2392.95,0.23,1029767.25
2026-07-01,699.95,719.85,699.90,702.70,693.62,SHORT,699.95,1471,693.62,702.70,false,40.00,412.66,-4497.91,-0.44,1025269.34
2026-07-02,707.75,716.00,702.50,712.30,708.76,LONG,707.75,1448,708.76,708.76,true,40.00,410.22,1012.26,0.10,1026281.60
2026-07-03,713.50,718.00,692.25,703.55,709.40,SHORT,713.50,1438,709.40,709.40,true,40.00,409.23,5446.57,0.53,1031728.18
2026-07-06,702.50,703.30,688.05,692.45,703.20,SKIP,,,,,,,,,,1031728.18
2026-07-07,690.90,693.10,668.70,672.35,694.35,LONG,690.90,1493,694.35,672.35,false,40.00,407.07,-28142.22,-2.73,1003585.96
2026-07-08,665.00,691.50,656.35,661.35,678.21,LONG,665.00,1509,678.21,678.21,true,40.00,405.38,19488.51,1.94,1023074.47
2026-07-09,665.00,675.65,665.00,670.00,673.82,LONG,665.00,1538,673.82,673.82,true,40.00,411.82,13113.34,1.28,1036187.81
2026-07-10,675.00,696.00,673.30,684.70,671.24,SHORT,675.00,1535,671.24,684.70,false,40.00,417.43,-15346.93,-1.48,1020840.88
2026-07-13,679.00,707.50,673.00,696.55,687.23,LONG,679.00,1503,687.23,687.23,true,40.00,410.69,11919.00,1.17,1032759.88
2026-07-14,692.05,692.05,679.55,684.10,693.72,LONG,692.05,1492,693.72,684.10,false,40.00,410.64,-12312.04,-1.19,1020447.84
2026-07-15,683.95,694.35,678.30,681.20,684.78,LONG,683.95,1491,684.78,684.78,true,40.00,408.16,789.37,0.08,1021237.21
2026-07-16,682.50,685.55,676.60,679.10,686.68,LONG,682.50,1496,686.68,679.10,false,40.00,407.39,-5533.79,-0.54,1015703.42
2026-07-17,674.00,678.25,667.00,670.35,679.97,LONG,674.00,1506,679.97,670.35,false,40.00,404.92,-5941.82,-0.59,1009761.60
2026-07-20,665.45,672.90,661.50,670.80,671.33,LONG,665.45,1517,671.33,671.33,true,40.00,405.58,8474.38,0.84,1018235.99
2026-07-21,668.05,673.35,663.00,666.85,667.57,SKIP,,,,,,,,,,1018235.99
2026-07-22,667.60,681.90,667.10,672.65,667.81,SKIP,,,,,,,,,,1018235.99
2026-07-23,669.00,671.85,656.95,659.10,674.56,LONG,669.00,1522,674.56,659.10,false,40.00,404.27,-15512.07,-1.52,1002723.91
2026-07-24,652.00,658.00,642.90,656.05,664.39,LONG,652.00,1537,664.39,656.05,false,40.00,402.09,5782.76,0.58,1008506.67
2026-07-27,659.00,672.00,659.00,665.00,649.92,SHORT,659.00,1530,649.92,665.00,false,40.00,405.14,-9625.14,-0.95,998881.52
2026-07-28,662.00,675.50,657.30,659.05,666.19,LONG,662.00,1508,666.19,666.19,true,40.00,400.58,5877.94,0.59,1004759.46
2026-07-29,662.00,679.70,660.10,676.00,663.45,LONG,662.00,1517,663.45,663.45,true,40.00,402.14,1757.51,0.18,1006516.97
2026-07-30,676.15,689.00,665.10,678.45,671.99,SHORT,676.15,1488,671.99,671.99,true,40.00,401.21,5748.87,0.57,1012265.84
2026-07-31,674.00,676.00,651.00,658.35,679.55,LONG,674.00,1501,679.55,658.35,false,40.00,399.97,-23930.62,-2.37,988335.22
2026-08-03,663.00,670.95,660.00,662.60,662.01,SHORT,663.00,1490,662.01,662.01,true,40.00,394.85,1040.25,0.11,989375.47
2026-08-04,664.00,664.00,657.15,659.70,665.44,LONG,664.00,1490,665.44,659.70,false,40.00,394.46,-6841.46,-0.69,982534.01
2026-08-05,664.00,666.65,656.55,663.05,660.03,SHORT,664.00,1479,660.03,660.03,true,40.00,391.65,5439.98,0.55,987973.99
2026-08-06,665.00,666.40,652.15,657.55,661.54,SHORT,665.00,1485,661.54,661.54,true,40.00,393.98,4704.12,0.48,992678.11
2026-08-07,653.00,660.00,647.00,648.65,660.50,LONG,653.00,1520,660.50,648.65,false,40.00,395.70,-7047.70,-0.71,985630.40
2026-08-10,650.00,650.00,637.00,639.35,652.68,LONG,650.00,1516,652.68,639.35,false,40.00,390.93,-16576.33,-1.68,969054.07
2026-08-11,640.00,652.00,638.00,643.90,643.80,LONG,640.00,1514,643.80,643.80,true,40.00,388.73,5324.47,0.55,974378.54
2026-08-12,647.00,650.00,622.50,627.35,647.14,SKIP,,,,,,,,,,974378.54
2026-08-13,629.00,638.75,627.35,632.90,633.07,LONG,629.00,1549,633.07,633.07,true,40.00,390.99,5873.44,0.60,980251.98
2026-08-14,630.60,632.90,621.05,622.95,634.23,LONG,630.60,1554,634.23,622.95,false,40.00,389.60,-12317.70,-1.26,967934.28
2026-08-17,622.00,629.75,618.40,621.35,626.59,LONG,622.00,1556,626.59,626.59,true,40.00,388.56,6713.48,0.69,974647.75
2026-08-18,621.45,626.55,617.00,619.85,623.87,LONG,621.45,1568,623.87,623.87,true,40.00,390.53,3364.03,0.35,978011.78
2026-08-19,619.80,621.15,614.10,618.65,620.24,SKIP,,,,,,,,,,978011.78
2026-08-20,620.00,631.20,620.00,623.35,617.99,SHORT,620.00,1577,617.99,623.35,false,40.00,392.15,-5715.10,-0.58,972296.68
2026-08-21,644.35,685.00,644.35,673.95,624.99,SHORT,644.35,1508,624.99,673.95,false,40.00,397.60,-45074.40,-4.64,927222.28
2026-08-24,663.75,670.35,657.15,661.45,672.46,LONG,663.75,1396,672.46,661.45,false,40.00,370.00,-3620.80,-0.39,923601.48
2026-08-25,658.95,659.50,645.40,647.55,663.26,LONG,658.95,1401,663.26,647.55,false,40.00,366.08,-16377.48,-1.77,907224.00
2026-08-26,648.90,661.10,647.35,653.40,649.85,LONG,648.90,1398,649.85,649.85,true,40.00,363.13,924.97,0.10,908148.97
2026-08-27,652.00,653.95,643.15,645.25,653.07,LONG,652.00,1392,653.07,653.07,true,40.00,363.33,1086.11,0.12,909235.08
2026-08-28,645.90,650.70,640.10,641.55,647.35,LONG,645.90,1407,647.35,647.35,true,40.00,363.92,1636.23,0.18,910871.31
2026-08-31,639.95,639.95,620.00,624.10,643.73,LONG,639.95,1423,643.73,624.10,false,40.00,359.75,-22954.30,-2.52,887917.01
