date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,991.85,1012.00,980.30,992.05,957.91,SHORT,991.85,1008,957.91,992.05,false,40.00,399.95,-641.55,-0.06,999358.45
2026-06-02,979.95,1004.00,965.55,999.10,998.68,LONG,979.95,1019,998.68,998.68,true,40.00,403.24,18642.63,1.87,1018001.07
2026-06-03,1000.00,1110.00,995.60,1085.80,986.69,SHORT,1000.00,1018,986.69,1085.80,false,40.00,424.67,-87809.07,-8.63,930192.00
2026-06-04,1068.15,1123.00,1058.15,1103.20,1060.50,SHORT,1068.15,870,1060.50,1060.50,true,40.00,370.39,6245.11,0.67,936437.12
2026-06-05,1102.00,1107.00,1079.10,1086.55,1097.56,SHORT,1102.00,849,1097.56,1097.56,true,40.00,373.49,3356.07,0.36,939793.19
2026-06-08,1070.00,1097.00,1029.10,1037.85,1090.70,LONG,1070.00,878,1090.70,1090.70,true,40.00,379.42,17755.18,1.89,957548.37
2026-06-09,1037.85,1041.30,1019.30,1029.75,1064.18,LONG,1037.85,922,1064.18,1029.75,false,40.00,381.27,-7889.47,-0.82,949658.91
2026-06-10,1030.00,1070.05,1029.50,1045.55,1028.12,SHORT,1030.00,921,1028.12,1045.55,false,40.00,382.32,-14743.87,-1.55,934915.04
2026-06-11,1040.00,1069.50,1036.55,1054.70,1050.98,LONG,1040.00,898,1050.98,1050.98,true,40.00,375.54,9444.50,1.01,944359.54
2026-06-12,1056.90,1083.20,1056.60,1065.80,1056.94,SKIP,,,,,,,,,,944359.54
2026-06-15,1084.95,1085.00,1050.35,1055.45,1067.42,SHORT,1084.95,870,1067.42,1067.42,true,40.00,374.51,14836.59,1.57,959196.13
2026-06-16,1055.30,1070.00,1045.00,1054.60,1065.95,LONG,1055.30,908,1065.95,1065.95,true,40.00,385.22,9244.98,0.96,968441.11
2026-06-17,1054.60,1068.50,1038.05,1043.25,1055.77,LONG,1054.60,918,1055.77,1055.77,true,40.00,387.46,646.60,0.07,969087.71
2026-06-18,1061.35,1208.70,1047.30,1186.40,1046.39,SHORT,1061.35,913,1046.39,1186.40,false,40.00,410.44,-114621.09,-11.83,854466.62
2026-06-19,1186.00,1186.00,1125.00,1159.75,1168.58,SHORT,1186.00,720,1168.58,1168.58,true,40.00,339.06,12163.34,1.42,866629.96
2026-06-22,1163.70,1171.85,1141.20,1151.80,1142.04,SHORT,1163.70,744,1142.04,1142.04,true,40.00,343.09,15731.95,1.82,882361.90
2026-06-23,1150.90,1150.90,1123.50,1131.15,1151.63,SKIP,,,,,,,,,,882361.90
2026-06-24,1139.00,1334.00,1135.00,1218.45,1132.41,SHORT,1139.00,774,1132.41,1218.45,false,40.00,364.93,-61899.23,-7.02,820462.67
2026-06-25,1224.10,1224.80,1162.00,1191.30,1255.45,LONG,1224.10,670,1255.45,1191.30,false,40.00,323.66,-22339.66,-2.72,798123.01
2026-06-29,1183.10,1199.50,1124.00,1131.50,1187.50,LONG,1183.10,674,1187.50,1187.50,true,40.00,319.56,2606.04,0.33,800729.05
2026-06-30,1132.00,1200.00,1113.75,1177.30,1144.18,LONG,1132.00,707,1144.18,1144.18,true,40.00,321.85,8249.41,1.03,808978.46
2026-07-01,1182.00,1231.00,1162.20,1191.60,1153.13,SHORT,1182.00,684,1153.13,1191.60,false,40.00,324.71,-6931.11,-0.86,802047.35
2026-07-02,1184.00,1186.10,1147.20,1180.80,1193.63,LONG,1184.00,677,1193.63,1180.80,false,40.00,320.19,-2526.59,-0.32,799520.75
2026-07-03,1185.00,1211.70,1177.90,1184.50,1169.15,SHORT,1185.00,674,1169.15,1184.50,false,40.00,319.41,-22.41,-0.00,799498.35
2026-07-06,1189.00,1189.00,1154.10,1178.80,1188.87,SKIP,,,,,,,,,,799498.35
2026-07-07,1171.00,1174.00,1137.10,1147.80,1169.21,SHORT,1171.00,682,1169.21,1169.21,true,40.00,319.20,861.58,0.11,800359.92
2026-07-08,1148.00,1148.00,1096.10,1107.10,1148.06,SKIP,,,,,,,,,,800359.92
2026-07-09,1120.00,1138.50,1111.90,1115.10,1123.85,LONG,1120.00,714,1123.85,1123.85,true,40.00,320.42,2388.48,0.30,802748.40
2026-07-10,1128.00,1128.00,1102.70,1110.10,1121.81,SHORT,1128.00,711,1121.81,1121.81,true,40.00,319.92,4041.17,0.50,806789.57
2026-07-13,1110.10,1131.40,1090.00,1107.20,1116.40,LONG,1110.10,726,1116.40,1116.40,true,40.00,323.29,4210.51,0.52,811000.08
2026-07-14,1107.00,1125.00,1089.10,1116.30,1109.60,LONG,1107.00,732,1109.60,1109.60,true,40.00,324.51,1538.69,0.19,812538.77
2026-07-15,1124.30,1164.50,1119.10,1139.80,1111.81,SHORT,1124.30,722,1111.81,1139.80,false,40.00,326.94,-11557.94,-1.42,800980.83
2026-07-16,1146.00,1146.00,1115.40,1131.70,1146.80,SKIP,,,,,,,,,,800980.83
2026-07-17,1132.00,1174.00,1116.00,1140.30,1128.50,SHORT,1132.00,707,1128.50,1128.50,true,40.00,319.63,2114.87,0.26,803095.70
2026-07-20,1147.80,1157.50,1110.10,1113.30,1132.95,SHORT,1147.80,699,1132.95,1132.95,true,40.00,318.85,10021.30,1.25,813117.00
2026-07-21,1117.70,1126.40,1097.10,1100.90,1130.56,LONG,1117.70,727,1130.56,1100.90,false,40.00,322.58,-12576.18,-1.55,800540.81
2026-07-22,1101.00,1101.00,1058.10,1064.80,1108.94,LONG,1101.00,727,1108.94,1064.80,false,40.00,314.91,-26672.31,-3.33,773868.51
2026-07-23,1060.00,1063.90,1020.30,1033.40,1070.80,LONG,1060.00,730,1070.80,1033.40,false,40.00,305.64,-19763.64,-2.55,754104.87
2026-07-24,1034.40,1066.10,1015.00,1061.50,1038.61,LONG,1034.40,729,1038.61,1038.61,true,40.00,302.24,2726.85,0.36,756831.72
2026-07-27,1076.00,1079.90,1048.20,1056.00,1040.08,SHORT,1076.00,703,1040.08,1056.00,false,40.00,299.76,13720.24,1.81,770551.96
2026-07-28,1061.70,1061.90,1036.00,1043.30,1058.73,SHORT,1061.70,725,1058.73,1058.73,true,40.00,307.46,1805.79,0.23,772357.74
2026-07-29,1050.00,1064.00,1043.60,1060.50,1042.92,SHORT,1050.00,735,1042.92,1060.50,false,40.00,310.24,-8067.74,-1.05,764290.00
2026-07-30,1060.50,1069.50,1030.80,1033.30,1057.54,SHORT,1060.50,720,1057.54,1057.54,true,40.00,305.00,1786.20,0.23,766076.20
2026-07-31,1034.50,1053.80,1022.60,1049.80,1047.09,LONG,1034.50,740,1047.09,1047.09,true,40.00,308.08,8968.52,1.17,775044.73
2026-08-03,1064.70,1077.00,1050.50,1063.70,1038.40,SHORT,1064.70,727,1038.40,1063.70,false,40.00,309.47,377.53,0.05,775422.26
2026-08-04,1065.00,1078.90,1054.00,1057.30,1062.03,SHORT,1065.00,728,1062.03,1062.03,true,40.00,309.70,1812.46,0.23,777234.72
2026-08-05,1060.00,1094.40,1058.20,1078.50,1064.19,LONG,1060.00,733,1064.19,1064.19,true,40.00,311.41,2719.86,0.35,779954.59
2026-08-06,1077.20,1092.90,1069.00,1086.00,1080.97,LONG,1077.20,724,1080.97,1080.97,true,40.00,312.50,2376.98,0.30,782331.56
2026-08-07,1085.30,1089.20,1071.00,1076.70,1083.36,SHORT,1085.30,720,1083.36,1083.36,true,40.00,312.29,1044.51,0.13,783376.08
2026-08-10,1076.70,1102.90,1064.80,1086.00,1077.31,SKIP,,,,,,,,,,783376.08
2026-08-11,1100.00,1152.80,1089.00,1096.50,1082.63,SHORT,1100.00,712,1082.63,1096.50,false,40.00,312.78,2139.22,0.27,785515.30
2026-08-12,1103.00,1104.00,1085.00,1088.70,1128.33,LONG,1103.00,712,1128.33,1088.70,false,40.00,312.10,-10533.70,-1.34,774981.60
2026-08-13,1088.60,1090.40,1077.10,1084.70,1092.24,LONG,1088.60,711,1092.24,1084.70,false,40.00,309.04,-3121.94,-0.40,771859.65
2026-08-14,1087.30,1113.70,1081.10,1110.00,1085.55,SHORT,1087.30,709,1085.55,1085.55,true,40.00,308.11,892.64,0.12,772752.29
2026-08-17,1109.80,1140.00,1098.00,1135.60,1103.91,SHORT,1109.80,696,1103.91,1103.91,true,40.00,308.15,3751.29,0.49,776503.59
2026-08-18,1135.60,1140.00,1118.30,1123.50,1123.27,SHORT,1135.60,683,1123.27,1123.27,true,40.00,308.56,8072.83,1.04,784576.41
2026-08-19,1124.60,1137.00,1113.90,1126.20,1129.64,LONG,1124.60,697,1129.64,1129.64,true,40.00,314.24,3158.64,0.40,787735.05
2026-08-20,1132.80,1160.00,1126.10,1153.20,1127.51,SHORT,1132.80,695,1127.51,1127.51,true,40.00,314.18,3322.37,0.42,791057.42
2026-08-21,1158.00,1167.50,1137.70,1151.60,1148.46,SHORT,1158.00,683,1148.46,1148.46,true,40.00,315.06,6160.76,0.78,797218.18
