date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,7110.00,7111.50,6795.50,6900.00,7431.24,LONG,7110.00,140,7431.24,6900.00,false,40.00,392.28,-29832.28,-3.00,970167.72
2026-06-02,6900.00,7000.00,6870.00,6940.00,6900.93,SKIP,,,,,,,,,,970167.72
2026-06-03,6949.00,7145.00,6881.00,7110.50,6945.95,SKIP,,,,,,,,,,970167.72
2026-06-04,7147.00,7179.00,7035.00,7069.00,7039.71,SHORT,7147.00,135,7039.71,7039.71,true,40.00,383.04,14061.11,1.46,984228.83
2026-06-05,7146.50,7146.50,6941.00,7010.50,7097.41,SHORT,7146.50,137,7097.41,7097.41,true,40.00,390.28,6295.05,0.64,990523.88
2026-06-08,7010.50,7010.50,6850.00,6869.50,7040.90,LONG,7010.50,141,7040.90,6869.50,false,40.00,391.42,-20312.42,-2.05,970211.46
2026-06-09,6948.50,6974.00,6835.00,6855.00,6893.51,SHORT,6948.50,139,6893.51,6893.51,true,40.00,384.81,7218.80,0.75,977430.26
2026-06-10,6855.00,6928.50,6725.00,6750.50,6880.86,LONG,6855.00,142,6880.86,6880.86,true,40.00,390.10,3242.02,0.33,980672.28
2026-06-11,6700.00,6794.00,6675.00,6716.00,6809.93,LONG,6700.00,146,6809.93,6716.00,false,40.00,391.75,1904.25,0.19,982576.54
2026-06-12,6739.50,6949.50,6739.50,6916.00,6723.72,SHORT,6739.50,145,6723.72,6916.00,false,40.00,396.01,-26028.51,-2.66,956548.03
2026-06-15,7087.50,7098.50,6910.00,6940.00,6851.40,SHORT,7087.50,134,6851.40,6940.00,false,40.00,375.94,19349.06,2.04,975897.09
2026-06-16,6950.00,7020.00,6925.50,6991.50,6975.44,LONG,6950.00,140,6975.44,6975.44,true,40.00,389.91,3131.69,0.32,979028.78
2026-06-17,6995.00,7050.00,6939.00,7029.00,6975.59,SHORT,6995.00,139,6975.59,6975.59,true,40.00,388.38,2269.61,0.23,981298.38
2026-06-18,7070.00,7331.00,7000.00,7275.50,6990.79,SHORT,7070.00,138,6990.79,7275.50,false,40.00,395.94,-28794.94,-2.95,952503.45
2026-06-19,7272.00,7570.00,7123.50,7460.50,7217.27,SHORT,7272.00,130,7217.27,7217.27,true,40.00,376.72,6698.18,0.71,959201.63
2026-06-22,7497.00,7570.00,7385.00,7414.50,7394.76,SHORT,7497.00,127,7394.76,7394.76,true,40.00,378.25,12566.23,1.32,971767.86
2026-06-23,7415.00,7445.50,7170.50,7198.00,7442.38,LONG,7415.00,131,7442.38,7442.38,true,40.00,389.26,3157.52,0.33,974925.37
2026-06-24,7171.00,7233.00,7126.00,7141.50,7259.24,LONG,7171.00,135,7259.24,7141.50,false,40.00,386.44,-4408.94,-0.46,970516.44
2026-06-25,7157.00,7194.50,7010.00,7021.50,7158.76,SKIP,,,,,,,,,,970516.44
2026-06-29,7021.50,7439.00,7000.00,7297.00,7062.01,LONG,7021.50,138,7062.01,7062.01,true,40.00,388.70,5161.68,0.53,975678.11
2026-06-30,7317.00,7379.00,7275.00,7311.00,7298.73,SHORT,7317.00,133,7298.73,7298.73,true,40.00,388.78,2001.13,0.21,977679.24
2026-07-01,7309.00,7311.00,7200.00,7212.00,7318.63,LONG,7309.00,133,7318.63,7212.00,false,40.00,386.26,-13327.26,-1.37,964351.98
2026-07-02,7340.00,7340.00,7170.00,7190.50,7252.44,SHORT,7340.00,131,7252.44,7252.44,true,40.00,382.32,11048.04,1.15,975400.02
2026-07-03,7249.50,7286.00,7153.00,7178.50,7216.77,SHORT,7249.50,134,7216.77,7216.77,true,40.00,387.70,3958.12,0.41,979358.15
2026-07-06,7178.50,7245.00,7150.00,7193.50,7205.18,LONG,7178.50,136,7205.18,7205.18,true,40.00,391.24,3197.24,0.33,982555.39
2026-07-07,7215.00,7215.00,7050.00,7141.00,7194.22,SHORT,7215.00,136,7194.22,7194.22,true,40.00,391.93,2394.15,0.24,984949.54
2026-07-08,7112.00,7249.50,6900.00,6935.50,7114.26,SKIP,,,,,,,,,,984949.54
2026-07-09,6974.50,7065.00,6970.00,6987.50,7019.25,LONG,6974.50,141,7019.25,7019.25,true,40.00,394.62,5875.13,0.60,990824.67
2026-07-10,6987.50,7172.00,6967.00,7033.00,7000.95,LONG,6987.50,141,7000.95,7000.95,true,40.00,394.47,1461.98,0.15,992286.64
2026-07-13,7025.00,7219.50,6933.00,7114.00,7043.06,LONG,7025.00,141,7043.06,7043.06,true,40.00,396.72,2109.74,0.21,994396.38
2026-07-14,7113.50,7251.00,7060.50,7081.50,7135.86,LONG,7113.50,139,7135.86,7135.86,true,40.00,396.13,2671.91,0.27,997068.29
2026-07-15,7108.00,7181.00,6999.50,7028.00,7145.54,LONG,7108.00,140,7145.54,7145.54,true,40.00,399.10,4816.50,0.48,1001884.79
2026-07-16,7057.00,7159.50,7028.50,7128.00,7067.00,LONG,7057.00,141,7067.00,7067.00,true,40.00,398.30,971.70,0.10,1002856.49
2026-07-17,7150.50,7171.50,7040.00,7114.50,7111.63,SHORT,7150.50,140,7111.63,7111.63,true,40.00,399.34,5002.46,0.50,1007858.95
2026-07-20,7070.00,7130.50,6983.00,6996.50,7127.87,LONG,7070.00,142,7127.87,7127.87,true,40.00,403.22,7774.32,0.77,1015633.28
2026-07-21,6998.50,7072.50,6951.00,7004.00,7026.16,LONG,6998.50,145,7026.16,7026.16,true,40.00,406.72,3563.98,0.35,1019197.26
2026-07-22,6996.00,6996.50,6825.50,6840.50,7016.10,LONG,6996.00,145,7016.10,6840.50,false,40.00,401.26,-22988.76,-2.27,996208.50
2026-07-23,6829.00,6878.00,6675.50,6709.50,6883.42,LONG,6829.00,145,6883.42,6709.50,false,40.00,392.62,-17760.12,-1.79,978448.39
2026-07-24,6677.50,6813.50,6651.50,6731.00,6743.91,LONG,6677.50,146,6743.91,6743.91,true,40.00,391.91,9263.95,0.95,987712.34
2026-07-27,6752.00,6810.00,6726.00,6766.50,6730.12,SHORT,6752.00,146,6730.12,6730.12,true,40.00,393.68,2760.80,0.28,990473.14
2026-07-28,6766.50,6777.00,6652.00,6667.50,6765.15,SKIP,,,,,,,,,,990473.14
2026-07-29,6700.00,6850.00,6671.00,6722.50,6694.58,SKIP,,,,,,,,,,990473.14
2026-07-30,6725.00,6764.50,6621.00,6637.00,6753.83,LONG,6725.00,147,6753.83,6753.83,true,40.00,396.28,3801.73,0.38,994274.87
2026-07-31,6656.00,6810.00,6646.50,6745.00,6679.77,LONG,6656.00,149,6679.77,6679.77,true,40.00,397.41,3104.32,0.31,997379.20
2026-08-03,6770.50,7035.00,6770.50,6980.50,6741.40,SHORT,6770.50,147,6741.40,6980.50,false,40.00,404.28,-31314.28,-3.15,966064.92
2026-08-04,6975.00,7319.50,6970.00,7156.50,6940.85,SHORT,6975.00,138,6940.85,7156.50,false,40.00,390.03,-25477.03,-2.65,940587.89
2026-08-05,7213.00,7225.50,7071.50,7088.00,7187.63,SHORT,7213.00,130,7187.63,7187.63,true,40.00,374.42,2883.68,0.31,943471.57
2026-08-06,7085.00,7188.50,7026.50,7152.50,7110.82,LONG,7085.00,133,7110.82,7110.82,true,40.00,377.61,3016.45,0.32,946488.02
2026-08-07,7150.00,7206.00,7057.00,7112.50,7117.45,SHORT,7150.00,132,7117.45,7117.45,true,40.00,376.66,3879.94,0.41,950367.96
2026-08-10,7112.50,7148.00,6996.50,7048.00,7136.20,LONG,7112.50,133,7136.20,7136.20,true,40.00,379.02,2733.08,0.29,953101.05
2026-08-11,7094.00,7189.50,6932.00,6972.00,7060.87,SHORT,7094.00,134,7060.87,7060.87,true,40.00,379.35,4020.07,0.42,957121.12
2026-08-12,6931.00,6931.00,6709.50,6777.50,7040.48,LONG,6931.00,138,7040.48,6777.50,false,40.00,378.35,-21601.35,-2.26,935519.76
2026-08-13,6779.00,6844.50,6651.00,6688.50,6805.03,LONG,6779.00,138,6805.03,6805.03,true,40.00,374.92,3177.22,0.34,938696.98
2026-08-14,6735.00,6735.00,6645.00,6696.00,6758.07,LONG,6735.00,139,6758.07,6696.00,false,40.00,373.38,-5834.38,-0.62,932862.60
2026-08-17,6705.00,6770.00,6575.00,6732.00,6692.83,SHORT,6705.00,139,6692.83,6692.83,true,40.00,372.46,1279.17,0.14,934141.77
2026-08-18,6720.00,6870.50,6701.50,6725.50,6665.31,SHORT,6720.00,139,6665.31,6725.50,false,40.00,373.78,-1178.28,-0.13,932963.49
2026-08-19,6743.50,6850.00,6680.00,6702.50,6796.37,LONG,6743.50,138,6796.37,6796.37,true,40.00,373.70,6882.36,0.74,939845.85
2026-08-20,6780.00,6782.50,6679.50,6695.00,6709.36,SHORT,6780.00,138,6709.36,6709.36,true,40.00,372.31,9336.01,1.00,949181.86
2026-08-21,6702.00,6729.00,6656.00,6672.00,6711.32,LONG,6702.00,141,6711.32,6711.32,true,40.00,378.26,895.86,0.09,950077.73
2026-08-24,6684.50,6703.00,6498.00,6531.00,6678.18,SKIP,,,,,,,,,,950077.73
2026-08-25,6540.00,6599.50,6458.00,6493.50,6575.26,LONG,6540.00,145,6575.26,6575.26,true,40.00,380.34,4692.36,0.49,954770.08
2026-08-26,6525.00,6695.00,6512.50,6598.50,6506.71,SHORT,6525.00,146,6506.71,6598.50,false,40.00,383.21,-11154.21,-1.17,943615.88
2026-08-27,6595.00,6677.50,6536.00,6549.00,6629.53,LONG,6595.00,143,6629.53,6629.53,true,40.00,378.22,4519.57,0.48,948135.45
2026-08-28,6549.00,6549.50,6491.00,6504.00,6578.20,LONG,6549.00,144,6578.20,6504.00,false,40.00,375.93,-6895.93,-0.73,941239.52
2026-08-31,6500.00,6513.50,6364.00,6385.50,6519.19,LONG,6500.00,144,6519.19,6385.50,false,40.00,371.10,-16899.10,-1.81,924340.42
