date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,3330.00,3334.00,3224.10,3246.40,3328.87,SKIP,,,,,,,,,,1000000.00
2026-06-02,3205.00,3268.60,3179.30,3262.10,3262.19,LONG,3205.00,312,3262.19,3262.19,true,40.00,403.55,17399.73,1.74,1017399.73
2026-06-03,3262.10,3266.80,3148.50,3218.30,3227.83,SHORT,3262.10,311,3227.83,3227.83,true,40.00,403.67,10214.30,1.01,1027614.02
2026-06-04,3224.00,3224.00,3157.00,3169.70,3191.27,SHORT,3224.00,318,3191.27,3191.27,true,40.00,408.01,9960.13,0.97,1037574.15
2026-06-05,3180.00,3225.00,3126.10,3153.10,3185.56,LONG,3180.00,326,3185.56,3185.56,true,40.00,415.03,1357.53,0.13,1038931.68
2026-06-08,3081.80,3113.90,2951.00,2964.70,3166.04,LONG,3081.80,337,3166.04,2964.70,false,40.00,407.53,-39910.23,-3.84,999021.44
2026-06-09,2971.00,3008.00,2941.30,2991.10,3007.47,LONG,2971.00,336,3007.47,3007.47,true,40.00,401.75,11812.17,1.18,1010833.61
2026-06-10,2959.90,2960.00,2870.00,2898.80,2978.34,LONG,2959.90,341,2978.34,2898.80,false,40.00,399.56,-21274.66,-2.11,989558.95
2026-06-11,2846.00,2917.90,2822.60,2890.00,2895.01,LONG,2846.00,347,2895.01,2895.01,true,40.00,398.43,16568.04,1.68,1006126.99
2026-06-12,2955.00,3051.70,2951.20,3042.20,2883.84,SHORT,2955.00,340,2883.84,3042.20,false,40.00,407.81,-30095.81,-3.00,976031.18
2026-06-15,3129.00,3214.00,3129.00,3160.10,2998.79,SHORT,3129.00,311,2998.79,3160.10,false,40.00,391.18,-10103.28,-1.04,965927.90
2026-06-16,3165.00,3194.00,3153.30,3166.90,3178.17,LONG,3165.00,305,3178.17,3178.17,true,40.00,386.93,3589.92,0.37,969517.82
2026-06-17,3157.50,3201.20,3133.30,3190.60,3169.97,LONG,3157.50,307,3169.97,3169.97,true,40.00,388.51,3399.78,0.35,972917.60
