date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,1010.00,1014.00,926.00,933.30,1074.82,LONG,1010.00,990,1074.82,933.30,false,40.00,384.77,-76357.77,-7.64,923642.23
2026-06-02,930.00,954.00,925.00,939.30,952.87,LONG,930.00,993,952.87,952.87,true,40.00,373.94,22295.97,2.41,945938.20
2026-06-03,922.20,942.50,885.40,934.50,936.19,LONG,922.20,1025,936.19,936.19,true,40.00,380.97,13918.78,1.47,959856.98
2026-06-04,933.80,939.80,916.00,918.70,914.21,SHORT,933.80,1027,914.21,918.70,false,40.00,380.50,15087.20,1.57,974944.18
2026-06-05,924.00,924.00,888.60,893.40,924.02,SKIP,,,,,,,,,,974944.18
2026-06-08,884.90,908.30,863.30,868.30,901.58,LONG,884.90,1101,901.58,901.58,true,40.00,393.38,17931.30,1.84,992875.47
2026-06-09,871.30,878.60,856.80,865.00,882.74,LONG,871.30,1139,882.74,865.00,false,40.00,395.53,-7611.23,-0.77,985264.24
2026-06-10,866.70,876.80,851.10,854.60,865.40,SHORT,866.70,1136,865.40,865.40,true,40.00,393.53,1043.27,0.11,986307.51
2026-06-11,850.00,875.10,839.00,842.20,861.27,LONG,850.00,1160,861.27,861.27,true,40.00,397.01,12636.19,1.28,998943.70
2026-06-12,861.80,866.00,849.10,863.90,851.01,SHORT,861.80,1159,851.01,851.01,true,40.00,397.03,12068.58,1.21,1011012.28
2026-06-15,883.00,889.00,839.50,847.60,857.24,SHORT,883.00,1144,857.24,857.24,true,40.00,398.17,29031.27,2.87,1040043.55
2026-06-16,851.70,857.90,841.70,851.50,858.10,LONG,851.70,1221,858.10,851.50,false,40.00,415.92,-700.12,-0.07,1039343.43
2026-06-17,850.00,869.40,844.40,867.10,850.03,SKIP,,,,,,,,,,1039343.43
2026-06-18,870.00,895.80,862.90,883.50,858.85,SHORT,870.00,1194,858.85,883.50,false,40.00,418.74,-16577.74,-1.60,1022765.69
2026-06-19,884.90,910.00,876.10,889.00,884.35,SKIP,,,,,,,,,,1022765.69
2026-06-22,889.00,892.80,880.40,884.30,888.73,SKIP,,,,,,,,,,1022765.69
2026-06-23,893.10,913.40,884.80,892.90,886.24,SHORT,893.10,1145,886.24,886.24,true,40.00,407.47,7407.23,0.72,1030172.92
2026-06-24,894.10,913.60,888.00,893.60,899.85,LONG,894.10,1152,899.85,899.85,true,40.00,413.33,6170.67,0.60,1036343.60
2026-06-25,898.80,918.20,898.00,903.70,902.38,LONG,898.80,1153,902.38,902.38,true,40.00,415.35,3672.39,0.35,1040015.98
2026-06-29,901.20,924.00,890.30,919.50,908.99,LONG,901.20,1154,908.99,908.99,true,40.00,417.79,8531.87,0.82,1048547.85
2026-06-30,919.50,935.00,915.50,931.30,914.12,SHORT,919.50,1140,914.12,931.30,false,40.00,421.98,-13913.98,-1.33,1034633.87
2026-07-01,939.80,951.50,915.75,926.20,928.48,SHORT,939.80,1100,928.48,928.48,true,40.00,411.02,12000.98,1.16,1046634.85
