date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,84.80,85.23,83.57,84.50,84.42,SHORT,84.80,11792,84.42,84.42,true,40.00,399.09,4041.87,0.40,1004041.87
2026-06-02,84.50,84.87,82.24,84.03,84.41,SHORT,84.50,11882,84.41,84.41,true,40.00,401.40,627.98,0.06,1004669.85
2026-06-03,83.10,85.04,82.81,84.03,83.45,LONG,83.10,12089,83.45,83.45,true,40.00,402.68,3788.47,0.38,1008458.32
2026-06-04,83.25,83.64,81.53,81.75,84.16,LONG,83.25,12113,84.16,81.75,false,40.00,399.73,-18609.23,-1.85,989849.09
2026-06-05,81.86,84.23,81.86,82.42,82.44,LONG,81.86,12091,82.44,82.44,true,40.00,397.31,6575.47,0.66,996424.56
2026-06-08,81.05,82.67,80.69,81.52,82.93,LONG,81.05,12293,82.93,81.52,false,40.00,399.69,5338.02,0.54,1001762.58
2026-06-09,81.52,83.96,81.50,83.27,81.88,LONG,81.52,12288,81.88,81.88,true,40.00,401.57,3982.11,0.40,1005744.68
2026-06-10,84.10,85.27,83.21,84.19,82.81,SHORT,84.10,11958,82.81,84.19,false,40.00,402.48,-1518.70,-0.15,1004225.98
2026-06-11,83.35,85.66,82.41,82.97,84.29,LONG,83.35,12048,84.29,84.29,true,40.00,403.95,10881.17,1.08,1015107.16
2026-06-12,83.09,84.86,82.72,83.96,84.04,LONG,83.09,12216,84.04,84.04,true,40.00,408.33,11156.87,1.10,1026264.02
2026-06-15,86.30,86.91,82.50,83.39,83.76,SHORT,86.30,11891,83.76,83.76,true,40.00,404.44,29758.70,2.90,1056022.73
2026-06-16,84.45,85.63,83.36,84.30,84.76,LONG,84.45,12504,84.76,84.76,true,40.00,423.16,3413.08,0.32,1059435.81
2026-06-17,84.25,85.05,83.30,84.70,84.90,LONG,84.25,12574,84.90,84.90,true,40.00,425.38,7707.72,0.73,1067143.53
2026-06-18,84.20,88.70,84.20,87.09,84.42,LONG,84.20,12673,84.42,84.42,true,40.00,427.38,2320.68,0.22,1069464.20
2026-06-19,87.10,89.00,85.39,86.87,87.31,LONG,87.10,12278,87.31,87.31,true,40.00,428.28,2110.10,0.20,1071574.30
2026-06-22,87.55,87.76,86.12,86.80,87.27,SHORT,87.55,12239,87.27,87.27,true,40.00,427.92,2959.00,0.28,1074533.30
2026-06-23,86.80,88.31,85.70,86.68,86.92,LONG,86.80,12379,86.92,86.92,true,40.00,430.10,1015.38,0.09,1075548.68
2026-06-24,86.68,86.76,85.95,86.39,87.21,LONG,86.68,12408,87.21,86.39,false,40.00,429.49,-4067.81,-0.38,1071480.87
2026-06-25,86.39,86.50,84.60,84.79,86.37,SKIP,,,,,,,,,,1071480.87
2026-06-29,85.78,85.92,84.22,84.62,85.36,SHORT,85.78,12491,85.36,85.36,true,40.00,427.54,4778.68,0.45,1076259.55
2026-06-30,84.75,85.29,84.13,84.57,85.00,LONG,84.75,12699,85.00,85.00,true,40.00,431.13,2703.62,0.25,1078963.17
