date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,350.60,352.80,333.50,336.35,353.05,LONG,350.60,2852,353.05,336.35,false,40.00,391.84,-41072.84,-4.11,958927.16
2026-06-02,334.75,351.00,332.65,349.10,341.35,LONG,334.75,2864,341.35,341.35,true,40.00,387.27,18475.13,1.93,977402.29
2026-06-03,349.50,352.85,338.65,346.00,343.17,SHORT,349.50,2796,343.17,343.17,true,40.00,387.34,17271.34,1.77,994673.63
2026-06-04,343.70,345.75,337.60,338.60,345.67,LONG,343.70,2894,345.67,345.67,true,40.00,399.01,5262.17,0.53,999935.81
2026-06-05,340.50,347.90,333.35,336.60,340.82,SKIP,,,,,,,,,,999935.81
2026-06-08,333.70,342.90,331.55,335.75,337.57,LONG,333.70,2996,337.57,337.57,true,40.00,402.22,11152.30,1.12,1011088.10
2026-06-09,327.20,333.20,320.00,327.75,337.44,LONG,327.20,3090,337.44,327.75,false,40.00,404.76,1254.74,0.12,1012342.84
2026-06-10,325.00,326.35,307.60,309.60,326.33,LONG,325.00,3114,326.33,326.33,true,40.00,405.65,3695.97,0.37,1016038.81
2026-06-11,308.00,314.10,305.10,310.35,317.31,LONG,308.00,3298,317.31,310.35,false,40.00,407.86,7302.44,0.72,1023341.25
2026-06-12,316.05,319.85,311.60,316.30,309.65,SHORT,316.05,3237,309.65,316.30,false,40.00,409.38,-1258.63,-0.12,1022082.62
2026-06-15,321.60,322.40,315.30,317.90,316.47,SHORT,321.60,3178,316.47,316.47,true,40.00,405.56,15857.58,1.55,1037940.20
2026-06-16,317.90,318.90,309.95,313.45,319.17,LONG,317.90,3264,319.17,313.45,false,40.00,412.15,-14976.95,-1.44,1022963.25
2026-06-17,314.40,317.35,307.85,311.00,314.64,SKIP,,,,,,,,,,1022963.25
2026-06-18,312.00,326.20,311.30,323.75,312.35,LONG,312.00,3278,312.35,312.35,true,40.00,409.32,697.98,0.07,1023661.23
2026-06-19,324.80,328.70,318.80,321.70,320.18,SHORT,324.80,3151,320.18,320.18,true,40.00,406.47,14111.15,1.38,1037772.38
2026-06-22,322.40,329.10,318.15,327.60,324.65,LONG,322.40,3218,324.65,324.65,true,40.00,416.44,6784.06,0.65,1044556.44
2026-06-23,328.70,328.80,319.80,327.15,326.42,SHORT,328.70,3177,326.42,326.42,true,40.00,416.26,6787.30,0.65,1051343.74
2026-06-24,328.50,328.70,323.90,325.25,325.54,SHORT,328.50,3200,325.54,325.54,true,40.00,418.59,9013.41,0.86,1060357.15
2026-06-25,327.00,327.00,319.05,320.10,326.10,SHORT,327.00,3242,326.10,326.10,true,40.00,423.47,2454.33,0.23,1062811.48
2026-06-29,320.90,328.90,317.45,327.75,322.74,LONG,320.90,3311,322.74,322.74,true,40.00,426.22,5626.02,0.53,1068437.50
2026-06-30,327.70,327.70,319.20,322.00,325.91,SHORT,327.70,3260,325.91,325.91,true,40.00,426.15,5369.25,0.50,1073806.75
2026-07-01,321.55,323.25,316.00,317.10,322.29,LONG,321.55,3339,322.29,322.29,true,40.00,429.96,2000.90,0.19,1075807.65
2026-07-02,320.00,321.00,312.35,315.00,318.79,SHORT,320.00,3361,318.79,318.79,true,40.00,429.39,3597.42,0.33,1079405.07
2026-07-03,315.50,316.50,311.75,313.50,316.50,LONG,315.50,3421,316.50,316.50,true,40.00,432.41,2948.59,0.27,1082353.66
2026-07-06,312.65,314.25,306.00,307.95,313.49,LONG,312.65,3461,313.49,313.49,true,40.00,433.41,2433.83,0.22,1084787.48
2026-07-07,307.95,310.20,300.00,302.25,309.96,LONG,307.95,3522,309.96,309.96,true,40.00,435.26,6603.96,0.61,1091391.45
