date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,10069.00,10291.00,10063.00,10191.00,10123.49,LONG,10069.00,99,10123.49,10123.49,true,40.00,399.81,4954.70,0.50,1004954.70
2026-06-02,10290.00,10475.50,10176.50,10344.50,10188.34,SHORT,10290.00,97,10188.34,10188.34,true,40.00,397.28,9423.74,0.94,1014378.44
2026-06-03,10300.00,10300.50,9933.50,9997.50,10321.57,LONG,10300.00,98,10321.57,9997.50,false,40.00,397.83,-30082.83,-2.98,984295.61
2026-06-04,9875.00,10209.00,9775.00,10098.00,10092.40,LONG,9875.00,99,10092.40,10092.40,true,40.00,395.35,21087.25,2.16,1005382.85
2026-06-05,10175.00,10198.00,9908.50,9936.50,10061.85,SHORT,10175.00,98,10061.85,10061.85,true,40.00,396.64,10652.06,1.07,1016034.91
2026-06-08,9800.00,10000.00,9689.00,9756.00,10032.57,LONG,9800.00,103,10032.57,9756.00,false,40.00,402.85,-4974.85,-0.49,1011060.06
2026-06-09,9841.00,9862.00,9434.00,9639.50,9861.17,LONG,9841.00,102,9861.17,9861.17,true,40.00,401.92,1615.42,0.16,1012675.47
2026-06-10,9701.50,9757.00,9440.00,9470.00,9594.21,SHORT,9701.50,104,9594.21,9594.21,true,40.00,401.35,10716.81,1.06,1023392.28
2026-06-11,9349.50,9439.00,9050.00,9265.50,9558.64,LONG,9349.50,109,9558.64,9265.50,false,40.00,405.81,-9601.81,-0.94,1013790.48
2026-06-12,9350.00,9409.00,9226.50,9327.50,9244.66,SHORT,9350.00,108,9244.66,9244.66,true,40.00,401.64,10935.08,1.08,1024725.55
2026-06-15,9500.00,9517.00,9350.50,9373.00,9321.19,SHORT,9500.00,107,9321.19,9373.00,false,40.00,403.88,13145.12,1.29,1037870.67
2026-06-16,9425.00,9580.50,9357.00,9500.50,9427.28,SKIP,,,,,,,,,,1037870.67
2026-06-17,9545.00,9609.00,9380.00,9444.50,9474.65,SHORT,9545.00,108,9474.65,9474.65,true,40.00,410.82,7146.98,0.69,1045017.64
2026-06-18,9480.00,9482.50,9306.50,9399.50,9439.80,SHORT,9480.00,110,9439.80,9439.80,true,40.00,416.24,3965.76,0.38,1048983.41
2026-06-19,9200.00,9695.00,9127.50,9638.50,9375.59,LONG,9200.00,114,9375.59,9375.59,true,40.00,423.52,19553.74,1.86,1068537.15
2026-06-22,9700.00,9849.50,9668.00,9731.50,9486.41,SHORT,9700.00,110,9486.41,9731.50,false,40.00,427.49,-3932.49,-0.37,1064604.65
2026-06-23,9720.00,9925.00,9614.00,9862.50,9771.93,LONG,9720.00,109,9771.93,9771.93,true,40.00,424.92,5195.45,0.49,1069800.10
2026-06-24,9903.00,10510.00,9874.50,10468.50,9818.14,SHORT,9903.00,108,9818.14,10468.50,false,40.00,440.02,-61554.02,-5.76,1008246.07
2026-06-25,10504.00,11035.00,10411.00,10974.50,10240.50,SHORT,10504.00,95,10240.50,10974.50,false,40.00,408.09,-45145.59,-4.52,963100.48
2026-06-29,10974.50,11055.00,10770.00,10874.50,10840.09,SHORT,10974.50,87,10840.09,10840.09,true,40.00,379.57,11274.10,1.18,974374.58
2026-06-30,10874.50,10950.00,10710.00,10775.50,10902.51,LONG,10874.50,89,10902.51,10902.51,true,40.00,387.63,2065.26,0.21,976439.84
2026-07-01,10665.00,11130.00,10550.00,10863.00,10819.61,LONG,10665.00,91,10819.61,10819.61,true,40.00,391.02,13638.49,1.41,990078.33
2026-07-02,10971.00,11275.00,10952.00,10986.00,10899.02,SHORT,10971.00,90,10899.02,10986.00,false,40.00,395.23,-1785.23,-0.18,988293.10
2026-07-03,11000.00,11279.00,10936.00,11248.00,11093.78,LONG,11000.00,89,11093.78,11093.78,true,40.00,393.27,7913.15,0.81,996206.25
