date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,483.95,487.40,466.45,470.40,477.51,SHORT,483.95,2066,477.51,477.51,true,40.00,397.28,12867.76,1.29,1012867.76
2026-06-02,470.20,483.00,462.05,480.40,474.30,LONG,470.20,2154,474.30,474.30,true,40.00,406.89,8384.51,0.83,1021252.27
2026-06-03,480.40,481.35,465.35,471.45,471.40,SHORT,480.40,2125,471.40,471.40,true,40.00,404.52,18680.49,1.83,1039932.76
2026-06-04,470.00,496.35,468.20,492.90,471.62,LONG,470.00,2212,471.62,471.62,true,40.00,416.57,3126.87,0.30,1043059.63
2026-06-05,495.40,496.20,482.15,485.35,489.57,SHORT,495.40,2105,489.57,489.57,true,40.00,414.67,11817.48,1.13,1054877.10
2026-06-08,476.10,479.95,467.00,470.40,488.88,LONG,476.10,2215,488.88,470.40,false,40.00,419.30,-13084.80,-1.24,1041792.30
2026-06-09,475.00,484.60,470.65,479.80,474.77,SKIP,,,,,,,,,,1041792.30
2026-06-10,479.80,479.80,463.40,465.90,476.79,SHORT,479.80,2171,476.79,476.79,true,40.00,415.35,6079.36,0.58,1047871.66
2026-06-11,462.95,469.95,457.00,459.00,472.91,LONG,462.95,2263,472.91,459.00,false,40.00,417.27,-9396.12,-0.90,1038475.54
2026-06-12,467.50,487.00,465.50,483.30,463.66,SHORT,467.50,2221,463.66,483.30,false,40.00,422.35,-35554.15,-3.42,1002921.39
2026-06-15,496.35,506.30,490.35,492.80,478.62,SHORT,496.35,2020,478.62,492.80,false,40.00,399.62,6731.38,0.67,1009652.78
2026-06-16,494.70,531.75,491.50,527.45,497.30,LONG,494.70,2040,497.30,497.30,true,40.00,404.74,4859.26,0.48,1014512.04
2026-06-17,527.45,550.55,527.00,545.65,521.31,SHORT,527.45,1923,521.31,545.65,false,40.00,412.71,-35451.31,-3.50,979060.73
2026-06-18,554.00,566.90,546.50,564.25,543.02,SHORT,554.00,1767,543.02,564.25,false,40.00,395.19,-18546.94,-1.89,960513.79
2026-06-19,565.10,568.20,554.65,560.50,558.95,SHORT,565.10,1699,558.95,558.95,true,40.00,381.95,10026.90,1.04,970540.68
2026-06-22,564.00,579.00,556.40,567.50,561.21,SHORT,564.00,1720,561.21,561.21,true,40.00,387.07,4371.73,0.45,974912.41
2026-06-23,568.45,573.00,561.25,562.40,567.39,SHORT,568.45,1715,567.39,567.39,true,40.00,389.59,1388.31,0.14,976300.72
2026-06-24,562.85,562.95,549.45,553.75,566.15,LONG,562.85,1734,566.15,553.75,false,40.00,387.24,-16206.64,-1.66,960094.08
2026-06-25,556.55,561.60,544.75,545.90,556.26,SKIP,,,,,,,,,,960094.08
2026-06-29,546.00,549.35,534.10,536.50,551.57,LONG,546.00,1758,551.57,536.50,false,40.00,380.61,-17121.61,-1.78,942972.48
2026-06-30,536.00,539.25,530.60,533.40,541.32,LONG,536.00,1759,541.32,533.40,false,40.00,376.21,-4989.61,-0.53,937982.86
2026-07-01,533.60,552.20,533.60,550.80,533.87,SKIP,,,,,,,,,,937982.86
2026-07-02,556.20,565.95,554.05,561.10,546.94,SHORT,556.20,1686,546.94,561.10,false,40.00,376.75,-8678.15,-0.93,929304.71
2026-07-03,564.00,565.85,556.60,562.50,561.49,SHORT,564.00,1647,561.49,561.49,true,40.00,370.74,3723.23,0.40,933027.94
2026-07-06,561.05,574.50,555.55,570.40,562.42,LONG,561.05,1663,562.42,562.42,true,40.00,373.67,1864.64,0.20,934892.58
2026-07-07,572.00,594.50,569.65,578.60,567.62,SHORT,572.00,1634,567.62,578.60,false,40.00,376.02,-11200.42,-1.20,923692.17
2026-07-08,573.80,585.65,558.10,562.70,584.03,LONG,573.80,1609,584.03,584.03,true,40.00,372.59,16047.48,1.74,939739.65
2026-07-09,566.55,587.55,566.00,583.70,572.99,LONG,566.55,1658,572.99,572.99,true,40.00,377.87,10259.65,1.09,949999.30
2026-07-10,586.65,593.50,578.30,583.15,580.78,SHORT,586.65,1619,580.78,580.78,true,40.00,378.01,9085.52,0.96,959084.81
2026-07-13,576.00,607.85,573.00,595.85,585.20,LONG,576.00,1665,585.20,585.20,true,40.00,386.68,14891.32,1.55,973976.13
2026-07-14,590.40,603.00,583.00,601.10,593.20,LONG,590.40,1649,593.20,593.20,true,40.00,390.35,4186.85,0.43,978162.98
2026-07-15,603.40,610.50,593.50,599.75,596.81,SHORT,603.40,1621,596.81,596.81,true,40.00,389.11,10253.28,1.05,988416.26
2026-07-16,601.00,631.00,600.20,620.95,601.42,SKIP,,,,,,,,,,988416.26
2026-07-17,622.25,624.80,604.00,617.65,618.03,SHORT,622.25,1588,618.03,618.03,true,40.00,393.91,6267.45,0.63,994683.71
2026-07-20,611.70,625.90,606.25,620.90,613.40,LONG,611.70,1626,613.40,613.40,true,40.00,398.40,2325.80,0.23,997009.51
2026-07-21,620.90,622.40,607.35,610.15,616.75,SHORT,620.90,1605,616.75,616.75,true,40.00,397.29,6223.46,0.62,1003232.97
2026-07-22,604.60,606.00,570.05,575.40,611.24,LONG,604.60,1659,611.24,575.40,false,40.00,391.52,-48874.32,-4.87,954358.65
2026-07-23,571.35,588.00,570.05,576.65,579.74,LONG,571.35,1670,579.74,579.74,true,40.00,384.46,13586.84,1.42,967945.49
2026-07-24,570.95,575.90,561.40,572.45,581.36,LONG,570.95,1695,581.36,572.45,false,40.00,387.61,2114.89,0.22,970060.37
2026-07-27,580.00,586.80,577.00,579.70,569.47,SHORT,580.00,1672,569.47,579.70,false,40.00,387.80,73.80,0.01,970134.17
2026-07-28,578.40,588.55,571.50,585.45,580.28,LONG,578.40,1677,580.28,580.28,true,40.00,388.62,2724.14,0.28,972858.31
2026-07-29,588.00,619.05,585.10,612.45,579.42,SHORT,588.00,1654,579.42,612.45,false,40.00,397.11,-40877.41,-4.20,931980.90
2026-07-30,614.20,622.65,606.30,613.00,605.52,SHORT,614.20,1517,605.52,613.00,false,40.00,372.33,1408.07,0.15,933388.97
2026-07-31,615.00,627.45,608.00,613.35,613.28,SHORT,615.00,1517,613.28,613.28,true,40.00,372.66,2196.58,0.24,935585.55
2026-08-03,616.00,629.00,612.20,618.00,619.45,LONG,616.00,1518,619.45,619.45,true,40.00,375.08,4822.02,0.52,940407.56
2026-08-04,619.00,629.45,607.00,612.00,620.74,LONG,619.00,1519,620.74,620.74,true,40.00,376.63,2226.43,0.24,942633.99
2026-08-05,617.55,632.50,602.60,603.00,619.40,LONG,617.55,1526,619.40,619.40,true,40.00,377.52,2405.58,0.26,945039.57
2026-08-06,607.70,616.20,597.00,609.75,615.88,LONG,607.70,1555,615.88,615.88,true,40.00,380.53,12299.37,1.30,957338.94
2026-08-07,614.30,643.95,602.45,630.65,609.30,SHORT,614.30,1558,609.30,609.30,true,40.00,381.27,7368.73,0.77,964707.67
2026-08-10,630.75,630.75,610.60,621.80,627.28,SHORT,630.75,1529,627.28,627.28,true,40.00,384.71,4880.92,0.51,969588.59
2026-08-11,622.00,627.00,613.10,616.00,621.93,SKIP,,,,,,,,,,969588.59
2026-08-12,616.00,620.80,604.25,614.65,618.69,LONG,616.00,1574,618.69,618.69,true,40.00,388.68,3805.38,0.39,973393.97
2026-08-13,610.30,615.30,603.00,615.00,611.12,LONG,610.30,1594,611.12,611.12,true,40.00,389.39,877.69,0.09,974271.66
2026-08-14,611.95,615.90,599.50,601.00,609.13,SHORT,611.95,1592,609.13,609.13,true,40.00,388.79,4060.65,0.42,978332.31
2026-08-17,600.10,614.00,594.25,614.00,607.60,LONG,600.10,1630,607.60,607.60,true,40.00,393.71,11791.29,1.21,990123.60
2026-08-18,609.00,614.30,594.50,597.00,603.92,SHORT,609.00,1625,603.92,603.92,true,40.00,394.20,7820.80,0.79,997944.40
2026-08-19,595.90,606.00,584.50,601.90,600.99,LONG,595.90,1674,600.99,600.99,true,40.00,400.72,8079.94,0.81,1006024.34
2026-08-20,606.40,613.70,602.05,602.05,596.65,SHORT,606.40,1659,596.65,602.05,false,40.00,400.96,6775.69,0.67,1012800.03
2026-08-21,603.00,610.00,600.10,600.55,607.56,LONG,603.00,1679,607.56,607.56,true,40.00,406.51,7209.73,0.71,1020009.76
2026-08-24,601.95,603.55,596.20,597.00,604.63,LONG,601.95,1694,604.63,597.00,false,40.00,406.20,-8831.50,-0.87,1011178.26
2026-08-25,597.00,601.60,592.05,594.35,599.53,LONG,597.00,1693,599.53,599.53,true,40.00,405.15,3838.14,0.38,1015016.40
2026-08-26,601.00,601.25,586.45,587.15,597.08,SHORT,601.00,1688,597.08,597.08,true,40.00,404.47,6172.49,0.61,1021188.89
2026-08-27,587.15,604.70,587.15,596.00,591.77,LONG,587.15,1739,591.77,591.77,true,40.00,410.03,7584.15,0.74,1028773.04
2026-08-28,596.00,598.70,584.15,585.85,598.67,LONG,596.00,1726,598.67,598.67,true,40.00,412.40,4156.02,0.40,1032929.06
2026-08-31,585.35,585.55,571.40,581.00,589.41,LONG,585.35,1764,589.41,581.00,false,40.00,411.49,-8124.89,-0.79,1024804.17
