date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,172.99,175.95,170.36,170.90,173.20,LONG,172.99,5780,173.20,173.20,true,40.00,400.20,773.60,0.08,1000773.60
2026-06-02,170.11,170.44,164.50,166.92,172.63,LONG,170.11,5883,172.63,166.92,false,40.00,396.55,-19203.32,-1.92,981570.28
2026-06-03,168.00,169.30,164.71,167.01,166.71,SHORT,168.00,5842,166.71,166.71,true,40.00,391.08,7105.10,0.72,988675.39
2026-06-04,165.24,173.60,165.24,169.58,166.92,LONG,165.24,5983,166.92,166.92,true,40.00,397.46,9613.98,0.97,998289.37
2026-06-05,169.90,170.90,165.99,166.77,170.47,LONG,169.90,5875,170.47,170.47,true,40.00,399.93,2908.82,0.29,1001198.18
2026-06-08,165.00,167.98,164.01,165.34,167.56,LONG,165.00,6067,167.56,167.56,true,40.00,403.53,15087.99,1.51,1016286.17
2026-06-09,166.30,173.25,165.60,168.87,165.88,SHORT,166.30,6111,165.88,165.88,true,40.00,405.99,2120.63,0.21,1018406.80
2026-06-10,169.00,170.36,162.15,164.07,170.11,LONG,169.00,6026,170.11,170.11,true,40.00,408.70,6240.16,0.61,1024646.97
2026-06-11,164.21,165.17,160.70,161.31,166.94,LONG,164.21,6239,166.94,161.31,false,40.00,406.18,-18539.28,-1.81,1006107.68
2026-06-12,162.35,166.39,162.20,163.85,162.54,LONG,162.35,6197,162.54,162.54,true,40.00,402.67,734.76,0.07,1006842.45
2026-06-15,166.45,170.85,165.39,167.20,164.04,SHORT,166.45,6048,164.04,167.20,false,40.00,403.58,-4979.58,-0.49,1001862.86
2026-06-16,168.35,168.45,161.51,163.67,168.01,SHORT,168.35,5951,168.01,168.01,true,40.00,400.34,1583.00,0.16,1003445.87
2026-06-17,164.05,165.34,161.72,163.35,163.65,SHORT,164.05,6116,163.65,163.65,true,40.00,400.84,2005.56,0.20,1005451.42
2026-06-18,163.60,165.28,159.65,160.20,163.64,SKIP,,,,,,,,,,1005451.42
