date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,506.00,527.90,503.05,516.65,507.10,LONG,506.00,1976,507.10,507.10,true,40.00,400.38,1733.22,0.17,1001733.22
2026-06-02,508.00,522.00,506.35,517.90,518.75,LONG,508.00,1971,518.75,518.75,true,40.00,404.74,20743.51,2.07,1022476.73
2026-06-03,514.90,517.25,507.50,515.25,514.44,SKIP,,,,,,,,,,1022476.73
2026-06-04,510.60,516.40,504.10,511.90,513.22,LONG,510.60,2002,513.22,513.22,true,40.00,409.94,4795.30,0.47,1027272.03
2026-06-05,516.00,529.00,512.70,516.55,508.99,SHORT,516.00,1990,508.99,516.55,false,40.00,410.95,-1545.45,-0.15,1025726.58
2026-06-08,509.25,515.55,505.50,507.50,520.35,LONG,509.25,2014,520.35,507.50,false,40.00,409.55,-3974.05,-0.39,1021752.53
2026-06-09,505.50,519.00,505.50,513.95,509.24,LONG,505.50,2021,509.24,509.24,true,40.00,410.16,7108.38,0.70,1028860.91
2026-06-10,514.00,518.90,502.30,506.05,512.72,SHORT,514.00,2001,512.72,512.72,true,40.00,410.89,2110.39,0.21,1030971.30
2026-06-11,509.10,509.10,499.45,501.40,510.09,LONG,509.10,2025,510.09,501.40,false,40.00,409.25,-16041.75,-1.56,1014929.54
2026-06-12,510.40,517.00,505.15,514.70,502.52,SHORT,510.40,1988,502.52,514.70,false,40.00,407.58,-8995.98,-0.89,1005933.57
2026-06-15,520.00,525.75,515.20,517.75,511.38,SHORT,520.00,1934,511.38,517.75,false,40.00,401.40,3910.10,0.39,1009843.66
2026-06-16,524.20,531.00,519.00,519.85,520.59,SHORT,524.20,1926,520.59,520.59,true,40.00,402.45,6510.41,0.64,1016354.07
2026-06-17,518.00,526.20,517.75,519.35,524.65,LONG,518.00,1962,524.65,524.65,true,40.00,409.14,12598.16,1.24,1028952.23
2026-06-18,520.55,527.10,518.00,521.90,522.20,LONG,520.55,1976,522.20,522.20,true,40.00,412.09,2808.31,0.27,1031760.54
