date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,56.81,56.90,53.50,53.93,57.05,LONG,56.81,17602,57.05,53.93,false,40.00,389.85,-51123.61,-5.11,948876.39
2026-06-02,52.85,54.77,52.56,54.52,54.82,LONG,52.85,17954,54.82,54.52,false,40.00,385.54,29557.64,3.12,978434.03
2026-06-03,54.52,55.04,53.25,54.40,53.47,SHORT,54.52,17946,53.47,53.47,true,40.00,387.60,18415.70,1.88,996849.73
2026-06-04,54.25,56.00,54.03,55.62,54.09,SHORT,54.25,18375,54.09,54.09,true,40.00,398.15,2501.85,0.25,999351.58
2026-06-05,55.80,56.12,55.10,55.31,55.44,SHORT,55.80,17909,55.44,55.44,true,40.00,398.44,6008.80,0.60,1005360.38
2026-06-08,54.20,55.89,53.82,54.43,55.49,LONG,54.20,18549,55.49,55.49,true,40.00,406.93,23481.28,2.34,1028841.66
2026-06-09,54.60,55.39,54.47,55.23,55.00,LONG,54.60,18843,55.00,55.00,true,40.00,413.04,7084.16,0.69,1035925.82
2026-06-10,55.22,55.45,53.81,54.08,54.99,SHORT,55.22,18759,54.99,54.99,true,40.00,413.49,3861.08,0.37,1039786.91
2026-06-11,53.79,54.12,53.07,53.29,54.58,LONG,53.79,19330,54.58,53.29,false,40.00,413.97,-10118.97,-0.97,1029667.94
2026-06-12,54.00,55.20,53.77,55.08,53.56,SHORT,54.00,19067,53.56,55.08,false,40.00,415.97,-21048.33,-2.04,1008619.61
2026-06-15,56.50,56.78,55.21,55.57,54.69,SHORT,56.50,17851,54.69,55.57,false,40.00,400.11,16161.32,1.60,1024780.93
2026-06-16,56.12,59.24,53.90,57.92,56.04,SHORT,56.12,18260,56.04,56.04,true,40.00,409.61,1011.19,0.10,1025792.12
2026-06-17,58.38,59.50,57.30,59.27,57.95,SHORT,58.38,17570,57.95,57.95,true,40.00,408.78,7106.32,0.69,1032898.44
2026-06-18,59.22,59.44,58.30,58.44,58.53,SHORT,59.22,17441,58.53,58.53,true,40.00,410.74,11583.55,1.12,1044481.99
2026-06-19,58.44,60.45,58.21,59.20,58.72,LONG,58.44,17872,58.72,58.72,true,40.00,418.78,4545.38,0.44,1049027.37
2026-06-22,59.47,59.74,59.05,59.31,59.42,SKIP,,,,,,,,,,1049027.37
2026-06-23,59.31,59.55,58.10,58.29,59.35,SKIP,,,,,,,,,,1049027.37
2026-06-24,58.25,58.79,57.61,57.91,58.67,LONG,58.25,18009,58.67,58.67,true,40.00,421.12,7102.66,0.68,1056130.03
2026-06-25,58.24,58.46,56.87,57.14,58.21,SKIP,,,,,,,,,,1056130.03
2026-06-29,58.00,58.00,56.93,57.21,57.59,SHORT,58.00,18209,57.59,57.59,true,40.00,420.96,7004.73,0.66,1063134.77
2026-06-30,57.46,59.10,57.31,58.90,57.27,SHORT,57.46,18502,57.27,58.90,false,40.00,430.58,-27113.46,-2.55,1036021.31
2026-07-01,59.06,59.31,58.13,58.35,58.31,SHORT,59.06,17541,58.31,58.31,true,40.00,411.76,12703.99,1.23,1048725.30
2026-07-02,58.35,58.68,57.36,57.67,58.75,LONG,58.35,17973,58.75,57.67,false,40.00,417.05,-12678.69,-1.21,1036046.61
2026-07-03,57.93,58.12,56.24,56.87,57.95,SKIP,,,,,,,,,,1036046.61
2026-07-06,56.87,57.10,55.01,55.47,56.90,SKIP,,,,,,,,,,1036046.61
2026-07-07,55.47,55.56,54.15,54.38,55.55,LONG,55.47,18677,55.55,55.55,true,40.00,414.70,1039.46,0.10,1037086.07
2026-07-08,54.30,54.78,52.71,53.13,54.61,LONG,54.30,19099,54.61,54.61,true,40.00,416.01,5464.68,0.53,1042550.75
2026-07-09,53.13,54.29,53.07,53.70,53.63,LONG,53.13,19622,53.63,53.63,true,40.00,418.97,9352.03,0.90,1051902.78
2026-07-10,54.02,54.45,53.75,53.92,53.76,SHORT,54.02,19472,53.76,53.76,true,40.00,419.74,4602.98,0.44,1056505.76
2026-07-13,53.60,53.63,52.92,53.17,54.07,LONG,53.60,19710,54.07,53.17,false,40.00,420.89,-8936.19,-0.85,1047569.57
2026-07-14,52.95,52.99,52.33,52.47,53.21,LONG,52.95,19784,53.21,52.47,false,40.00,417.13,-9953.45,-0.95,1037616.13
2026-07-15,52.47,53.49,52.31,52.42,52.57,LONG,52.47,19775,52.57,52.57,true,40.00,415.43,1522.07,0.15,1039138.19
2026-07-16,52.60,52.69,51.88,51.97,52.75,LONG,52.60,19755,52.75,51.97,false,40.00,413.16,-12898.81,-1.24,1026239.39
2026-07-17,51.96,52.29,51.27,51.99,52.18,LONG,51.96,19750,52.18,52.18,true,40.00,411.35,3893.65,0.38,1030133.03
2026-07-20,52.07,53.29,51.61,53.09,51.84,SHORT,52.07,19783,51.84,51.84,true,40.00,411.13,4098.96,0.40,1034231.99
