date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,706.05,723.55,706.05,714.80,710.99,LONG,706.05,1416,710.99,710.99,true,40.00,401.31,6553.73,0.66,1006553.73
2026-06-02,711.05,742.05,708.05,737.95,715.97,LONG,711.05,1415,715.97,715.97,true,40.00,403.85,6517.95,0.65,1013071.69
2026-06-03,741.00,741.00,705.80,731.05,731.73,SHORT,741.00,1367,731.73,731.73,true,40.00,402.64,12229.45,1.21,1025301.13
2026-06-04,727.70,751.65,720.00,748.35,721.15,SHORT,727.70,1408,721.15,721.15,true,40.00,408.00,8774.40,0.86,1034075.54
2026-06-05,750.65,776.00,750.00,771.20,743.57,SHORT,750.65,1377,743.57,771.20,false,40.00,419.12,-28756.47,-2.78,1005319.07
2026-06-08,765.00,781.50,761.45,779.60,766.40,LONG,765.00,1314,766.40,766.40,true,40.00,402.45,1397.15,0.14,1006716.22
2026-06-09,780.00,784.00,741.00,745.10,776.24,SHORT,780.00,1290,776.24,776.24,true,40.00,401.51,4408.89,0.44,1011125.11
2026-06-10,745.20,762.00,735.70,758.20,751.07,LONG,745.20,1356,751.07,751.07,true,40.00,405.79,7513.93,0.74,1018639.04
2026-06-11,753.90,754.30,725.85,731.45,751.67,SHORT,753.90,1351,751.67,751.67,true,40.00,406.81,2565.92,0.25,1021204.96
2026-06-12,740.00,763.80,737.00,761.00,739.50,SKIP,,,,,,,,,,1021204.96
2026-06-15,766.00,774.00,757.10,771.90,755.00,SHORT,766.00,1333,755.00,771.90,false,40.00,410.00,-8314.70,-0.81,1012890.26
2026-06-16,775.00,777.20,762.00,769.95,768.27,SHORT,775.00,1306,768.27,768.27,true,40.00,403.10,8346.28,0.82,1021236.54
2026-06-17,771.00,779.10,762.50,773.55,768.62,SHORT,771.00,1324,768.62,768.62,true,40.00,407.69,2703.43,0.26,1023939.97
