date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,529.00,532.30,522.00,525.50,532.96,LONG,529.00,1890,532.96,525.50,false,40.00,398.60,-7053.60,-0.71,992946.40
2026-06-02,518.00,538.00,515.15,537.00,527.59,LONG,518.00,1916,527.59,527.59,true,40.00,400.67,17933.77,1.81,1010880.17
2026-06-03,538.95,539.65,528.50,533.40,532.09,SHORT,538.95,1875,532.09,532.09,true,40.00,401.64,12420.86,1.23,1023301.03
2026-06-04,533.00,535.80,527.15,528.40,534.17,LONG,533.00,1919,534.17,534.17,true,40.00,409.58,1795.65,0.18,1025096.68
2026-06-05,527.50,527.90,518.30,523.30,530.26,LONG,527.50,1943,530.26,523.30,false,40.00,408.34,-8608.94,-0.84,1016487.74
2026-06-08,518.30,531.00,511.50,522.15,523.51,LONG,518.30,1961,523.51,523.51,true,40.00,408.60,9768.21,0.96,1026255.95
2026-06-09,524.00,531.25,523.85,529.75,525.19,LONG,524.00,1958,525.19,525.19,true,40.00,410.86,1879.16,0.18,1028135.11
2026-06-10,530.00,538.60,524.35,526.25,527.76,SHORT,530.00,1939,527.76,527.76,true,40.00,410.20,3893.16,0.38,1032028.27
2026-06-11,521.10,532.30,518.50,519.90,533.02,LONG,521.10,1980,533.02,519.90,false,40.00,412.24,-2828.24,-0.27,1029200.03
2026-06-12,526.00,530.00,517.50,522.20,524.07,SHORT,526.00,1956,524.07,524.07,true,40.00,410.79,3324.29,0.32,1032524.32
2026-06-15,529.00,543.35,527.20,541.00,521.91,SHORT,529.00,1951,521.91,541.00,false,40.00,417.51,-23869.51,-2.31,1008654.81
2026-06-16,543.35,543.35,536.10,541.05,538.39,SHORT,543.35,1856,538.39,538.39,true,40.00,401.54,8764.22,0.87,1017419.03
