date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,827.40,841.50,823.15,830.80,827.82,SKIP,,,,,,,,,,1000000.00
2026-06-02,827.95,835.30,817.60,829.50,831.11,LONG,827.95,1207,831.11,831.11,true,40.00,400.50,3373.62,0.34,1003373.62
2026-06-03,829.00,829.45,808.45,818.50,825.76,SHORT,829.00,1210,825.76,825.76,true,40.00,400.45,3479.95,0.35,1006853.57
2026-06-04,815.00,817.70,804.05,808.65,817.27,LONG,815.00,1235,817.27,817.27,true,40.00,403.17,2360.28,0.23,1009213.85
2026-06-05,809.95,815.85,798.00,800.15,809.91,SKIP,,,,,,,,,,1009213.85
2026-06-08,795.00,795.50,777.20,779.55,805.63,LONG,795.00,1269,805.63,779.55,false,40.00,399.62,-20045.67,-1.99,989168.18
2026-06-09,780.70,786.45,771.05,773.75,782.37,LONG,780.70,1267,782.37,782.37,true,40.00,396.08,1679.81,0.17,990847.99
2026-06-10,779.30,793.85,775.25,781.05,775.65,SHORT,779.30,1271,775.65,775.65,true,40.00,395.27,4203.88,0.42,995051.87
2026-06-11,781.05,781.05,766.05,769.35,782.58,LONG,781.05,1273,782.58,769.35,false,40.00,394.73,-15328.83,-1.54,979723.04
2026-06-12,777.00,778.80,764.15,769.95,770.73,SHORT,777.00,1260,770.73,770.73,true,40.00,390.03,7470.17,0.76,987193.21
2026-06-15,779.90,802.55,779.90,794.00,769.80,SHORT,779.90,1265,769.80,794.00,false,40.00,398.20,-18274.70,-1.85,968918.51
2026-06-16,797.45,807.90,780.65,785.60,792.82,SHORT,797.45,1215,792.82,792.82,true,40.00,386.44,5199.01,0.54,974117.53
2026-06-17,787.10,798.15,781.80,787.25,790.46,LONG,787.10,1237,790.46,790.46,true,40.00,390.29,3726.03,0.38,977843.56
2026-06-18,789.90,815.00,783.00,807.50,788.58,SHORT,789.90,1237,788.58,788.58,true,40.00,390.52,1202.32,0.12,979045.88
2026-06-19,807.50,807.50,790.20,794.95,799.23,SHORT,807.50,1212,799.23,799.23,true,40.00,389.47,9593.77,0.98,988639.65
2026-06-22,797.45,820.00,797.45,817.35,796.82,SKIP,,,,,,,,,,988639.65
2026-06-23,815.00,815.00,800.00,805.45,812.69,SHORT,815.00,1213,812.69,812.69,true,40.00,394.88,2367.15,0.24,991006.80
2026-06-24,803.00,815.00,797.05,803.80,808.14,LONG,803.00,1234,808.14,808.14,true,40.00,397.63,5905.13,0.60,996911.93
2026-06-25,795.10,818.95,795.10,802.80,802.61,LONG,795.10,1253,802.61,802.61,true,40.00,400.39,8969.64,0.90,1005881.58
2026-06-29,805.20,808.60,795.00,800.30,805.17,SKIP,,,,,,,,,,1005881.58
2026-06-30,802.05,832.70,796.00,812.55,801.52,SKIP,,,,,,,,,,1005881.58
2026-07-01,814.80,825.00,804.80,807.25,808.08,SHORT,814.80,1234,808.08,808.08,true,40.00,400.53,7851.95,0.78,1013733.53
2026-07-02,808.85,814.80,807.00,811.20,811.61,LONG,808.85,1253,811.61,811.61,true,40.00,406.09,3012.19,0.30,1016745.72
2026-07-03,812.50,815.00,805.10,808.15,811.07,SHORT,812.50,1251,811.07,811.07,true,40.00,406.22,1342.71,0.13,1018088.44
2026-07-06,806.25,810.50,795.50,800.75,808.93,LONG,806.25,1262,808.93,808.93,true,40.00,407.67,2934.49,0.29,1021022.93
2026-07-07,800.10,813.80,800.00,802.20,801.28,LONG,800.10,1276,801.28,801.28,true,40.00,408.67,1057.01,0.10,1022079.93
2026-07-08,800.00,802.10,775.00,780.20,803.10,LONG,800.00,1277,803.10,780.20,false,40.00,403.58,-25728.18,-2.52,996351.75
2026-07-09,783.00,794.35,781.65,792.10,787.69,LONG,783.00,1272,787.69,787.69,true,40.00,399.58,5526.10,0.55,1001877.85
2026-07-10,795.05,803.00,794.05,795.15,789.83,SHORT,795.05,1260,789.83,795.15,false,40.00,400.73,-566.73,-0.06,1001311.12
2026-07-13,794.95,797.05,785.00,790.35,797.84,LONG,794.95,1259,797.84,790.35,false,40.00,399.18,-6230.58,-0.62,995080.54
2026-07-14,791.00,792.00,780.00,782.75,790.35,SKIP,,,,,,,,,,995080.54
2026-07-15,783.30,784.95,775.50,777.05,783.81,SKIP,,,,,,,,,,995080.54
2026-07-16,780.30,805.00,774.20,777.10,779.56,SKIP,,,,,,,,,,995080.54
2026-07-17,782.35,786.00,769.20,771.80,787.04,LONG,782.35,1271,787.04,771.80,false,40.00,395.06,-13844.11,-1.39,981236.42
2026-07-20,771.80,782.90,768.80,773.55,773.56,LONG,771.80,1271,773.56,773.56,true,40.00,392.83,1804.13,0.18,983040.55
2026-07-21,774.00,775.10,766.10,769.70,774.34,SKIP,,,,,,,,,,983040.55
2026-07-22,769.80,769.95,753.15,757.40,769.60,SKIP,,,,,,,,,,983040.55
