date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2026-06-01,507.00,511.40,490.55,494.40,502.51,SHORT,507.00,1972,502.51,502.51,true,40.00,398.15,8416.13,0.84,1008416.13
2026-06-02,496.00,511.65,492.50,497.80,497.57,LONG,496.00,2033,497.57,497.57,true,40.00,403.99,2747.82,0.27,1011163.95
2026-06-03,498.95,505.80,489.40,502.65,502.25,LONG,498.95,2026,502.25,502.25,true,40.00,405.69,6240.11,0.62,1017404.07
2026-06-04,502.65,509.95,499.75,501.45,498.29,SHORT,502.65,2024,498.29,501.45,false,40.00,406.46,1982.34,0.19,1019386.41
2026-06-05,502.45,511.00,492.60,504.60,503.36,LONG,502.45,2028,503.36,503.36,true,40.00,407.96,1397.52,0.14,1020783.93
2026-06-08,503.00,529.90,495.80,523.50,501.02,SHORT,503.00,2029,501.02,501.02,true,40.00,407.43,3569.99,0.35,1024353.92
2026-06-09,531.00,535.45,506.30,509.25,517.77,SHORT,531.00,1929,517.77,517.77,true,40.00,404.62,25076.05,2.45,1049429.97
2026-06-10,509.65,514.80,495.10,496.75,515.54,LONG,509.65,2059,515.54,496.75,false,40.00,414.44,-27015.54,-2.57,1022414.44
2026-06-11,490.10,506.00,486.05,500.35,505.78,LONG,490.10,2086,505.78,505.78,true,40.00,415.48,32253.00,3.15,1054667.44
2026-06-12,505.00,508.15,500.25,506.00,494.33,SHORT,505.00,2088,494.33,506.00,false,40.00,422.19,-2550.19,-0.24,1052117.24
2026-06-15,510.00,516.20,496.50,499.35,504.81,SHORT,510.00,2062,504.81,504.81,true,40.00,418.51,10243.27,0.97,1062360.52
2026-06-16,499.80,512.50,496.55,510.50,505.36,LONG,499.80,2125,505.36,505.36,true,40.00,427.19,11347.81,1.07,1073708.32
2026-06-17,510.15,512.70,502.50,506.20,505.89,SHORT,510.15,2104,505.89,505.89,true,40.00,427.55,8495.49,0.79,1082203.81
2026-06-18,506.20,514.15,503.15,504.65,506.74,LONG,506.20,2137,506.74,506.74,true,40.00,432.93,681.05,0.06,1082884.86
2026-06-19,508.30,515.00,503.30,512.35,508.14,SKIP,,,,,,,,,,1082884.86
2026-06-22,515.00,541.00,507.10,536.55,509.73,SHORT,515.00,2102,509.73,509.73,true,40.00,430.80,10606.74,0.98,1093491.61
2026-06-23,540.10,545.00,526.05,530.20,529.08,SHORT,540.10,2024,529.08,529.08,true,40.00,432.80,21831.68,2.00,1115323.28
2026-06-24,531.15,539.95,518.75,525.55,535.19,LONG,531.15,2099,535.19,535.19,true,40.00,447.65,7992.31,0.72,1123315.59
2026-06-25,532.90,533.00,502.85,518.10,525.28,SHORT,532.90,2107,525.28,525.28,true,40.00,445.92,15569.42,1.39,1138885.02
2026-06-29,522.00,577.50,518.15,569.45,514.24,SHORT,522.00,2181,514.24,569.45,false,40.00,476.09,-104004.54,-9.14,1034880.48
2026-06-30,567.90,580.00,558.90,575.40,560.09,SHORT,567.90,1822,560.09,560.09,true,40.00,411.04,13778.78,1.33,1048659.26
2026-07-01,570.00,573.90,555.15,568.50,572.12,LONG,570.00,1839,572.12,572.12,true,40.00,420.07,3438.61,0.33,1052097.86
2026-07-02,568.50,598.50,560.85,594.45,564.83,SHORT,568.50,1850,564.83,564.83,true,40.00,419.33,6330.17,0.60,1058428.03
2026-07-03,598.40,599.90,586.10,598.30,584.79,SHORT,598.40,1768,584.79,598.30,false,40.00,423.15,-286.35,-0.03,1058141.68
2026-07-06,599.90,606.95,576.30,582.75,593.54,SHORT,599.90,1763,593.54,593.54,true,40.00,420.81,10751.87,1.02,1068893.55
2026-07-07,583.45,595.00,573.65,575.85,593.89,LONG,583.45,1832,593.89,593.89,true,40.00,431.38,18654.70,1.75,1087548.25
2026-07-08,575.85,587.00,553.00,559.90,585.14,LONG,575.85,1888,585.14,585.14,true,40.00,438.39,17061.13,1.57,1104609.39
2026-07-09,560.00,574.70,559.00,571.50,566.77,LONG,560.00,1972,566.77,566.77,true,40.00,444.40,12866.04,1.17,1117475.43
2026-07-10,576.40,600.00,573.40,592.45,567.76,SHORT,576.40,1938,567.76,592.45,false,40.00,453.05,-31597.95,-2.83,1085877.48
2026-07-13,590.00,600.95,582.80,592.65,589.53,SKIP,,,,,,,,,,1085877.48
2026-07-14,592.00,592.00,574.75,575.90,594.00,LONG,592.00,1834,594.00,575.90,false,40.00,428.39,-29995.79,-2.76,1055881.70
2026-07-15,578.00,587.00,573.25,576.05,581.16,LONG,578.00,1826,581.16,581.16,true,40.00,423.33,5306.83,0.50,1061188.53
2026-07-16,576.65,608.00,575.05,601.90,580.90,LONG,576.65,1840,580.90,580.90,true,40.00,425.98,7354.02,0.69,1068542.55
2026-07-17,600.70,605.00,583.85,586.45,595.44,SHORT,600.70,1778,595.44,595.44,true,40.00,425.35,8886.93,0.83,1077429.48
2026-07-20,595.00,611.85,589.45,602.50,592.39,SHORT,595.00,1810,592.39,592.39,true,40.00,429.84,4254.26,0.40,1081683.75
