date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,1683,1688,1675.5,1680,564,1677.65,1677.95,1677.65,1677.65,14,1678.25,1678.3,1676,1678.25,265,1688.0,1662.2,1688.0,1662.2
2025-01-02,1678,1685,1675.7,1675.7,528,1696.5,1696.5,1694.05,1695.95,3775,1695.95,1695.95,1694,1694,1423,1697.7,1675.1,1697.7,1675.1
2025-01-03,1698,1707.5,1696,1703,6785,1702.15,1702.15,1700.05,1700.95,286,1701.8,1701.8,1700,1701.25,688,1719.6,1695.45,1719.6,1695.45
2025-01-06,1701.35,1714.95,1701.3,1711.65,2198,1694.65,1695.25,1693,1693,251,1697.1,1697.1,1685,1685.75,942,1717.55,1670.2,1717.55,1670.2
2025-01-07,1698,1704,1696.05,1704,1409,1700.8,1700.8,1698.15,1699.5,337,1700,1705,1700,1704,508,1709.7,1682.1,1709.7,1682.1
2025-01-08,1699.45,1704.1,1689.65,1703.35,994,1679.15,1680,1679.05,1679.05,38,1681.6,1685.8,1680.9,1682.8,506,1704.1,1677.3,1704.1,1677.3
2025-01-09,1680.75,1694,1680.75,1686.2,1333,1680,1680,1678.95,1678.95,408,1676.15,1678.55,1675.95,1678.55,859,1694.0,1674.0,1694.0,1674.0
2025-01-10,1671.3,1683.85,1671.3,1681.3,614,1666.75,1667.65,1666.75,1666.85,104,1667,1667,1666.7,1667,1617,1685.0,1653.0,1685.0,1653.0
2025-01-13,1656,1656,1648.1,1651.4,5492,1634.4,1634.4,1632.2,1632.2,462,1638,1638.5,1632.2,1638.5,639,1661.95,1625.0,1661.95,1625.0
2025-01-14,1632.3,1643.9,1630.25,1643.85,361,1633,1633.65,1632.5,1632.85,616,1644.65,1647.5,1640.65,1645,549,1658.0,1630.2,1658.0,1630.2
2025-01-15,1636,1639.35,1636,1638.65,561,1638.05,1638.05,1638,1638,431,1638.05,1638.05,1637,1638,559,1642.55,1632.6,1642.55,1632.6
2025-01-16,1640.95,1646.95,1640.95,1642.95,93,1639,1639,1638.55,1638.55,332,1639,1639,1637.05,1637.05,256,1659.95,1633.1,1659.95,1633.1
2025-01-17,1639.95,1643.95,1631.55,1631.9,1442,1637.55,1637.55,1637.05,1637.55,63,1636.1,1638.2,1636.1,1637.95,628,1645.05,1626.45,1645.05,1626.45
2025-01-20,1638.2,1652,1638.1,1652,1928,1666.3,1666.65,1665.85,1666,54,1664.85,1664.85,1663,1664.5,297,1670.7,1638.1,1670.7,1638.1
2025-01-21,1685.8,1689.7,1675.2,1686.55,19137,1700.15,1704.7,1700,1701.2,3273,1703.9,1703.95,1700,1702.85,1853,1711.95,1675.2,1711.95,1675.2
2025-01-22,1700.7,1700.7,1685.6,1685.6,1822,1685,1686,1685,1685.95,604,1686.95,1686.95,1685,1686.35,583,1708.95,1680.0,1708.95,1680.0
2025-01-23,1680,1694.8,1670.6,1694.65,2436,1723,1724.2,1723,1723,576,1721.5,1725,1720.1,1725,1582,1736.0,1670.6,1736.0,1670.6
2025-01-24,1738,1738,1726.7,1732,2887,1725,1726,1724,1726,483,1724.95,1726,1724.05,1725,447,1738.0,1696.7,1738.0,1696.7
2025-01-27,1690.5,1716.95,1690.5,1712.8,2895,1666.55,1666.6,1663.3,1664.55,1036,1662,1662.95,1658.05,1661.1,565,1716.95,1653.6,1716.95,1653.6
2025-01-28,1679.35,1679.35,1665.1,1665.65,902,1670.4,1671.9,1670.1,1671.05,137,1673.3,1676,1673.05,1674,214,1689.8,1644.0,1689.8,1644.0
2025-01-29,1680,1680.2,1671.05,1673.15,170,1690.45,1690.5,1690,1690.45,179,1687.1,1690.8,1686,1690.8,564,1699.7,1670.1,1699.7,1670.1
2025-01-30,1691.9,1694.8,1689.35,1692.55,250,1703.75,1704.35,1699.6,1701.2,1218,1701.55,1704.7,1700.05,1704.65,2222,1709.9,1688.0,1709.9,1688.0
2025-01-31,1723.8,1723.8,1707.2,1712.95,2436,1715.75,1715.8,1713.3,1715.8,1166,1709.7,1713.4,1709.7,1713,1961,1723.8,1675.2,1723.8,1675.2
2025-02-01,1712.8,1724,1712.8,1719.05,599,1686.15,1686.45,1684,1686.45,250,1683,1686.1,1681.9,1686.1,786,1729.7,1671.2,1729.7,1671.2
2025-02-03,1688,1692.7,1675,1692.7,1451,1719.5,1720,1715.5,1716.05,1929,1719.65,1719.95,1717,1717.3,250,1729.0,1675.0,1729.0,1675.0
2025-02-04,1727,1729.95,1725.25,1725.25,14795,1707.85,1708.95,1706.5,1707.1,399,1713,1713,1709.35,1709.35,397,1729.95,1704.05,1729.95,1702.0
2025-02-05,1719,1719,1712.05,1712.05,302,1717.8,1719,1717.8,1719,557,1718.85,1719,1715,1715,262,1719.8,1695.0,1719.8,1695.0
2025-02-06,1722.8,1728.9,1717.05,1718.75,3447,1725,1725.8,1724.25,1725.8,230,1726.6,1726.7,1724.5,1724.5,625,1729.3,1699.0,1729.3,1699.0
2025-02-07,1729.95,1732.3,1725.45,1732,11281,1716.8,1716.8,1715.25,1716,435,1717.25,1719.75,1717.25,1719.75,117,1737.3,1703.0,1737.3,1703.0
2025-02-10,1683.15,1711.95,1683.15,1705,5369,1707.25,1708.95,1705.35,1708.05,755,1708.6,1709.45,1707,1708,399,1734.3,1683.15,1734.3,1683.15
