date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,1223,1225.85,1220,1223.8,14672,1216.45,1217.5,1216.25,1217.4,11080,1231.8,1206.35
2025-01-02,1223.8,1224.45,1214,1214.15,24601,1226.45,1227.05,1226.4,1226.65,32503,1228.4,1208.1
2025-01-03,1234.5,1237.6,1222,1227.5,81907,1199,1199,1198.15,1198.45,13276,1237.6,1197.9
2025-01-06,1199.55,1199.55,1194,1196.7,21562,1158.6,1160.9,1158.35,1160.1,16006,1200.9,1158.05
2025-01-07,1163.05,1169.9,1162.05,1169.4,27632,1173.35,1173.65,1173.3,1173.5,6177,1182.15,1162.05
2025-01-08,1183.55,1183.55,1170,1172.35,24277,1153.5,1153.7,1152.2,1152.9,19417,1183.55,1141.1
2025-01-09,1156.7,1156.7,1141.95,1142.05,31395,1131.65,1131.95,1130.7,1131.1,41248,1156.7,1130.2
2025-01-10,1134.9,1137.4,1126.1,1128.9,19608,1112.2,1112.95,1111.9,1112.6,4683,1137.4,1106.3
2025-01-13,1100.9,1106.45,1092.8,1095.8,37752,1066.7,1068,1066,1068,16351,1106.45,1058.95
2025-01-14,1078.85,1085.6,1075.05,1084,38090,1116.75,1117,1115.85,1116.4,19229,1131.4,1075.05
2025-01-15,1125,1125.5,1121.1,1124.35,19752,1128.4,1128.7,1127.4,1128.45,14597,1141.95,1118.5
2025-01-16,1179.95,1190,1163.7,1177.6,236327,1151.9,1152,1151,1151.3,19759,1190.0,1145.4
2025-01-17,1163,1163,1147.95,1150,47240,1161.5,1161.8,1161.45,1161.55,11109,1173.65,1145.5
2025-01-20,1168.5,1169.45,1152.55,1152.55,47039,1149.4,1150.15,1149.2,1149.2,14745,1169.45,1146.55
2025-01-21,1150,1154.25,1147,1148.9,19796,1106.45,1106.7,1105.1,1105.5,13170,1154.25,1104.0
2025-01-22,1115.5,1118.05,1109,1109.6,40302,1101.95,1102.85,1100.55,1101.1,15589,1118.05,1080.45
2025-01-23,1102.25,1103.9,1093.35,1096.3,18411,1103.9,1104,1102.55,1103.25,16810,1114.25,1089.65
2025-01-24,1104.15,1111.2,1104,1111.2,13816,1094.75,1094.75,1094.1,1094.65,5185,1115.0,1088.25
2025-01-27,1085.1,1087.75,1079,1080.7,27302,1081.8,1082.2,1081,1082.2,4729,1093.6,1067.55
2025-01-28,1087,1088.6,1079.2,1085.3,23947,1080.05,1081.5,1080.05,1081.5,8290,1096.65,1061.25
2025-01-29,1085,1089.45,1079.15,1079.15,29092,1099.55,1102.8,1099.15,1102.8,22905,1102.8,1074.5
2025-01-30,1103.9,1107.85,1097.1,1097.9,54921,1077,1077.2,1075.25,1075.9,21181,1118.5,1010.75
2025-01-31,1085,1086.6,1074,1075.95,93939,1098.6,1098.65,1097.65,1097.65,30866,1109.25,1074.0
2025-02-01,1105.9,1108.45,1099.1,1103.75,38294,1083.7,1084.25,1082.75,1083.2,7039,1117.5,1063.0
