date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,1560,1577.05,1560,1572.8,9661,1582.95,1584.7,1581.15,1584.7,6020,1596.9,1560.0
2025-01-02,1585,1594.3,1582.05,1586.85,8237,1585.6,1586.95,1584.4,1586,3073,1598.35,1573.55
2025-01-03,1601.55,1612.7,1598,1598.1,15697,1618,1618,1614.25,1614.3,1724,1624.95,1590.0
2025-01-06,1624,1628.75,1612.55,1625.25,9961,1591.5,1591.5,1590.2,1590.6,2054,1635.3,1585.25
2025-01-07,1590,1590,1577.55,1577.85,1997,1590.05,1592,1590,1591.6,4250,1613.4,1577.55
2025-01-08,1604,1604,1588,1588.35,1626,1537.35,1538.05,1536.35,1536.95,1055,1604.0,1522.0
2025-01-09,1530,1539,1524.1,1536.55,6516,1549.8,1551.7,1549,1549.95,4051,1554.35,1524.1
2025-01-10,1548,1549.95,1541.55,1545.6,1001,1517.3,1517.7,1516.25,1517.7,408,1549.95,1510.0
2025-01-13,1502,1502,1485.25,1489.15,5994,1424.75,1424.75,1422.75,1423.3,8430,1502.0,1415.4
2025-01-14,1437.45,1444.95,1430.05,1439.55,6267,1467.55,1467.65,1467.1,1467.65,2749,1490.3,1430.05
2025-01-15,1468.3,1483.75,1468.25,1473,10707,1509.9,1510,1508.6,1510,5153,1522.35,1468.25
2025-01-16,1525,1526.8,1516.55,1516.6,6742,1549.95,1550,1549.75,1550,3471,1551.9,1508.6
2025-01-17,1558,1573,1556,1573,8522,1571.05,1573.45,1571.05,1572.05,1074,1598.4,1550.65
2025-01-20,1584.95,1584.95,1550.75,1562,10846,1581.45,1582.55,1580.8,1580.8,3699,1618.65,1550.75
2025-01-21,1617.65,1617.65,1600,1607.15,55733,1586.9,1587.9,1584.6,1584.6,4042,1643.35,1570.45
2025-01-22,1588,1602.1,1584.55,1586,5957,1559.25,1559.5,1556.75,1557.35,4699,1602.1,1531.55
2025-01-23,1560,1561.85,1554.05,1560,3414,1581.5,1582.3,1579.9,1580.95,3830,1603.4,1554.05
2025-01-24,1582.9,1582.9,1574.55,1578.95,2740,1559.8,1559.8,1558.65,1559.05,398,1599.4,1557.05
2025-01-27,1527.6,1541.35,1524.45,1536.8,4836,1519,1519,1515.4,1516.45,2334,1541.35,1498.65
2025-01-28,1515,1515.65,1504.5,1507.2,2362,1488.95,1489.3,1485.65,1486.95,2174,1515.65,1452.05
2025-01-29,1488,1498,1485.7,1498,1068,1526.85,1526.85,1525.55,1525.55,173,1530.0,1485.7
2025-01-30,1529.8,1535.5,1526.55,1533.65,1182,1479.2,1482.15,1478.15,1480.6,1830,1535.5,1469.55
2025-01-31,1475.9,1482.8,1472,1472,2813,1507.85,1508.15,1507.85,1508,1013,1511.0,1463.7
2025-02-01,1509.55,1530,1506.1,1507.65,2160,1506.95,1506.95,1506,1506,78,1530.0,1452.0
2025-02-03,1495.55,1495.55,1467.05,1471.7,3076,1441.95,1442,1441,1441.1,1464,1495.55,1430.0
2025-02-04,1447.1,1448,1419,1435,11366,1439.25,1440,1438.4,1439.15,2968,1462.85,1401.5
2025-02-05,1433.05,1454.35,1432.5,1449.45,6421,1429.85,1430.5,1429.8,1429.85,1374,1459.7,1422.2
2025-02-06,1430.5,1438.95,1430.5,1431.15,4662,1420.8,1421,1420.7,1421,696,1438.95,1406.0
2025-02-07,1420.6,1424.45,1406,1420.4,7093,1428.4,1428.95,1427.15,1427.45,2844,1449.5,1395.25
2025-02-10,1433.8,1438,1420.8,1428.6,2707,1410.1,1410.3,1410,1410.2,1422,1438.0,1398.6
2025-02-11,1404.9,1411,1403.05,1410.65,1701,1376.35,1377.95,1376,1377.3,3691,1415.85,1364.35
2025-02-12,1377.9,1377.9,1370.05,1374.8,700,1340.9,1342,1340.25,1341.3,1284,1386.4,1320.0
2025-02-13,1329.85,1344.75,1329.85,1344,6160,1375.6,1376.1,1374.5,1375.85,3041,1395.5,1329.85
2025-02-14,1370.5,1382.5,1365.3,1379.55,5683,1302.9,1303,1300.7,1301.5,3890,1382.5,1293.0
2025-02-17,1306.75,1306.75,1273.05,1273.05,6448,1335,1335,1333.5,1334.2,3200,1336.3,1272.7
2025-02-18,1340.5,1341.4,1325,1332.6,2749,1325,1325,1321.95,1323.65,1109,1341.4,1309.75
2025-02-19,1315,1318.8,1311.1,1316.65,2586,1379.05,1381.65,1378.95,1378.95,2472,1385.0,1311.1
2025-02-20,1373.85,1407,1373.7,1404.55,7913,1480.1,1480.65,1476,1478.25,15583,1481.95,1373.7
2025-02-21,1500,1525,1490.55,1522.75,87830,1489.25,1489.5,1487,1488.1,9692,1537.5,1471.0
2025-02-24,1480,1482.85,1467.55,1474.9,9475,1468.9,1469.65,1466.95,1469.65,5484,1493.65,1462.5
2025-02-25,1471.8,1480.95,1465.7,1476,5016,1462.75,1462.75,1461.6,1462.15,1296,1483.0,1457.4
2025-02-27,1461.85,1472.8,1460.45,1470,4165,1439.1,1442,1439,1439.95,6557,1472.8,1431.0
2025-02-28,1427.95,1431,1416.9,1416.9,1360,1437.2,1437.25,1432.35,1434.4,37812,1453.8,1383.85
2025-03-03,1426.35,1435,1419.55,1433.15,9767,1430.1,1431.35,1430.1,1430.5,799,1443.45,1378.5
2025-03-04,1420,1420,1405.5,1411.15,2390,1425.25,1425.25,1425,1425.05,857,1439.95,1400.0
2025-03-05,1405,1429.7,1405,1421.35,6416,1474.3,1474.3,1473.8,1473.8,1542,1483.5,1405.0
2025-03-06,1465.15,1488.15,1465.15,1482.9,4776,1463.1,1463.1,1460.05,1460.95,3170,1497.0,1460.05
2025-03-07,1463.25,1468.6,1463.25,1465.45,678,1460.25,1460.55,1457.55,1457.75,4298,1487.25,1450.0
2025-03-10,1458.25,1468.4,1455.25,1467.1,176,1436.55,1436.55,1434.8,1434.85,1581,1474.0,1428.3
