date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,1463.9,1463.9,1452.85,1461,1364,1482,1483.5,1480.05,1481.7,3233,1484,1490.95,1484,1490.05,7438,1487.0,1452.85,1490.95,1452.85
2025-01-02,1480.8,1483.55,1468.8,1476.4,1735,1477.65,1478.95,1473.95,1477.5,1365,1476.9,1476.9,1475.65,1476.1,216,1489.6,1468.8,1489.6,1468.8
2025-01-03,1470,1482.95,1470,1475.05,1888,1496.8,1498.8,1494.85,1497.1,1518,1492,1494.7,1490.1,1494,1695,1513.8,1470.0,1513.8,1470.0
2025-01-06,1465,1499,1465,1479,2868,1485,1485.1,1483.9,1485,1977,1485.3,1487.55,1485,1485,1837,1499.0,1465.0,1499.0,1465.0
2025-01-07,1503.9,1504.2,1475.1,1482.15,3384,1493.85,1493.9,1493.85,1493.85,102,1494,1500,1493.95,1494.4,1274,1504.2,1475.1,1504.2,1475.1
2025-01-08,1481,1492.95,1481,1485,1951,1479.65,1479.85,1478.65,1479.7,842,1481.1,1481.1,1479,1480.05,1220,1496.5,1470.4,1496.5,1470.4
2025-01-09,1464,1479.3,1459.05,1470.3,5637,1475.1,1477.9,1473.85,1475.75,666,1475.05,1476.35,1475,1475.05,2218,1487.0,1459.05,1487.0,1459.05
2025-01-10,1469.6,1469.95,1461.3,1462.9,845,1450.05,1450.9,1450.05,1450.2,371,1458.95,1459.4,1458.5,1458.55,221,1470.85,1433.45,1470.85,1433.45
2025-01-13,1405.75,1430.95,1405.75,1416.3,2498,1421,1421,1420,1420.5,349,1418,1418,1415,1415,1773,1430.95,1377.0,1430.95,1377.0
2025-01-14,1397.1,1425.35,1397.1,1410.6,2978,1390.05,1394.4,1390.05,1391.75,639,1393.55,1395,1393.25,1393.25,663,1441.85,1390.0,1441.85,1390.0
2025-01-15,1391,1396.2,1391,1396.2,452,1354.85,1357.25,1352.65,1355.75,3191,1360,1360.05,1351.15,1351.15,6102,1396.95,1351.4,1396.95,1351.15
2025-01-16,1373.95,1379.65,1362.1,1364.1,970,1354.5,1355.2,1353.3,1353.3,316,1356,1356.4,1350,1352.1,3532,1379.65,1350.0,1379.65,1350.0
2025-01-17,1361.95,1361.95,1346.05,1351,2225,1323.3,1324.05,1322.75,1323.85,455,1325,1326.35,1323.9,1326.2,1838,1361.95,1320.55,1361.95,1320.55
2025-01-20,1343.15,1345.45,1310,1321.65,3711,1310,1310.55,1297.05,1300,20616,1298.25,1302.95,1298.25,1298.7,2126,1345.45,1281.8,1345.45,1281.8
2025-01-21,1302.35,1302.65,1288.5,1293.05,5599,1276.7,1277,1276,1276.85,1188,1276.15,1278.7,1276,1278.7,1015,1303.55,1261.8,1303.55,1261.8
2025-01-22,1275,1276.45,1260,1261.85,1140,1270,1270.15,1270,1270.05,4296,1271.65,1280.8,1270,1270,2292,1284.0,1234.0,1284.0,1234.0
2025-01-23,1262,1263,1254.7,1262.85,5206,1313.95,1314.25,1312.15,1313.6,1833,1310.85,1320,1305.15,1314.3,2650,1365.55,1254.7,1365.55,1254.7
2025-01-24,1317.4,1331.3,1317.35,1325.65,3187,1312.9,1312.95,1309.3,1309.45,836,1310.8,1311,1308,1310.15,867,1349.85,1304.55,1349.85,1304.55
2025-01-27,1300.7,1300.7,1295.65,1295.75,916,1336.75,1340.25,1334.55,1335,3917,1322.45,1330,1320.15,1323,1087,1341.5,1263.05,1341.5,1263.05
2025-01-28,1322.95,1322.95,1313.05,1315.75,1796,1300.15,1301.25,1300,1301.25,1755,1300.05,1300.3,1300,1300,671,1322.95,1265.05,1322.95,1265.05
2025-01-29,1300,1301.45,1294.25,1297.95,991,1346.9,1348,1346.05,1348,412,1341.9,1342,1340,1342,3132,1364.0,1294.25,1364.0,1294.25
2025-01-30,1335,1358.95,1335,1358.55,869,1355.15,1356.45,1350.8,1353,1618,1356.5,1357.95,1356.5,1356.55,250,1391.3,1335.0,1391.3,1335.0
2025-01-31,1353,1359.95,1348.1,1349.3,773,1356.4,1356.9,1353,1356.75,4058,1355,1358.6,1355,1358.6,851,1383.15,1316.3,1383.15,1316.3
