date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,484.85,486.8,482.55,484.05,34097,483.8,484.4,483.25,484,6679,491.25,481.0
2025-01-02,484.9,487.45,482.05,484.6,11250,498.9,498.95,498.2,498.7,6504,503.5,480.5
2025-01-03,503.4,510,502.05,509.6,152128,503,507.2,502.85,507.2,29580,521.8,498.1
2025-01-06,507.55,513.1,507.55,513.1,59613,479.25,479.4,478.55,478.65,32276,519.55,478.0
2025-01-07,483,489,483,489,62249,499.85,499.9,499.4,499.55,12302,502.0,483.0
2025-01-08,501.75,504,499.05,499.25,33771,481.5,481.5,481.1,481.3,5321,504.0,481.05
2025-01-09,483,485.9,481.05,481.05,18905,467.2,467.4,466.7,466.7,10085,485.9,459.6
2025-01-10,468,469.95,465.4,466.15,13115,451.85,452,451.45,451.45,7249,469.95,442.15
2025-01-13,444.95,447.15,443.15,446.45,19144,430.55,431.95,430.55,431.95,39513,447.15,424.5
2025-01-14,438,438,432.4,435.2,20517,430.3,430.3,429.5,430.05,30211,439.45,423.8
2025-01-15,430.95,432.9,428.2,432.25,30698,432.1,432.2,431.5,431.7,19034,437.4,424.0
2025-01-16,436.3,442.7,436.3,438.1,34351,453.95,453.95,451.75,453.7,17571,456.0,436.3
2025-01-17,448.95,448.95,436.75,446.35,36330,501.05,502.75,500.65,500.65,260292,512.0,436.75
2025-01-20,500.7,511.9,499.9,507.75,321392,469.05,469.95,468.05,468.5,275134,518.0,452.15
2025-01-21,471.6,476.5,466.2,467.95,163780,463.45,464.65,462.1,463.7,80929,493.7,458.15
2025-01-22,465.65,465.65,462.1,463.4,187174,455.85,457,455.5,456.85,21451,465.65,445.8
2025-01-23,451.05,458.7,451.05,456.6,54595,454.3,454.6,453.9,454.05,5097,464.4,451.05
2025-01-24,454.95,455.85,451.8,453.15,40013,437.45,437.75,437.3,437.3,11633,455.85,435.8
2025-01-27,432.9,432.9,430.15,431.5,13229,414.85,415.15,414.2,414.75,22401,432.9,409.95
2025-01-28,417.5,423.9,416.75,422.55,47091,413.65,414.15,413.6,414,7064,424.9,400.25
2025-01-29,416.45,421.5,416.45,421.15,41175,422.6,423.3,422.35,423.3,28339,432.35,416.45
2025-01-30,422.5,427.05,422,425.55,29426,419.65,420.55,419.25,420.15,50674,429.75,419.25
2025-01-31,420.7,423.7,419.3,421.45,57821,435.9,436,435.25,435.55,104700,447.0,418.05
2025-02-01,439.85,442,437.95,440.55,48026,437.4,438.2,436.75,437.55,8552,446.5,427.05
2025-02-03,431.8,432.45,428.95,430.8,31059,434.4,434.5,433.85,434.4,1488,438.85,427.05
2025-02-04,436.95,441.6,436.95,439.7,19913,437.95,438,437.25,437.85,16361,446.45,436.95
2025-02-05,438.6,444,438.6,444,44806,442.85,443.3,442.55,443,7271,452.0,434.9
2025-02-06,445.6,447.25,444.15,444.95,30035,446,446.8,445.85,446.55,6172,457.95,440.3
2025-02-07,446.5,448.5,444.15,444.4,25029,439.5,439.85,439.5,439.5,6033,450.2,437.15
2025-02-10,437.4,440.45,436.1,437,13841,422.85,423.9,422.5,423.2,26901,440.45,419.2
2025-02-11,425.05,426.5,419.55,420.85,27601,399.7,400,398.5,399.2,18491,426.5,398.5
2025-02-12,400,405.6,397.2,405.6,50975,395.8,396.25,395.05,395.5,11586,412.05,387.0
2025-02-13,397.7,404.9,397.65,404.9,26664,395.75,395.8,395.4,395.45,15250,404.9,391.4
2025-02-14,397,397.3,393.4,393.85,29320,374.7,375.15,374.45,374.75,14274,405.8,373.2
2025-02-17,368.5,368.5,360.95,363.05,97231,369.45,370.05,369.15,369.35,3011,375.95,357.9
2025-02-18,373.75,373.75,369.15,372.15,24730,378.15,378.2,376.7,377.15,24390,380.5,357.75
2025-02-19,372.05,375.1,372.05,374.7,21369,387.75,388,387.55,387.65,12281,394.9,372.05
2025-02-20,386.05,391,383.3,390.9,21089,391.95,392.8,391.8,392.35,114529,400.7,383.3
2025-02-21,392,394.7,390.8,394.05,7712,379.25,379.25,378.8,379.2,3136,395.3,378.2
2025-02-24,375,378,372.75,378,49898,369.9,370,369.65,369.85,4790,378.05,368.45
2025-02-25,371.45,372.5,370.15,372,20991,366,366.3,365.7,365.7,5275,375.4,361.6
2025-02-27,364.9,365.9,360.4,361.55,36116,349.9,349.9,348.7,349.25,28995,365.9,347.7
2025-02-28,344,344,335.55,337.15,64914,339.45,339.5,339,339.2,10440,345.75,335.55
2025-03-03,344.1,344.65,336.65,337.75,31461,327.35,327.35,326.95,327.3,9938,344.65,308.25
2025-03-04,326.05,331.05,324.3,329,78389,343.55,344.45,343.15,343.95,43200,345.9,322.75
2025-03-05,343,348.5,339.3,339.9,116091,339.95,339.95,339.6,339.95,3142,351.35,339.25
2025-03-06,342.1,345.1,342.1,344.4,51648,339.4,339.5,339,339.25,11171,346.55,335.15
2025-03-07,339.95,340.75,338.05,338.35,16018,346.65,346.85,346.4,346.75,9037,350.2,337.8
2025-03-10,347.25,349.35,347,348.65,15994,330.55,330.9,330.45,330.85,5945,349.35,330.05
2025-03-11,325.9,329.4,321.05,326.25,41946,327.5,327.5,326.9,326.9,117089,329.4,319.0
2025-03-12,329.5,333.9,329.45,332.5,15489,327.3,327.3,327.05,327.05,499,334.5,326.15
2025-03-13,329.45,331.2,327.1,328.2,47998,325.45,325.85,325.35,325.8,12660,331.2,322.9
2025-03-17,326.5,329.1,326,326.65,2155,336.25,336.25,336,336.2,2023,338.85,325.5
2025-03-18,339.8,340.85,337.45,338.7,33186,348.2,348.4,348.1,348.35,2447,351.0,337.45
2025-03-19,369,369,350.5,356.85,234991,349.5,349.7,349.35,349.35,10613,369.0,348.2
2025-03-20,351,354.2,351,353.95,25185,362.25,362.25,361.75,361.75,12289,366.4,350.7
2025-03-21,358,359.95,356.45,356.8,20532,400.75,400.75,397.75,398.05,149219,402.0,356.45
2025-03-24,401,403,399.35,402.75,79913,423.1,423.1,422,422.25,29103,424.85,391.0
2025-03-25,422,428.6,420.05,422.65,114488,404,404.05,403.3,403.5,29104,428.6,401.4
2025-03-26,405.95,408.75,405.3,406.2,35749,396.6,396.6,396.3,396.6,7468,414.75,395.0
2025-03-27,395,400.4,394.25,398,48516,399.25,399.85,399.25,399.6,23488,402.7,389.35
2025-03-28,402,405.7,402,403.6,52467,397.15,397.2,396.9,396.9,5697,408.4,395.6
2025-04-01,394.95,394.95,390.25,390.9,13334,392.4,392.45,391.85,391.85,3375,398.9,390.25
2025-04-02,393,393.75,390.3,391.6,11394,400.4,400.4,400.1,400.2,4138,410.0,389.9
2025-04-03,398,400.75,396.15,399.45,18158,403.75,404.45,403.7,404.45,28239,405.5,396.15
2025-04-04,404.15,405.25,401.2,401.7,9754,384.4,384.95,384.3,384.85,4813,405.25,383.6
2025-04-07,348.55,360.2,342.3,350.7,106309,350.4,350.85,350.4,350.85,150085,363.85,342.3
2025-04-08,362,364.8,358.15,358.7,95230,365.95,366.25,365.95,366.25,3800,371.7,345.05
2025-04-09,366,367.8,364,366,43678,348.25,348.35,348.15,348.25,11912,367.8,345.0
2025-04-11,360,361.45,355.55,356.25,81764,359.3,359.5,358.6,358.65,12952,364.4,351.6
2025-04-15,370,372.7,364.8,367.55,125993,385.2,385.65,385.15,385.55,39168,390.95,364.8
2025-04-16,386.05,387.25,383.4,384.85,44055,383,383,382.65,383,5540,390.0,378.8
2025-04-17,382.8,384.8,382.1,383.65,18849,386.95,386.95,385.5,385.8,28598,393.4,381.75
2025-04-21,387,392.25,387,391.45,57934,401.7,401.85,401.55,401.85,9765,406.0,387.0
2025-04-22,405,407.1,404,404.6,57236,397.75,397.8,397.4,397.55,14484,407.1,397.0
2025-04-23,399.5,402.9,399.45,402.65,37348,382.55,383.45,382,383.3,35204,403.85,382.0
2025-04-24,386,389.8,385.65,386.35,61892,384.5,384.5,384.2,384.5,3978,390.95,383.5
2025-04-25,386.95,387.85,384.75,385.15,36995,373.15,373.3,372.55,372.75,24478,387.85,361.65
2025-04-28,372,375.4,371.5,372,26996,370.85,370.85,370.4,370.5,8201,379.3,366.3
2025-04-29,371.35,373.95,371.25,373.8,37346,369.8,371,369.8,370.95,15073,375.5,366.4
2025-04-30,370,370.5,365.3,365.55,27818,355.75,355.75,355.4,355.55,10387,370.5,355.4
2025-05-02,355,357.8,354.9,357.15,49263,349.75,351.45,349.75,351.15,14955,362.5,348.15
2025-05-05,352.05,354,351.45,353.15,23174,352.4,352.55,352.35,352.35,2431,361.05,350.6
2025-05-06,353.95,355.4,351.3,351.3,32801,339.7,339.7,339.1,339.4,13508,355.4,338.55
2025-05-07,335,337,331.5,334,165463,342.25,342.95,342.2,342.6,16524,348.3,331.5
2025-05-08,344.95,346.75,342.5,345.95,66483,343.25,343.25,342.7,343,5389,352.8,342.0
2025-05-09,333,340.3,332.95,338.9,34454,341.8,342.35,341.75,342.35,17438,342.35,332.95
2025-05-12,359,360.05,356.25,357.95,82063,363.05,363.25,363.05,363.05,1599,365.0,356.25
2025-05-13,364.9,365.75,361.4,364.15,58705,371.45,371.45,371.05,371.25,17554,377.4,361.4
2025-05-14,374.5,377.15,374,374,59848,379,379.1,379,379.1,2895,380.6,372.15
2025-05-15,383,384.25,382.15,383.25,35660,395.45,395.5,394.6,394.6,237773,397.9,378.3
2025-05-16,410,414,406.55,411.25,607224,393.5,394.5,393.5,394.5,66509,414.0,386.35
2025-05-19,396.7,397.5,392.95,393.2,58771,397.3,397.3,397,397,8471,404.7,391.65
