date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,2500,2516.6,2484.35,2492.8,1969,2498,2499.75,2496.75,2499.05,642,2497.6,2498.7,2494.6,2498,1104,2516.6,2484.35,2516.6,2484.35
2025-01-02,2498.5,2516.75,2498.5,2505,447,2513.25,2514.45,2513.25,2514.45,144,2515,2515.95,2512.05,2515.95,271,2519.0,2477.45,2519.0,2477.45
2025-01-03,2515.2,2524,2505.25,2523.95,1212,2453.95,2453.95,2451.3,2453.3,2096,2450.85,2451,2449.8,2450,890,2527.35,2447.2,2527.35,2447.2
2025-01-06,2445,2452.7,2435.25,2435.25,2227,2417.9,2418,2415.2,2417.85,1522,2419.3,2419.9,2417.2,2419,704,2468.05,2413.55,2468.05,2413.55
2025-01-07,2420,2431,2416.6,2425.45,2116,2459.8,2461.75,2457.8,2461.75,6123,2459.6,2459.6,2450,2455.05,1588,2467.85,2416.6,2467.85,2416.6
2025-01-08,2456.05,2456.05,2435.15,2445,3043,2438.75,2439.3,2437.4,2438.25,232,2436.95,2439,2428.25,2435.5,1259,2456.05,2402.0,2456.05,2402.0
2025-01-09,2453.8,2473.95,2438.05,2469.15,4004,2454.9,2455.95,2453.5,2455.95,2029,2458.4,2459.7,2454.3,2459.7,2401,2509.2,2438.05,2509.2,2438.05
2025-01-10,2455,2462.1,2451,2452.05,3558,2423.45,2423.65,2422.5,2422.5,2774,2415.95,2417,2412,2412.95,2513,2462.1,2407.4,2462.1,2407.4
2025-01-13,2380,2400.4,2380,2384.45,2432,2326.9,2328.15,2326.2,2327.8,471,2327.6,2327.7,2322.35,2326.5,701,2400.4,2319.95,2400.4,2319.95
2025-01-14,2321.35,2357.4,2321.35,2355.6,3177,2338.7,2339.45,2337.6,2339.45,169,2349.45,2349.45,2341,2348.65,555,2374.7,2321.35,2374.7,2321.35
2025-01-15,2358,2358,2346.15,2348.95,147,2360,2360.85,2359.6,2360,1337,2360.25,2364.9,2359.2,2360.65,338,2372.5,2325.5,2372.5,2325.5
2025-01-16,2361.1,2379.9,2361.05,2371.25,2331,2363.25,2365,2362,2364.3,950,2368.05,2369,2368,2368,590,2385.95,2338.35,2385.95,2338.35
2025-01-17,2365,2365,2340,2362.4,2278,2358.35,2358.35,2356.1,2356.65,840,2358.45,2361.3,2355,2355,608,2392.0,2340.0,2392.0,2340.0
2025-01-20,2365,2373.9,2354.8,2354.8,362,2360.05,2361.5,2360.05,2360.3,107,2359.6,2360,2355,2355,1288,2373.9,2328.0,2373.9,2328.0
2025-01-21,2365,2373.95,2361,2362.4,2504,2348.5,2348.5,2345.5,2348,262,2349.2,2349.2,2344.05,2347.95,950,2405.0,2345.5,2405.0,2344.05
2025-01-22,2340.1,2346.65,2311.1,2331.95,5474,2313.45,2315.65,2313.25,2314.7,721,2312.95,2314.95,2312.55,2313.9,307,2346.65,2270.1,2346.65,2270.1
2025-01-23,2311.5,2311.5,2280,2300.4,533,2370.1,2370.1,2366.9,2367.25,1124,2365,2367.05,2363,2364.15,738,2384.45,2280.0,2384.45,2280.0
2025-01-24,2369.3,2369.45,2362.1,2365.45,223,2293.9,2294,2292.5,2293.55,575,2292,2293.2,2291,2293.2,930,2376.75,2286.6,2376.75,2286.6
2025-01-27,2292.55,2292.55,2270.6,2278.95,1292,2217.1,2217.95,2216.9,2216.9,537,2213,2213,2210.5,2213,453,2292.55,2209.6,2292.55,2209.6
2025-01-28,2232,2244,2226.25,2239.05,3835,2190.75,2192.95,2190.05,2191.35,166,2193.9,2193.9,2190,2192.9,417,2244.0,2177.9,2244.0,2177.9
2025-01-29,2193.85,2207,2190.1,2200.6,857,2279.95,2279.95,2277.5,2279.4,1657,2271.95,2272,2269.55,2272,1152,2282.3,2190.1,2282.3,2190.1
2025-01-30,2280,2290,2276.85,2282,6472,2269.5,2269.95,2268,2268.4,101,2272.95,2274.95,2268.4,2272.95,462,2310.0,2237.0,2310.0,2237.0
2025-01-31,2271.4,2300,2271.4,2288.65,1492,2325.05,2325.05,2323.55,2324.5,280,2326,2331,2321.55,2323.8,1794,2334.95,2271.4,2334.95,2271.4
2025-02-01,2350,2353.05,2343.5,2343.5,1693,2326.5,2327.9,2325.8,2326,98,2323.95,2323.95,2320.2,2321,152,2357.35,2283.85,2357.35,2283.85
2025-02-03,2300,2302.2,2284.9,2290,1514,2329.65,2329.65,2325.15,2327.2,1719,2330,2331.1,2330,2330,342,2380.75,2283.55,2380.75,2283.55
2025-02-04,2341.15,2354.5,2324.05,2329.4,3859,2342,2343.2,2341.85,2342,342,2340.65,2341,2334.5,2341,807,2354.5,2307.15,2354.5,2307.15
2025-02-05,2342.05,2353.5,2342.05,2347.9,490,2350,2350.55,2348.55,2349.85,276,2350.65,2353.9,2350.65,2353.9,739,2366.65,2331.8,2366.65,2331.8
2025-02-06,2351.55,2367.95,2351.55,2360.25,2793,2381.25,2381.9,2378.35,2381.9,4431,2381.7,2382,2378.05,2382,792,2391.9,2345.65,2391.9,2345.65
2025-02-07,2393,2399.95,2390,2395.95,2530,2352.8,2352.8,2349.95,2350.05,767,2350.85,2351,2349,2350,630,2399.95,2312.8,2399.95,2312.8
2025-02-10,2325,2355.5,2325,2345.3,1377,2287.9,2287.9,2283,2287.7,1571,2291.45,2293.7,2289,2289.5,318,2355.5,2271.2,2355.5,2271.2
2025-02-11,2278.35,2293.8,2272,2289.5,992,2209.9,2211.55,2207.9,2211.55,1271,2209,2209,2205,2208,403,2293.8,2200.0,2293.8,2200.0
2025-02-12,2211.4,2239,2201.5,2209.2,584,2203.3,2203.85,2202.9,2203,304,2201.05,2203.65,2195.9,2195.9,159,2239.0,2150.0,2239.0,2150.0
2025-02-13,2204,2218.95,2204,2215.8,509,2238.65,2238.7,2236.55,2236.55,979,2230.05,2236.95,2225.75,2230.95,694,2257.85,2185.35,2257.85,2185.35
2025-02-14,2050.1,2100,2046,2076.05,145867,1902.5,1904,1900,1901.85,40822,1892.8,1894.9,1890.55,1892.45,6801,2100.0,1872.3,2100.0,1872.3
2025-02-17,1886,1890.65,1850.1,1856.6,41542,1899.95,1900,1899.35,1899.35,8451,1899,1900,1890.3,1900,3395,1949.9,1809.95,1949.9,1809.95
2025-02-18,1902.2,1908.5,1889.95,1898,13023,1899.7,1899.7,1898,1898.9,2123,1896,1896,1893.05,1894,1429,1908.5,1860.65,1908.5,1860.65
2025-02-19,1899.25,1899.25,1887.55,1896.6,7599,1914.95,1914.95,1913,1913.1,1160,1913.2,1913.75,1912,1912,3631,1938.95,1887.55,1938.95,1887.55
2025-02-20,1911.45,1938.15,1901.95,1935.2,11641,1966.9,1968.3,1965.45,1966.2,1472,1968.5,1968.5,1964.75,1964.75,1217,1978.0,1901.95,1978.0,1901.95
2025-02-21,1974,1991.6,1970.2,1987.2,13927,1930,1930,1927.05,1929.65,973,1935,1936.75,1935,1936.2,6612,2010.6,1921.25,2010.6,1921.25
