date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,722.3,723,708.05,714.5,19564,708.5,709.2,707.95,708.75,5136,707.6,708,706.5,706.65,2724,723.0,700.7,723.0,700.7
2025-01-02,709.4,717.65,709.4,715.6,15568,717.95,718.4,717.35,718.3,16815,719.5,720,717.05,719.85,17328,731.0,706.1,731.0,706.1
2025-01-03,721.1,723.7,718.8,721.35,24526,734.1,734.45,729.85,731.45,34426,730.9,731.8,730.55,731,5966,739.05,717.8,739.05,717.8
2025-01-06,739,739,728.05,728.85,41339,717.7,718.1,717.7,718.05,5961,719.8,724,719.7,723.8,7550,743.3,714.15,743.3,714.15
2025-01-07,721.95,725,717.5,718.6,26452,733.25,734.8,733.25,734.7,11970,733.9,734.8,732.2,734.4,9198,742.1,714.3,742.1,714.3
2025-01-08,739.55,739.55,726.85,729,53742,719.7,721.5,719.5,721,3813,726.05,727,725.8,726,4305,739.55,718.5,739.55,718.5
2025-01-09,723.9,725,713.05,715.45,20941,713.45,714.45,713.05,714.1,14629,712.05,713,710.1,711.75,7140,725.0,702.0,725.0,702.0
2025-01-10,712.05,716.2,708.55,714,13224,688.3,688.3,686.7,687.55,12145,686.6,687.4,686.6,687.4,4908,716.95,685.35,716.95,685.1
2025-01-13,684,686.95,676.7,678.55,18621,662.35,662.75,661.6,662.15,13810,662.65,664.5,661.2,663.55,12335,686.95,658.55,686.95,658.55
2025-01-14,669.45,674,666.8,673.05,8378,663.75,663.95,663.65,663.85,2061,663.4,664,660.2,662,9698,674.55,654.35,674.55,654.35
2025-01-15,666,667.5,666,666.65,3637,649.35,649.35,648,649.2,13298,650.4,652.5,650,651.45,12105,667.5,648.0,667.5,648.0
2025-01-16,655,660.7,655,660.05,10017,663.25,663.25,662.3,662.75,9293,662.9,663.15,659.2,662.65,7792,680.4,655.0,680.4,655.0
2025-01-17,664.8,664.8,657.55,659.85,7848,645,645.2,644.15,644.4,10499,645.3,646,645,645.2,7975,664.8,641.05,664.8,641.05
2025-01-20,648.5,648.5,641.55,644.5,10148,654.4,654.9,653,653.05,6697,652.9,653.5,651.9,652.85,6455,655.45,636.3,655.45,636.3
2025-01-21,656.05,659.7,655.4,657.65,13633,641,641,640.2,641,9130,639,639.4,638.15,639.3,1603,659.85,639.2,659.85,637.6
2025-01-22,641,642.2,632.25,633.1,20916,629.9,630,629.05,629.25,6126,629.2,629.2,627.85,628.8,6666,642.2,623.7,642.2,623.7
2025-01-23,629.65,629.9,625.5,626.9,4743,635.7,635.7,634.7,635,7256,635.8,635.8,634.1,635,2884,644.4,624.8,644.4,624.8
2025-01-24,639,641.55,637,638,4260,615.8,615.85,615.3,615.65,3615,616.2,616.2,615.45,615.65,4502,641.55,614.75,641.55,614.75
2025-01-27,605.55,611.15,597.3,598.9,24383,591.5,591.5,591.2,591.4,5024,591.25,591.6,590.7,591.6,12386,611.15,585.45,611.15,585.45
2025-01-28,592.55,596,582.3,582.3,12117,581.35,581.55,580.5,580.8,9557,580,581,580,580.95,15014,596.0,577.0,596.0,577.0
2025-01-29,580.05,583.2,578.65,582.55,19319,628.3,629.95,627.65,629.1,36705,629,629,627.45,628.45,8225,632.0,578.65,632.0,578.65
2025-01-30,628,635.15,627,635,8911,647.95,648.65,647.2,648.15,8677,649.25,649.55,648,648.95,9138,654.5,627.0,654.5,627.0
2025-01-31,647.5,650.8,643.55,645.15,8266,640.95,641.15,639.65,640.35,17940,640.4,643.45,640.4,641.55,14227,654.9,628.8,654.9,628.8
2025-02-01,644,649.95,642.05,649.95,8182,627.85,627.85,625.45,626.2,5475,628.4,628.4,628,628.3,2109,649.95,622.35,649.95,622.35
2025-02-03,625.45,637.95,623,632.85,24873,622.65,622.65,621.05,621.85,4991,619.3,620.95,619.3,620.95,4136,647.5,614.2,647.5,614.2
2025-02-04,622,627.7,621.15,625.3,13133,629.15,629.3,629.1,629.2,9636,628.55,629.2,628,629.2,3965,641.7,615.55,641.7,615.55
2025-02-05,630,645,630,643.2,28647,671,671.9,670.6,670.75,19642,671.1,671.15,668.3,670.1,12663,672.75,630.0,672.9,630.0
2025-02-06,669.65,669.65,660,660,9615,650.65,650.95,650.1,650.45,7048,650.3,651.25,650,650.95,5441,669.65,640.5,669.65,640.5
2025-02-07,651,657.4,651,654.3,9945,650.9,651.3,650.8,650.95,7667,648.1,650,648,649.7,5676,661.7,645.8,661.7,645.8
2025-02-10,658,661.65,648.35,648.35,78712,626.85,626.95,626,626.95,14561,626.6,627.55,626.55,626.6,22321,661.65,622.25,661.65,622.25
2025-02-11,627.4,631.05,627.4,629.15,5054,615.5,615.75,615.2,615.7,5788,616,616.25,615.3,615.95,4165,632.05,609.55,632.05,609.55
2025-02-12,614.7,615,607.7,607.95,16269,614.5,614.5,613.85,614.5,13514,612.95,613,612.15,613,10043,627.25,601.85,627.25,601.85
2025-02-13,614.55,618.55,614.55,618.55,2700,611.9,611.9,610.7,611.05,10043,611,612.9,610.2,612.85,6908,619.6,604.35,619.6,604.35
2025-02-14,618.95,618.95,614.05,616.15,10354,605.05,605.05,603.55,603.55,6736,600.5,600.5,598.2,599.3,8402,618.95,590.0,618.95,590.0
2025-02-17,591,596.25,589,594.15,17053,613.35,613.85,613.05,613.25,4878,613.75,613.75,613,613.15,4519,616.45,587.1,616.45,587.1
2025-02-18,614.95,619.9,612.6,619.65,7591,604.55,604.65,604.3,604.45,2552,602.25,602.5,601.6,602.45,2271,619.9,599.1,619.9,599.1
2025-02-19,601,602.4,597.9,599.65,5660,602.1,603.35,602,602.95,9842,602.2,602.85,601.5,602.25,2224,610.25,597.9,610.25,597.9
2025-02-20,605.6,609.55,602.9,609.55,7696,609.8,609.8,608.35,609,18481,609.8,609.8,609.75,609.8,6805,622.55,602.9,622.55,602.9
2025-02-21,608.1,619.7,608.1,619.7,11880,621.25,622.3,620.3,622.25,7173,622.8,624.6,622,622,11465,622.9,605.05,624.6,605.05
2025-02-24,614.9,617.5,608.2,610.6,16377,599.25,599.25,597.6,598.2,12342,595.85,596.4,594.2,595.25,9028,617.5,597.6,617.5,594.2
2025-02-25,598.1,598.1,591.2,591.9,13277,611.65,612.7,610.65,610.65,20447,614.5,614.65,613,613.9,6787,613.65,589.05,615.0,589.05
2025-02-27,610,615.2,609.25,613.65,26931,614.7,615,614.65,614.95,2978,614.2,615,614,614,4549,622.0,602.45,622.0,602.45
2025-02-28,613.05,619.2,611.15,619.2,26372,614.65,614.7,614,614.55,21019,605.05,610,604.8,605.05,30986,620.0,604.85,620.0,603.0
2025-03-03,602,610.7,602,604.8,15080,630.15,630.5,629.6,630.1,13722,626,626.9,625,625,11583,635.4,602.0,635.4,602.0
2025-03-04,627.45,631.4,626,628.15,18215,637,637.25,635.5,635.85,6684,635.7,638,635.7,638,3396,656.0,620.0,656.0,620.0
2025-03-05,643.05,645.7,630.9,630.9,25552,660.5,660.55,659.7,660.3,18753,660,660,659.95,659.95,3721,673.65,630.15,673.65,630.15
2025-03-06,666,666,654,658.35,27522,650,650.65,650,650.4,9229,644.8,645,643,644.9,9775,669.65,644.6,669.65,643.0
2025-03-07,644.2,644.75,639.8,642.9,20931,627.5,628,627,627.8,5298,629.9,630,628.65,630,8124,654.1,627.0,654.1,627.0
2025-03-10,631.1,633.2,628.45,631.9,8002,620.05,620.65,618.35,618.75,10731,621.5,622.95,617.15,622.95,7931,635.8,611.25,635.8,611.25
2025-03-11,614.2,623.2,614.15,623.2,10355,627.2,627.2,626.65,627.1,5374,625.1,629.15,624.65,629.15,4963,632.2,614.15,632.2,614.15
