date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,615.1,618.15,615.1,616.3,7072,618,618.25,617.85,618.2,5972,617.9,617.95,617.75,617.75,11709,619.5,612.65,619.5,612.65
2025-01-02,617,617,614,616.25,25100,620.15,620.5,620,620.2,18565,620,620.4,619.95,620.1,6081,621.1,614.0,621.1,614.0
2025-01-03,619,620.15,617.95,619.15,14378,623.5,623.65,623,623.55,40002,623.75,624,623.55,623.75,41382,623.95,615.65,624.05,615.65
2025-01-06,627,627,623.55,624.1,45756,605.95,606.45,605.75,605.85,87338,607.3,607.6,607.25,607.5,34447,627.0,603.35,627.0,603.35
2025-01-07,606,613,606,611.05,21115,620,620.25,619.3,619.6,11867,620,620.7,619.4,619.55,13323,620.65,605.5,620.7,605.5
2025-01-08,620.05,623.25,617.3,617.3,37575,617.8,618,617.5,617.85,14688,617.4,618.3,617.1,617.75,10858,623.25,615.1,623.25,615.1
2025-01-09,616.1,621.1,616.1,617.55,30654,612.35,612.8,612.1,612.75,8251,613.15,613.65,612.9,613.55,9911,621.1,609.9,621.1,609.9
2025-01-10,610.05,612.45,608.5,610.3,28850,608.4,608.8,608.15,608.65,13816,609.4,609.65,608.85,609.65,5200,614.9,603.0,614.9,603.0
2025-01-13,607,608.45,602.6,603.65,42839,600.05,600.2,599.8,600,16583,600,600.45,599.9,600,13460,608.45,597.3,608.45,597.3
2025-01-14,605,606.05,603.3,605.55,32137,600.65,600.7,600.25,600.6,18568,600.6,601.4,600.6,601.05,26953,608.05,594.85,608.05,594.85
2025-01-15,604.5,604.5,602.15,603.05,25417,593.7,594.15,593.35,593.65,13387,594,594.05,593.6,594,42753,604.5,584.3,604.5,584.3
2025-01-16,630.1,639,628.95,636.55,718183,641.55,641.6,640.85,641.5,79451,641.9,641.9,641.25,641.7,38417,663.6,628.95,663.6,628.95
2025-01-17,640,640,633.4,637.85,163354,641.8,642.35,641.45,642.35,94582,642.95,642.95,642.3,642.9,23221,649.95,633.4,649.95,633.4
2025-01-20,642,644.05,640.2,641.95,19985,634.1,634.35,634,634.1,17899,633.45,633.7,633.4,633.5,11540,644.05,630.55,644.05,630.55
2025-01-21,636,636.75,633.7,634.1,19423,624,624.45,623.8,623.8,14009,623.25,623.95,622.95,623.15,9825,637.05,623.05,637.05,622.9
2025-01-22,629,629,622.1,623.1,85057,618.05,618.1,617.85,617.85,9954,617.7,618.2,617.25,617.65,5617,629.0,612.9,629.0,612.9
2025-01-23,618,618.75,613,613,17963,620.9,620.9,620.5,620.5,5596,620.5,620.55,620.2,620.5,10048,625.2,612.6,625.2,612.6
2025-01-24,620.55,622.4,620.05,620.1,13484,621,621,620.55,620.6,9242,621.3,621.5,621.25,621.35,3664,625.0,613.3,625.0,613.3
2025-01-27,618,618.95,615.1,616.1,19408,610.35,610.55,609.85,609.85,12111,609.6,609.6,608.4,609,5895,619.75,606.4,619.75,606.4
2025-01-28,610.95,612.15,608.9,610.45,24679,611.95,611.95,611.4,611.7,11483,611.45,611.7,611.05,611.05,7234,614.0,600.1,614.0,600.1
2025-01-29,612,612.55,606,607,31897,628.2,628.2,627.85,627.85,4513,628.05,628.5,627.5,628,2597,629.45,605.15,629.7,605.15
2025-01-30,624.7,627.55,624,626,25027,635.5,635.6,635,635.25,6246,634.6,635.8,633.7,635.8,6957,635.6,624.0,636.1,624.0
2025-01-31,638,638,630.15,633,19236,637.85,637.85,637.8,637.85,5557,638.7,640.6,638.6,640.6,15027,641.0,630.15,641.0,630.15
2025-02-01,639.05,642.8,639,641.95,11424,625.65,626.15,625.6,626.15,19614,625.55,626,624.95,625,40329,667.55,595.25,667.55,595.25
2025-02-03,615.5,617.6,610.4,610.4,104423,621.15,621.35,620.8,620.95,39572,621.2,621.95,620.6,620.85,10189,630.35,610.0,630.35,610.0
2025-02-04,627.95,628,621.65,621.65,75849,625.2,625.2,625,625.05,8134,625.8,626.05,625.8,625.8,13981,628.0,615.4,628.0,615.4
2025-02-05,626,629.25,625.1,628.9,23146,628.65,628.7,628.1,628.1,50037,626.9,626.95,626.3,626.3,23107,639.0,624.7,639.0,624.7
2025-02-06,626.45,628.55,625,627.05,46064,633.75,633.8,633.4,633.6,14970,633.6,634,633.5,633.95,8262,638.4,623.15,638.4,623.15
2025-02-07,631.95,634.45,628.35,628.5,20034,637.45,637.45,636.3,636.65,13195,637.05,637.05,637,637,8345,637.5,624.55,637.5,624.55
2025-02-10,636,639.95,636,636.9,23260,635.6,635.6,635.45,635.55,9339,634.35,634.35,633.5,633.9,12423,640.8,626.75,640.8,626.75
2025-02-11,632.25,634.85,631.6,634.5,21981,618.35,618.55,618.35,618.55,38794,620.15,620.15,620,620.15,67440,634.85,612.95,634.85,612.95
2025-02-12,618.1,618.6,615.1,615.55,23262,628,628.75,628,628.7,12784,628.3,629.65,628.3,628.95,19527,636.9,608.15,636.9,608.15
2025-02-13,629.15,631.45,627.65,631.1,18241,629.6,629.6,629.2,629.45,14314,629.35,629.45,629,629.15,14254,640.0,627.65,640.0,627.65
2025-02-14,630,633.1,629.95,631.4,12305,626.55,626.65,626.05,626.45,9054,625.75,625.95,624.2,625.1,11298,633.9,622.5,633.9,622.5
2025-02-17,626.2,627,617.95,617.95,13858,623,623.1,623,623.05,4008,622.8,623.85,622.8,623.6,2523,627.0,613.95,627.0,613.95
2025-02-18,624,626,620.55,621,12341,619.25,619.25,618.65,619.15,9078,618.55,618.65,618.5,618.55,11590,626.0,611.35,626.0,611.35
2025-02-19,617,618.95,614.2,614.2,9134,622.85,622.95,622.8,622.85,3822,623.35,623.4,622.9,623.05,4200,624.0,613.8,624.0,613.8
2025-02-20,623,630,621.45,625.45,106690,620.45,620.45,620.15,620.35,4472,619.35,619.35,618.1,618.7,14735,630.0,616.3,630.0,616.3
2025-02-21,617.8,620.95,617,617.95,12086,622.55,622.95,622.15,622.35,14546,622.5,622.5,621.5,622.5,4055,623.9,613.45,623.9,613.45
2025-02-24,616,621.5,615.5,618.85,18823,617.25,617.25,616.5,617.05,10587,617.15,617.15,617.1,617.15,8922,621.5,614.5,621.5,614.5
2025-02-25,617.05,618.95,614.65,614.85,18581,622.05,622.2,621.55,621.75,18921,620.75,621.15,620.7,621.15,2737,623.3,613.1,623.3,613.1
2025-02-27,625,626,618.5,619.5,37171,618.8,619.1,618.25,618.6,21300,617.4,617.4,616.5,616.9,10025,627.85,615.95,627.85,615.95
