date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,255.95,256.25,253.6,256.25,4094,248.95,249,248.6,249,8459,249.7,249.85,249.65,249.85,3745,256.45,248.6,256.45,248.6
2025-01-02,249.95,252.45,249.95,251.5,2758,250.1,250.2,250,250.15,1146,250,250.2,249.9,250.2,1933,252.45,248.25,252.45,248.25
2025-01-03,251,253.5,251,251.65,3940,252.4,252.6,252.1,252.35,1762,252,252.4,252,252.15,1725,255.05,250.25,255.05,250.25
2025-01-06,252.05,252.05,250.6,250.65,2907,244.7,244.9,244.45,244.9,907,245.35,245.4,245.1,245.1,1516,252.05,242.5,252.05,242.5
2025-01-07,244.45,246.85,244.15,246.7,3790,246.65,246.8,246.5,246.75,677,246.25,247.5,246.25,246.65,1774,248.4,244.15,248.4,244.15
2025-01-08,248,251,248,250.5,10466,245.25,245.5,244.35,245,98714,245.65,246.45,245.55,245.55,2236,255.95,243.8,255.95,243.8
2025-01-09,247.3,247.3,245.5,246.15,2235,246.1,246.2,245.75,246.2,4230,246.1,246.3,246,246,5453,252.45,243.75,252.45,243.75
2025-01-10,245,246.2,243.6,244.15,11197,241.75,241.85,241.35,241.7,3225,243,243.35,241.5,243.2,1480,246.2,240.4,246.2,240.4
2025-01-13,242.6,244,242.2,243.5,6179,240.7,240.7,240.5,240.65,1254,241.3,241.9,241.3,241.85,1226,244.7,238.35,244.7,238.35
2025-01-14,241,245.95,240.95,245.95,4268,244.1,244.25,243.75,244.25,756,245.25,245.25,244,245,1100,246.4,240.0,246.4,240.0
2025-01-15,246,246.3,245.15,246.3,1247,242.5,242.6,242.25,242.25,297,242.45,242.75,242.45,242.75,476,249.6,242.25,249.6,242.05
2025-01-16,245.05,247.65,245.05,246.5,1024,246.5,246.55,246.25,246.55,494,246.4,246.5,246.25,246.4,1124,247.65,244.1,247.65,244.1
2025-01-17,247.7,247.7,246.45,247,3169,247,247.2,246.9,247.2,4679,246.65,247.5,246.55,247.5,2095,249.3,245.15,249.3,245.15
2025-01-20,247.3,249.6,246.4,246.4,4207,251.7,251.75,251.5,251.75,287,251.3,251.7,250.55,251.5,5198,253.0,246.4,253.0,246.4
2025-01-21,253,253,251,252.3,9481,248,248.3,247.7,248.3,1279,248.15,248.15,247,247,1028,253.0,247.1,253.0,244.3
2025-01-22,251.7,251.7,248.45,248.75,5920,247.6,247.9,247.55,247.9,374,247,247,246.5,246.5,1263,251.7,243.3,251.7,243.3
2025-01-23,250,250.95,242.65,246,6037,247.95,248.05,247.7,247.95,576,249.95,250,248.5,248.5,5335,250.95,242.65,250.95,242.65
2025-01-24,248.5,248.9,248,248,1974,243.85,243.95,243.3,243.4,858,244.6,246,244.25,245.75,963,251.45,242.6,251.45,242.6
2025-01-27,241,241,240,240.6,2831,230.35,230.35,230,230.2,3437,230.1,231,230.1,230.45,2983,241.0,225.0,241.0,225.0
2025-01-28,238,238,232.6,233.7,11360,224.7,225,224.35,224.5,6009,223.3,223.7,223.3,223.65,1291,238.0,221.15,238.0,221.15
2025-01-29,224,224.5,222.85,224.4,3783,222.05,222.05,221.85,222,604,222.3,222.65,222.2,222.35,2880,227.85,221.5,227.85,221.4
2025-01-30,220.95,223.45,220.05,221.95,9441,217.95,218.8,217.5,218.8,14782,219,219.4,218.8,219,3428,227.25,217.1,227.25,217.1
2025-01-31,217.5,218.15,209.05,210.95,38161,219.95,220,219.85,219.95,36979,220,220,219.65,220,6927,225.55,205.4,225.55,205.4
2025-02-01,219,221.15,218.88,221.15,3449,229.7,229.71,228.5,228.5,11171,226.79,227.5,226.7,226.8,1544,235.99,216.77,235.99,216.77
2025-02-03,226,226,223,223,10863,224.88,225.3,224.68,224.79,10178,224.95,224.95,224.5,224.94,2358,226.7,221.16,226.7,221.16
2025-02-04,224.01,227.03,224.01,225.6,1466,232,232.6,232,232.44,4704,231.49,232,231.48,231.48,3215,233.38,222.67,233.38,222.67
2025-02-05,231.21,232.98,230.02,232.08,2960,224.06,224.06,223.86,223.86,5521,223.99,224,223.9,223.91,2097,232.98,223.86,232.98,223.5
2025-02-06,225.3,226.89,225.27,225.3,8056,218.96,219.83,218.63,219.07,8560,218.4,218.43,218.1,218.13,2783,226.89,218.32,226.89,218.1
2025-02-07,218.9,218.9,215.25,215.82,24113,214.1,214.49,213.92,214.08,3636,213.71,213.8,213.71,213.8,6292,219.25,208.66,219.25,208.66
2025-02-10,212.82,213.5,211.65,211.65,3024,208.1,208.1,207.9,208,571,207.1,207.5,207,207.49,3384,213.5,206.28,213.5,206.28
