date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,376.35,382,376.35,378.45,135672,377.5,377.5,377.05,377.1,4550,377.65,377.65,377.5,377.6,25618,382.0,375.55,382.0,375.55
2025-01-02,378.4,379.4,376.3,376.85,23250,376.95,376.95,376.4,376.65,8092,377.2,378,377.15,377.35,5822,379.6,376.3,379.6,376.3
2025-01-03,377.25,377.8,376.15,377.25,18552,377.85,377.95,377.5,377.75,4137,378.15,378.45,378.15,378.4,4297,381.2,375.25,381.2,375.25
2025-01-06,378.2,378.65,377.05,378.2,20609,375.7,375.7,375.55,375.7,2932,375.2,375.5,375.2,375.5,7647,381.0,375.05,381.0,375.05
2025-01-07,375.5,377.3,375.5,376.5,8471,377.6,378,377.45,377.75,10665,377.6,377.95,377.5,377.5,3485,378.0,375.2,378.0,375.2
2025-01-08,377.6,377.85,377.1,377.15,2257,377.4,377.5,377.15,377.35,5222,377.75,377.75,377.25,377.25,1262,377.85,376.35,377.85,376.35
2025-01-09,377.05,377.8,376.75,377.25,11050,376.85,376.9,376.8,376.8,2976,376.6,376.65,376.5,376.65,1570,378.5,376.5,378.5,376.5
2025-01-10,376.7,377.15,376.7,376.85,896,376.9,376.95,376.8,376.85,486,376.65,376.65,376.6,376.65,1754,377.5,376.15,377.5,376.15
2025-01-13,377,378.9,376.55,378.1,39783,376.95,376.95,376.7,376.9,6269,376.7,376.8,376.7,376.8,273,378.9,376.55,378.9,376.55
2025-01-14,378,378.6,377.2,378.4,5294,377.55,377.55,377.5,377.55,1239,377.5,377.55,377.5,377.5,2077,378.9,377.2,378.9,377.2
2025-01-15,377.8,377.8,377.55,377.55,511,377.6,377.6,377.5,377.5,1533,377.55,377.55,377.5,377.5,970,377.8,377.0,377.8,377.0
2025-01-16,377.75,380.95,377.75,378.9,53920,377.9,377.9,377.8,377.9,3303,378.95,379.2,378.95,379.05,2196,380.95,377.65,380.95,377.65
2025-01-17,378.5,380.85,378.2,378.55,29957,379.1,379.15,379.05,379.15,1372,378.95,379.2,378.95,379.1,15491,380.85,377.7,380.85,377.7
2025-01-20,379.75,379.95,378.2,378.2,5512,378.95,379,378.8,378.9,1002,379.25,379.9,379.25,379.9,55394,379.95,365.3,379.95,365.3
2025-01-21,375,377.45,374.55,377.45,15648,348.4,349.15,347.8,348.9,21021,348.4,348.4,348,348.25,11508,378.8,347.1,378.8,347.1
2025-01-22,345,346.4,340.35,340.4,93572,320.45,321.25,320.05,320.85,64930,319.7,319.7,319.1,319.4,7831,346.4,303.4,346.4,303.4
