date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,1834.3,1845.3,1834.3,1843.2,14692,1843.1,1843.1,1841.7,1842.4,18444,1852.9,1834.3
2025-01-02,1847,1853.8,1845.4,1851.1,33049,1913.3,1915.1,1913,1914.4,66878,1921.1,1845.4
2025-01-03,1911.6,1911.6,1902.3,1906.3,43196,1898.1,1898.4,1897,1897,58786,1911.6,1881.3
2025-01-06,1910.7,1915.2,1903.8,1915.2,60692,1897.1,1898.9,1896.6,1898.1,48593,1931.2,1887.2
2025-01-07,1903.8,1917.1,1903.8,1915.7,60935,1888.6,1890.8,1887.9,1890.5,30273,1917.1,1882.9
2025-01-08,1889.1,1889.1,1874.8,1876.1,114463,1894.9,1895,1891.4,1891.4,29212,1897.5,1848.7
2025-01-09,1893.1,1903.9,1888.2,1903.8,143567,1875.1,1877.3,1875,1877.3,33034,1910.5,1870.1
2025-01-10,1896,1920.9,1895,1916.9,295754,1930,1931.9,1929.6,1931.9,41640,1935.9,1891.3
2025-01-13,1914.6,1917.7,1908,1916.1,121642,1923.5,1923.6,1921.7,1922.1,65873,1940.8,1907.7
2025-01-14,1927.1,1930,1917.5,1917.8,67719,1897.9,1898.9,1897,1897.9,39020,1930.0,1890.2
2025-01-15,1905.8,1910.5,1896.1,1896.7,59216,1906.8,1907.1,1906.5,1907.1,29151,1916.6,1896.1
2025-01-16,1924.3,1925.3,1912,1916.6,118063,1882.6,1882.6,1877.1,1881,138707,1925.3,1876.2
2025-01-17,1811.8,1818.6,1795.4,1796.1,792060,1776.6,1777.1,1775.5,1776.9,190753,1818.6,1773.6
2025-01-20,1788.7,1789.2,1778,1778.3,157390,1775.2,1776.2,1774.6,1775.3,49991,1789.2,1755.2
2025-01-21,1780.5,1783.6,1775.6,1780.5,60548,1764.8,1765.7,1764.5,1765.1,38546,1792.9,1755.1
2025-01-22,1769.1,1786.1,1766.9,1782.2,83710,1820,1820.1,1819.7,1819.9,46695,1826.3,1766.9
2025-01-23,1818.6,1827.9,1813.5,1824.3,65229,1824.8,1825.3,1823.8,1825,34618,1839.7,1813.5
2025-01-24,1826,1832.3,1824.8,1831.1,32017,1835.3,1836,1835.3,1836,24550,1854.8,1824.8
2025-01-27,1809.6,1812.2,1802,1809.3,79654,1782.4,1783.1,1781.8,1782.3,31728,1823.5,1773.6
2025-01-28,1791.2,1805.9,1791.2,1805.9,115358,1793,1793,1790.8,1790.8,29265,1824.0,1786.2
2025-01-29,1805.9,1814.7,1805.9,1814.6,66736,1840.6,1841.6,1840.6,1841.2,36913,1848.6,1801.5
2025-01-30,1833.5,1847.2,1833.5,1836,52054,1822.7,1825.7,1822.7,1825.3,55225,1847.2,1804.9
2025-01-31,1831.4,1849.9,1831.4,1849.3,53243,1840.2,1840.2,1840,1840.1,38130,1857.3,1831.4
2025-02-01,1840.5,1850.6,1838.4,1841.8,15420,1807.9,1809.3,1806.9,1807.9,21325,1850.6,1806.9
2025-02-03,1797.1,1815.3,1797.1,1805.1,66160,1823,1824,1822.5,1822.8,36882,1836.8,1793.6
2025-02-04,1849,1868.9,1849,1861,131109,1858.1,1858.4,1856.9,1858.2,50520,1870.7,1835.3
2025-02-05,1865.6,1876.3,1864.7,1868.4,85704,1858,1858,1857.1,1857.9,103742,1879.0,1854.2
2025-02-06,1876.4,1883.2,1871.8,1879.7,116840,1875.9,1876.1,1875.8,1876.1,32113,1883.2,1859.8
2025-02-07,1878.6,1883,1869.8,1873,165230,1865,1865,1864,1864.6,33316,1883.0,1849.4
2025-02-10,1864.7,1864.7,1856,1857.6,116298,1840,1840.9,1839.5,1840.5,47112,1864.7,1839.0
2025-02-11,1843.2,1853.1,1843.2,1850.3,36565,1837.4,1839.9,1837.4,1838.8,43726,1862.7,1830.4
2025-02-12,1845.1,1853.9,1842.1,1849,84240,1824.3,1825,1823.1,1823.1,43723,1854.5,1807.9
2025-02-13,1828.9,1833.8,1826.7,1832.9,61721,1805.7,1805.9,1805.6,1805.7,35016,1833.8,1796.8
2025-02-14,1814.7,1818.3,1804.2,1810.8,100592,1818.2,1818.5,1818.2,1818.5,18444,1819.6,1789.6
2025-02-17,1799.6,1813.5,1799.1,1806.4,134450,1804.1,1804.3,1802.4,1802.5,16247,1813.5,1783.6
2025-02-18,1803.3,1807.9,1799.1,1806.8,17154,1811.2,1811.3,1810.1,1810.5,16728,1822.2,1798.7
2025-02-19,1808.3,1810,1798.1,1806.2,24859,1774,1774,1773.4,1773.6,27148,1810.0,1767.6
2025-02-20,1767.3,1779.9,1767.3,1772.1,64121,1787.8,1787.9,1786.9,1786.9,20123,1792.2,1767.3
2025-02-21,1783.2,1787.2,1781.6,1783.8,22218,1779.4,1780.6,1779.3,1780.2,15969,1791.1,1767.9
2025-02-24,1761.9,1768.7,1761.9,1761.9,38008,1728.9,1729,1727.5,1728.7,33596,1769.7,1713.2
2025-02-25,1708.2,1728,1708.2,1727.3,148757,1730.7,1733,1730.7,1732.3,37127,1740.8,1708.2
2025-02-27,1718,1728.6,1718,1719.8,62884,1727.3,1727.3,1726.3,1726.9,51724,1738.2,1714.0
2025-02-28,1717.9,1717.9,1703.1,1705.2,81318,1654.5,1656,1653.5,1654.8,235761,1717.9,1646.8
2025-03-03,1656.5,1680.5,1656.5,1677.5,132425,1670.8,1670.8,1669.1,1670.6,62327,1692.0,1656.5
2025-03-04,1659.1,1663,1644.8,1649,185985,1653.6,1654,1653.5,1653.9,34893,1663.0,1634.6
2025-03-05,1656.6,1672,1656.6,1667.6,70789,1674.7,1674.8,1674.3,1674.4,51679,1696.2,1656.6
2025-03-06,1678.7,1682.4,1665,1666.2,174558,1678.9,1679,1677.8,1678.1,52904,1685.8,1655.3
2025-03-07,1667,1668.9,1650.4,1654.9,139773,1650.8,1650.8,1649.8,1649.8,55019,1668.9,1640.0
2025-03-10,1650.3,1656.2,1645.1,1648.6,121941,1668.4,1668.9,1667.1,1667.7,49667,1682.6,1640.7
2025-03-11,1644.4,1644.4,1616,1623.3,360238,1626.6,1626.9,1625.8,1626.5,81158,1644.4,1602.4
2025-03-12,1602.2,1602.2,1580,1586.2,189797,1552.3,1555.3,1552.3,1554.5,98218,1602.2,1530.7
2025-03-13,1565.4,1572,1563.7,1563.7,226708,1547.9,1548.4,1545.8,1546,75526,1572.0,1537.0
2025-03-17,1512.4,1542.9,1512.4,1535.8,199470,1556.7,1558.3,1556.6,1558.2,40003,1560.1,1512.4
2025-03-18,1563.8,1564.2,1552.8,1556.5,136581,1576.3,1576.7,1576.3,1576.6,29708,1577.4,1548.8
2025-03-19,1569,1569,1552.9,1556.1,191366,1552.8,1552.9,1552.5,1552.9,61693,1569.0,1539.5
2025-03-20,1558.3,1570,1558.3,1570,143122,1580.7,1581.6,1580.5,1581.5,39324,1597.3,1558.3
2025-03-21,1544.5,1544.5,1530.5,1535.4,350264,1558.9,1559.1,1558.2,1558.4,164926,1569.9,1530.5
2025-03-24,1564.1,1568,1558.8,1559.6,137573,1559.7,1559.7,1558.7,1559,32408,1573.1,1539.4
2025-03-25,1571,1579.6,1571,1579.6,248563,1592,1593.8,1591.6,1593.7,92453,1601.5,1571.0
2025-03-26,1591.6,1591.6,1582.8,1585.4,72513,1566.3,1566.3,1566,1566,31669,1603.1,1561.2
2025-03-27,1561.8,1572,1561.8,1567.4,130819,1569.5,1571.3,1569.4,1570.3,114218,1585.6,1552.4
2025-03-28,1556.3,1564.6,1556.3,1559.6,114918,1536.9,1537.2,1536,1536.6,71593,1564.6,1536.0
2025-04-01,1506.6,1514.6,1493.7,1505.2,776583,1495.6,1496.2,1494.7,1495.8,79990,1514.6,1485.7
2025-04-02,1502.7,1513.9,1502.7,1512.3,137294,1517.2,1517.2,1516.5,1516.9,41822,1522.7,1502.7
2025-04-03,1502.1,1502.1,1473.1,1485.8,250014,1466.2,1466.4,1466,1466,90735,1502.1,1453.6
2025-04-04,1429.6,1435.9,1429.1,1431.1,429682,1422.4,1422.4,1421,1421.3,57000,1440.8,1417.3
2025-04-07,1323.4,1350.8,1316.7,1316.7,911257,1364.6,1364.8,1363.4,1364.3,90541,1371.8,1279.3
2025-04-08,1400.7,1414.4,1400.7,1407.4,337015,1398.4,1398.4,1397,1398.4,75576,1425.7,1385.0
2025-04-09,1375.3,1379.6,1352.6,1360.6,464560,1375,1375.2,1374.5,1375,36686,1379.6,1352.6
2025-04-11,1381.4,1403.8,1381.4,1402,681188,1380.3,1381.2,1379.7,1380.1,144338,1408.3,1367.5
2025-04-15,1415,1417,1393.5,1395.7,211094,1395,1396.8,1394.9,1396.8,79015,1417.0,1379.2
2025-04-16,1394.8,1397.3,1367.2,1378.2,289162,1381.9,1382.9,1381.7,1382.9,92035,1397.3,1367.2
2025-04-17,1368.4,1370.3,1358.6,1360.4,377417,1388.2,1388.4,1387.2,1387.4,32580,1392.0,1349.1
2025-04-21,1380.1,1431,1380.1,1428,1178615,1418.3,1420.2,1418.3,1420,189662,1440.6,1380.1
2025-04-22,1409.5,1409.5,1393.8,1396.4,310415,1391.3,1392.7,1391.2,1392.4,93144,1409.5,1389.2
2025-04-23,1415.4,1423.2,1409.1,1420.7,574054,1441.8,1441.9,1441.6,1441.8,52627,1456.3,1409.1
2025-04-24,1438.8,1441.8,1430.5,1439.6,159088,1439.5,1440.5,1439.1,1440.2,38247,1451.5,1430.5
2025-04-25,1444.2,1453.5,1441.8,1449.8,114207,1448.1,1448.7,1447.8,1448.6,78090,1469.9,1432.5
2025-04-28,1448.8,1458,1445.3,1453.9,87294,1450.7,1450.9,1450.6,1450.7,138093,1458.0,1434.3
2025-04-29,1450.6,1452.7,1444.8,1452.3,43836,1464.2,1464.4,1464,1464.2,43733,1477.8,1442.9
2025-04-30,1465.1,1469.7,1462.7,1468.1,77683,1471.8,1471.9,1470,1470.3,91399,1476.8,1461.4
2025-05-02,1467.9,1483.8,1466.1,1481.1,159574,1473.1,1473.8,1472.4,1473.6,45181,1490.9,1464.5
2025-05-05,1482.9,1487.8,1479.3,1481.1,35294,1476.5,1476.5,1475.7,1475.8,22888,1490.7,1471.0
2025-05-06,1474.1,1480,1474.1,1480,35524,1479.9,1479.9,1479,1479,31706,1483.5,1467.3
2025-05-07,1468.2,1474.1,1464.9,1472,94482,1476.5,1477.6,1476.3,1476.9,85570,1486.6,1464.9
