date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,129.56,129.94,128.96,129.39,8579,130.13,130.14,129.81,130.05,39256,130.99,127.6
2025-01-02,130,130.04,129.55,129.93,13700,132.75,132.97,132.67,132.72,56235,133.53,129.55
2025-01-03,133,133.84,133,133.33,40086,130.39,130.39,129.81,130.14,65279,135.22,129.81
2025-01-06,130.21,130.21,129.26,129.5,53886,120.83,120.83,120,120.45,89273,130.21,120.0
2025-01-07,122.6,123.7,122.4,123.3,63047,124.25,124.25,124.05,124.19,37996,125.2,121.8
2025-01-08,124.39,124.69,123.91,124.5,65200,121.86,121.99,121.83,121.9,20826,124.84,119.51
2025-01-09,121.88,121.94,121.23,121.85,28472,122.88,123.2,122.88,123.2,28353,123.98,121.23
2025-01-10,123,123,122.01,122.47,52705,118.23,118.27,118.03,118.19,41745,123.0,117.5
2025-01-13,114,114.8,113.17,113.38,156974,113.33,113.34,112.39,112.4,71497,117.74,111.66
2025-01-14,114.5,114.87,113.81,114,22607,116.49,116.96,116.47,116.8,42435,117.49,113.2
2025-01-15,117.8,119.8,117.8,119.8,30647,117.73,117.86,117.34,117.51,49204,119.8,116.33
2025-01-16,118.9,120.43,118.9,120.16,38027,119.48,119.54,119.23,119.48,7428,120.9,118.88
2025-01-17,119.6,119.6,117.96,118.32,15861,117.26,117.44,116.93,117.44,15503,119.6,115.92
2025-01-20,117,118.27,117,117,58215,120.29,120.74,120.17,120.65,19827,122.58,116.88
2025-01-21,120.35,120.9,119.73,119.73,22830,116.21,116.21,115.6,115.9,27247,121.48,115.6
2025-01-22,116.39,117.24,114.76,114.76,43946,113.22,113.29,113.04,113.2,20952,117.24,111.05
2025-01-23,113.15,113.72,112.75,113.18,28463,114.2,114.3,114.03,114.3,13473,116.31,112.75
2025-01-24,114.5,114.9,114,114.2,28619,110.35,110.42,110,110.35,36683,115.49,110.0
2025-01-27,108.2,108.97,108.09,108.3,16384,107.81,107.85,107.7,107.8,11739,108.97,105.5
2025-01-28,107.75,108.84,107.75,108.55,24194,107.21,107.4,107.15,107.29,10172,109.4,103.07
2025-01-29,102.31,102.32,98.43,98.88,386360,108.65,110.89,108.62,110.6,308756,110.89,95.28
2025-01-30,108.7,108.7,106.94,107.41,129065,106.49,106.5,106,106.27,65911,109.95,105.68
2025-01-31,107,108.18,106.97,106.97,86405,110.31,110.45,110.19,110.28,12759,110.95,106.61
2025-02-01,109.91,110.13,109,110.13,13650,112.2,112.59,112.18,112.2,12788,114.9,109.0
2025-02-03,110.1,110.11,107.15,107.6,57936,106.99,106.99,106.43,106.65,33649,110.9,106.3
