date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,1324,1340,1313.45,1340,62551,1312.15,1314.5,1311.05,1313.3,7287,1340.0,1290.5
2025-01-02,1312,1312,1298.9,1300.85,1835,1273,1275,1273,1273.35,2699,1312.0,1268.5
2025-01-03,1290,1290,1278,1284.5,4705,1279.3,1279.75,1278.15,1279.15,703,1312.5,1275.8
2025-01-06,1294.75,1294.85,1276.05,1278.15,3138,1235.9,1238.7,1235,1237.65,2007,1294.85,1226.0
2025-01-07,1237.95,1259.15,1230.2,1256.65,14212,1259.25,1260,1258.45,1260,736,1284.0,1226.15
2025-01-08,1261.2,1262.95,1257.6,1259.3,1459,1246,1250,1245.6,1249.3,1048,1262.95,1234.15
2025-01-09,1243.55,1243.55,1232.1,1241.4,338,1252.25,1253.85,1249,1250.4,1640,1260.0,1232.1
2025-01-10,1247,1250.95,1244.05,1247.5,679,1205.8,1205.8,1203.35,1204.3,723,1251.6,1201.25
2025-01-13,1182.05,1190,1182.05,1182.9,459,1173.55,1173.55,1168.55,1169.35,2333,1191.1,1141.25
2025-01-14,1165,1166.7,1150.05,1163.35,1066,1163.1,1164.95,1162.45,1162.55,668,1179.9,1150.05
2025-01-15,1170,1172,1166.1,1168.35,370,1174.9,1178,1174.9,1178,1114,1186.8,1154.95
2025-01-16,1180.95,1188.65,1180.95,1188.45,170,1191.25,1194.8,1191,1191,2865,1213.4,1169.05
2025-01-17,1201,1205,1190,1191.2,3160,1176.35,1176.45,1175.45,1176.25,442,1206.35,1174.15
2025-01-20,1176.9,1177.95,1156.55,1159.7,1363,1191.3,1192.7,1191.05,1192.15,519,1197.9,1152.65
2025-01-21,1195,1195,1188.55,1191.95,740,1125.8,1127.05,1122,1124.25,2931,1195.0,1121.5
2025-01-22,1121.6,1130.9,1121.6,1126.1,1077,1111.3,1112,1111.3,1111.95,710,1134.95,1105.0
2025-01-23,1111.3,1111.3,1100.05,1103.55,648,1105.35,1105.95,1105.15,1105.45,475,1135.0,1099.05
2025-01-24,1124.95,1135.45,1115,1115,10720,1054.9,1055.65,1053.65,1054.8,2375,1135.45,1052.0
2025-01-27,1055.15,1058,1022.55,1025.55,6867,1022.2,1022.45,1020,1020.8,2952,1058.0,1005.9
2025-01-28,1037.65,1037.65,1030,1034.7,1971,1018.95,1019,1018,1018,1244,1039.05,976.15
2025-01-29,1001.2,1009.3,1001.2,1006.9,4248,1048.75,1049.95,1045.35,1048.1,2715,1055.75,1001.2
2025-01-30,1048.55,1054.15,1048.55,1049.35,777,1034.4,1035.8,1031.15,1035.8,1368,1065.8,1018.3
2025-01-31,1021.25,1028.3,1021.25,1028.15,147,1055.35,1056.4,1053.6,1055,1257,1059.95,1021.25
2025-02-01,1060.75,1068.4,1060.75,1068.4,271,1026.95,1026.95,1023.95,1025,387,1084.2,1012.5
2025-02-03,1016.5,1022.05,1011.05,1011.05,1288,1000.1,1000.65,997.85,999.7,2613,1025.0,979.05
2025-02-04,1015,1022.7,1013.15,1013.15,1032,1023.6,1023.6,1015.9,1016.45,3988,1031.65,999.95
2025-02-05,1010,1022.4,1009.55,1016.2,2768,1041.85,1043.05,1041.3,1043.05,746,1046.05,1001.45
2025-02-06,1040.35,1049.45,1040.35,1043.65,217,1049.95,1050.85,1049.95,1050.2,879,1063.0,1040.35
2025-02-07,1045,1053.95,1045,1052.15,1086,1040,1040.75,1035.85,1038.35,3446,1054.95,1019.0
2025-02-10,1042.05,1048.95,1029,1029,1269,1027.9,1029.25,1026.7,1028.25,788,1048.95,1016.5
2025-02-11,1031.15,1031.15,1027.55,1030.35,474,983.7,985.3,983.6,985.3,1115,1031.15,980.15
2025-02-12,1000.95,1007.5,986.5,987.8,2661,965.6,967,965.2,965.2,2237,1007.5,941.5
2025-02-13,967.95,982.1,966.55,982.1,1428,981.6,981.6,979.95,981.3,1888,994.55,966.55
2025-02-14,980.9,991.7,957.8,958.05,8216,881,881.15,878.3,881.15,14931,991.7,852.6
2025-02-17,880.95,880.95,856,859.85,15937,923.25,925.7,923.25,924.4,8111,944.9,845.3
2025-02-18,925,925,909.95,925,2078,900.8,901.95,900.2,901.3,1185,928.65,888.0
2025-02-19,904.05,904.05,891.5,895.65,3596,941.3,941.85,938.9,939.15,1827,944.8,891.5
2025-02-20,940.8,940.95,932.55,939.55,2383,925.6,925.6,924.05,925.2,1937,948.0,916.05
2025-02-21,931.35,949.5,929.05,948.75,5090,919.65,919.65,917.3,918.5,1569,964.0,915.2
2025-02-24,913.1,924,903.05,910.4,11013,928.35,928.45,927.45,927.45,800,936.85,892.75
2025-02-25,930.05,930.05,918.1,919.65,1763,904.05,904.4,902.85,903.35,1741,930.05,901.3
2025-02-27,915.05,916.35,897,897.05,2804,901,901.9,901,901.6,1267,916.35,884.0
2025-02-28,887.55,889.05,882,884.1,1006,879.8,880.75,876.7,878.7,26967,898.0,856.5
2025-03-03,879,886.9,860.3,861.15,3115,840.25,841.5,838.2,840.25,11159,886.9,830.0
2025-03-04,836,840.55,829.8,830.45,3807,844.65,844.9,844.3,844.9,1088,857.2,821.3
2025-03-05,847.45,855.75,846.15,854.35,1989,900.65,901.25,900,900,5052,915.0,846.15
2025-03-06,902.45,922.55,898.4,921.6,4121,911.95,912.4,908.05,912.4,20341,979.0,890.95
2025-03-07,950,973.1,945.75,957.05,189186,930.95,934.35,930.6,931,67856,978.0,921.0
2025-03-10,926,940.5,919.55,938.65,20806,908.7,909.3,906.3,908,4563,945.0,903.55
2025-03-11,899,909.15,880,898.75,14834,876.55,876.55,873.35,875.45,7541,909.15,868.0
2025-03-12,885.65,889.35,874.7,874.7,4872,876.65,877.05,876,877.05,1285,899.45,872.15
2025-03-13,877.1,884.4,875.05,876.5,4121,855.45,857.7,855.15,857,1610,884.4,852.75
2025-03-17,865,865.95,860.45,862.5,1315,874.2,874.95,873.95,874.5,1361,876.25,854.0
2025-03-18,875,883.35,875,881.1,3659,905.15,908.15,901.5,907.25,6838,946.0,875.0
2025-03-19,914.4,917.95,907.1,917.95,2954,921.4,923.2,920.85,921.3,1816,926.1,907.1
2025-03-20,935,938.3,929.15,932.75,1504,939.5,939.8,937.05,937.05,2946,944.0,913.0
2025-03-21,940.5,942.5,933.35,934.85,4562,977.2,980.2,976.7,978,27469,983.9,928.25
2025-03-24,975,981.6,970.5,980,2942,982.85,983,981.95,982,1278,992.0,968.2
2025-03-25,995,1008.85,991.65,1002.95,5992,1020.65,1020.7,1017.5,1020.6,8678,1035.0,991.15
2025-03-26,1021,1024.7,1000.15,1012.95,17025,1000.75,1001.55,997.1,1000.95,8993,1069.1,997.1
2025-03-27,1000,1002.5,994.15,1000,5414,974.6,976.2,966.6,966.6,15494,1078.85,891.7
2025-03-28,987.75,998.6,987.75,992.45,4560,975,975.45,974.1,974.55,6502,1009.45,968.85
2025-04-01,974.5,976.3,971,973.25,4406,982.95,984.6,982.85,983,352,986.65,962.35
2025-04-02,980,983.4,976.85,977.75,1217,972.15,974.7,970.85,974.25,1761,984.3,961.5
2025-04-03,970,970,960,961.1,4343,959.55,960,958.25,959.4,1869,981.0,957.0
2025-04-04,950.85,957,949.05,950.15,2744,933.35,933.35,932.05,932.15,1047,959.65,924.0
2025-04-07,788,849.45,786.3,849.45,17605,866.9,868.8,865.95,868.8,1576,879.9,786.3
2025-04-08,886.15,892.5,885,887.25,4577,877.6,877.6,875,875.4,3322,898.0,868.0
2025-04-09,882.55,884.4,878.3,884.4,2282,889,889,885.65,886.8,3250,892.85,856.0
2025-04-11,903.45,907,901.35,901.35,1370,896,896,895.95,896,2572,908.7,889.7
2025-04-15,905.2,920.45,905.2,920.45,3077,939,939,937.7,938,12675,958.8,905.2
2025-04-16,938.9,940.35,930.35,930.35,6825,930.9,932,930.9,932,2906,948.9,926.15
2025-04-17,931.9,934.6,930.65,934.6,733,931.7,931.75,931,931.5,626,943.55,922.05
2025-04-21,942.8,945.35,937.2,937.2,1075,1004.6,1007,1002,1006.8,30816,1018.75,928.15
2025-04-22,1031.5,1036.9,1016.9,1022.35,26398,991.55,992.8,990.25,992.35,6317,1036.9,989.0
2025-04-23,996.15,999.2,991,994.25,1593,987,988.2,987,987.8,303,1003.4,976.05
2025-04-24,995.45,997.5,984.5,987.35,5352,985.75,985.9,984.55,985.75,292,1005.0,979.15
2025-04-25,989.8,995,984.9,984.95,2465,944.1,945.3,944.1,944.9,278,995.0,938.55
2025-04-28,945,947.7,942.2,947.4,1190,949.05,951.8,948.5,951.6,581,961.6,933.55
2025-04-29,958,962,955.25,960,1227,959.5,967.75,959.5,967.75,5956,968.45,948.55
2025-04-30,966.7,971.7,960.1,966.95,5611,968.3,968.85,966.4,967.7,2629,982.35,950.25
2025-05-02,974.95,981.8,974.95,976.55,3132,967.95,969.75,967.95,968.7,216,986.6,952.3
2025-05-05,967.95,972.3,961.45,962.05,2015,965,965,964.55,964.85,891,975.3,951.6
2025-05-06,960.1,972,960.1,971.6,818,921.4,922.6,921.4,922.4,2011,973.0,917.05
2025-05-07,899,918.3,892.5,918.3,4401,974.7,983.9,973.7,981.5,12276,983.9,892.5
2025-05-08,961,979.65,961,971.75,2048,948.85,949.1,948.15,949.1,178,988.8,945.3
