date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,1468,1468,1458.5,1462.75,3744,1493.15,1493.65,1492.4,1492.6,3132,1493.55,1494,1492,1493.8,3060,1499.25,1458.5,1499.25,1458.5
2025-01-02,1500,1500,1486.05,1496.55,6708,1484.65,1485.5,1484.05,1485.4,1586,1486.05,1486.05,1486,1486,1733,1500.0,1472.9,1500.0,1472.9
2025-01-03,1488.9,1493.95,1484.55,1489.1,8288,1450.4,1450.4,1448.6,1449.25,13095,1446.95,1448,1446,1447,2676,1493.95,1446.55,1493.95,1444.0
2025-01-06,1454.65,1458.8,1449.05,1458,7361,1444.95,1444.95,1442,1443.25,7418,1443.95,1444.1,1438,1441.55,3149,1465.9,1437.55,1465.9,1437.55
2025-01-07,1451.95,1455,1446.05,1453.4,9166,1473.3,1473.4,1472.7,1473,1238,1471.25,1471.25,1469.25,1470.05,3124,1483.85,1443.25,1483.85,1443.25
2025-01-08,1471.2,1473,1460,1462.1,3951,1428.35,1428.35,1424.05,1425.1,5611,1424.7,1425,1424.6,1425,3437,1473.0,1418.0,1473.0,1418.0
2025-01-09,1435,1435.95,1424.15,1431.3,6573,1428.25,1428.45,1426.55,1427,2555,1429,1430,1428.6,1428.6,3133,1454.6,1413.85,1454.6,1413.85
2025-01-10,1399.95,1399.95,1374.05,1385.25,54244,1368.85,1369.3,1366.6,1368.85,10095,1368.5,1368.5,1365,1365,7829,1399.95,1357.95,1399.95,1357.95
2025-01-13,1352,1360,1343,1350,15221,1303.95,1304.5,1303.35,1304.35,7249,1314.95,1314.95,1311.05,1312.55,3274,1381.85,1302.55,1381.85,1302.55
2025-01-14,1316.95,1324.2,1314.25,1314.7,11805,1322.3,1322.3,1320.8,1320.8,2046,1327.65,1327.8,1325.05,1327.4,2360,1335.0,1307.0,1335.0,1307.0
2025-01-15,1343.8,1351.85,1337.65,1349.5,7202,1340.05,1341.25,1340,1340.85,2241,1340.8,1340.8,1339.1,1340.5,2298,1370.0,1312.5,1370.0,1312.5
2025-01-16,1379,1379,1357.5,1361.4,12009,1319.1,1319.1,1317.1,1319.05,5798,1322.95,1323,1321,1321.5,3187,1379.0,1312.5,1379.0,1312.5
2025-01-17,1327,1327.6,1315.1,1317.1,10606,1313,1313.3,1312.05,1313.3,3396,1315.1,1316.15,1312.15,1315,5112,1327.6,1300.0,1327.6,1300.0
2025-01-20,1329.8,1332.45,1319.15,1324,7934,1335.75,1336.25,1335,1336.2,3211,1329.45,1329.45,1328.25,1328.85,3377,1344.0,1305.9,1344.0,1305.9
2025-01-21,1330,1330,1321.3,1322.8,7568,1312.75,1312.9,1312.55,1312.8,2643,1314.25,1314.25,1313.5,1314.1,4037,1339.0,1304.0,1339.0,1304.0
2025-01-22,1320,1326.4,1317.3,1323.9,5783,1295.8,1295.95,1294,1294,7582,1294.95,1295,1294,1295,3931,1326.4,1268.95,1326.4,1268.95
