date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,4737.4,4751.95,4735,4742,318,4701.85,4701.85,4699,4701.15,345,4769.9,4695.15
2025-01-02,4697,4730,4692,4692,1147,4798.9,4801.6,4797.8,4799.65,575,4803.35,4680.0
2025-01-03,4800.05,4844.35,4800.05,4821.2,1394,4788.05,4788.05,4779.3,4783.8,935,4879.8,4779.3
2025-01-06,4800.05,4811,4784,4795.5,1371,4755.5,4756.5,4751.3,4756.45,465,4829.0,4716.75
2025-01-07,4770.05,4813.7,4770.05,4805,728,4872.2,4872.75,4867.4,4871.9,1275,4896.6,4770.05
2025-01-08,4872.35,4884.95,4860.45,4869.55,874,4910,4911.95,4907.85,4909.9,424,4916.75,4812.0
2025-01-09,4901.6,4916.75,4890.05,4909.3,562,4871.95,4874.7,4866.65,4874.7,938,4970.0,4866.65
2025-01-10,4835,4949.7,4824.95,4941.2,5200,4932.1,4933.85,4925.7,4930.85,1407,5024.0,4821.55
2025-01-13,4900.2,4924.75,4879.1,4906,1366,4843,4848.2,4842.55,4845.9,442,4969.8,4817.55
2025-01-14,4853.1,4886.4,4847.65,4886.4,2086,4699,4699,4696.35,4698.55,409,4904.95,4686.25
2025-01-15,4717,4748.45,4660.8,4707.3,4031,4846.2,4846.45,4841.5,4845.7,725,4924.45,4660.8
2025-01-16,5021.5,5288.8,5021.5,5232.05,81645,5235.9,5239.75,5233.3,5236.7,5170,5336.9,5021.5
2025-01-17,5195,5240,5181.3,5208.7,14517,5369.05,5376,5367.65,5376,6893,5420.2,5181.3
2025-01-20,5374.3,5400,5373.95,5379.95,7513,5374.2,5375.3,5371.75,5374,343,5410.6,5303.35
2025-01-21,5373.3,5398,5373.3,5397.2,1411,5382.5,5382.5,5377.2,5380.9,565,5458.45,5359.45
2025-01-22,5380,5380,5357,5358.75,1426,5390.65,5392.75,5388,5390.8,202,5400.0,5290.45
2025-01-23,5380,5399.95,5340.55,5399.95,1341,5450,5451.4,5444.4,5450,1215,5509.0,5340.55
2025-01-24,5460,5468.55,5428.35,5430.65,1662,5434.7,5438.8,5431.75,5438.8,676,5485.0,5392.0
2025-01-27,5360.05,5400,5343.05,5343.05,3025,5247.85,5251.35,5247.85,5250.5,348,5400.0,5240.05
2025-01-28,5230,5287.5,5230,5280.95,1547,5118.65,5119.45,5111.85,5114.55,1169,5315.85,5108.9
2025-01-29,5144.95,5222.95,5144.95,5211.45,3177,5343.1,5347.9,5341.75,5341.75,1044,5358.95,5144.95
2025-01-30,5350,5369.65,5350,5360.45,335,5410.95,5416.5,5405.55,5415.05,352,5427.0,5299.55
2025-01-31,5410.65,5443,5408.4,5416.25,1355,5450.45,5450.45,5442.6,5442.6,1022,5463.8,5325.0
2025-02-01,5420.5,5441.95,5420.5,5441.95,245,5418.5,5419.4,5414.95,5415,96,5448.75,5359.55
2025-02-03,5325,5339.95,5296.55,5297.65,1138,5493.1,5498.75,5493.05,5493.5,1916,5498.75,5273.6
2025-02-04,5525,5571,5520.45,5559.95,3401,5532.4,5532.9,5528.4,5530,257,5571.0,5440.2
2025-02-05,5560,5568.8,5530.75,5549.5,1394,5613.2,5615,5608.5,5615,414,5639.8,5523.85
2025-02-06,5645,5645,5620.05,5625.55,1178,5523.1,5528.95,5523.1,5528.95,134,5645.0,5482.0
2025-02-07,5549,5549,5520.6,5536.45,505,5604.45,5604.45,5598.05,5598.05,180,5621.0,5493.15
2025-02-10,5597.8,5609.95,5566.65,5566.75,1177,5509.45,5519.95,5504.35,5511.25,835,5609.95,5462.95
2025-02-11,5507.25,5549,5497.7,5506.65,954,5281.45,5282.4,5279.05,5280.35,59,5549.0,5221.45
2025-02-12,5279.4,5304.9,5262.6,5287.1,1121,5109.15,5111.45,5105,5109.4,1098,5322.0,5040.0
2025-02-13,5100,5130.5,5072.1,5117.5,1778,5019.25,5024.75,5019.25,5024.6,765,5189.45,4992.15
2025-02-14,5082.25,5082.25,5044.5,5060.8,1060,4949.85,4949.85,4946.65,4947.95,196,5082.25,4929.85
2025-02-17,4958.3,4958.3,4797.6,4866.65,7697,4818.55,4818.55,4810.05,4814.15,1709,4964.95,4794.0
2025-02-18,4824,4850.95,4824,4843.2,552,4932.45,4932.45,4925.65,4925.65,485,4949.9,4804.0
2025-02-19,4895.05,4926.95,4890.15,4897.95,344,4868.95,4871.9,4868.95,4870.15,120,4951.3,4827.1
2025-02-20,4871.3,4920,4851.05,4873.9,696,4917.25,4918,4915.2,4918,30,4927.6,4836.0
2025-02-21,4996.95,5108.7,4990.4,5101,13530,5119.7,5121.6,5115.65,5119.75,1321,5159.0,4990.4
2025-02-24,5033,5070.3,5031.9,5058.9,2048,4891.15,4891.55,4878.05,4884.15,3090,5070.3,4812.65
2025-02-25,4885.6,4899.95,4840.75,4865.3,1661,4730.95,4730.95,4726.1,4729.25,1057,4899.95,4726.0
2025-02-27,4727,4754.85,4702.6,4704.8,1918,4642.35,4651.85,4642.35,4651.85,148,4754.85,4614.55
2025-02-28,4609.5,4645.65,4591.35,4599.5,1678,4531.6,4534.25,4529.35,4533.95,1540,4645.65,4475.65
2025-03-03,4530.1,4568.7,4525.05,4542.7,1051,4560.15,4560.15,4560,4560.15,608,4576.5,4468.0
2025-03-04,4451.15,4508.15,4451.15,4487.15,3923,4567.7,4568.6,4563.2,4565,794,4579.5,4431.7
2025-03-05,4448.45,4565.95,4448.45,4530.85,3009,4754.2,4757.55,4753.2,4757.5,1834,4757.55,4448.45
2025-03-06,4788.95,4803.9,4760,4772.4,1108,4862.45,4862.45,4855.05,4859.25,539,4879.75,4754.15
2025-03-07,4838.2,4842.4,4783.5,4783.5,720,4816.05,4816.05,4810.75,4813.55,559,4847.85,4778.15
2025-03-10,4823,4859.55,4720.1,4836.8,1243,4653.75,4653.75,4648,4650.85,101,4859.55,4648.0
2025-03-11,4569.1,4572.1,4504.2,4564.7,3664,4638,4644.95,4635.8,4640.5,1508,4644.95,4504.2
2025-03-12,4634.05,4634.05,4600,4600,305,4387.95,4389.2,4386,4388,614,4634.05,4353.3
2025-03-13,4427.8,4451.95,4406,4406.1,2514,4377.55,4381,4377.1,4380.45,1236,4451.95,4317.55
2025-03-17,4385.55,4397.95,4365,4379.05,1362,4447.8,4450,4446.4,4446.45,774,4463.5,4365.0
2025-03-18,4465,4475.4,4456.5,4456.5,1615,4610.95,4612.45,4610.95,4611.3,326,4623.0,4456.5
2025-03-19,4622.55,4622.6,4582.75,4586.9,2086,4644.65,4644.65,4639.55,4643,587,4664.0,4527.35
2025-03-20,4679.05,4690,4651.35,4652.75,1568,4658.75,4658.75,4650,4651.05,438,4751.95,4613.05
2025-03-21,4550,4592.8,4476.25,4539,6016,4677.9,4682.8,4677.7,4682.8,898,4724.0,4476.25
2025-03-24,4734,4734,4680.45,4706.1,1040,4570.9,4575.1,4570.05,4572,809,4734.0,4530.0
2025-03-25,4610.95,4625,4609.15,4625,3021,4625.4,4628.85,4615.75,4616.5,2009,4729.45,4593.25
2025-03-26,4625.05,4641.4,4581,4626.1,771,4520.55,4520.55,4513.55,4517,356,4665.35,4494.35
2025-03-27,4482,4521,4427.25,4427.35,10962,4442.95,4447.7,4441.6,4447.65,4947,4567.9,4422.55
2025-03-28,4480,4530.2,4464,4504.9,2112,4500.85,4504.7,4496.05,4504,688,4600.0,4431.1
2025-04-01,4487.75,4503.95,4480.85,4496.35,3406,4563.5,4563.5,4557,4559.05,809,4599.85,4480.85
