date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,1600,1612.5,1598.9,1612.5,922,1626,1626,1625,1626,145,1622,1622,1617,1620.9,474,1632.45,1594.6,1632.45,1594.6
2025-01-02,1625,1629.95,1622.6,1629.55,999,1638,1638.95,1635.6,1638.95,304,1637.85,1641,1636,1636.15,480,1655.7,1615.85,1655.7,1615.85
2025-01-03,1645,1645,1641.15,1641.35,361,1631.8,1631.8,1631.4,1631.8,360,1628.5,1628.95,1621,1627,786,1657.95,1620.7,1657.95,1620.7
2025-01-06,1640,1652,1635,1652,1526,1648.05,1650,1647.7,1648.35,814,1649.95,1655,1648.25,1655,1232,1663.0,1635.0,1663.0,1635.0
2025-01-07,1660,1664.4,1655,1661.7,975,1656.2,1657,1655.6,1657,340,1656,1656.4,1650,1652,447,1666.95,1647.65,1666.95,1647.65
2025-01-08,1654.1,1657,1650,1657,312,1661.5,1661.5,1660.35,1660.95,117,1657.9,1660,1657.7,1657.9,569,1665.0,1647.0,1665.0,1647.0
2025-01-09,1659,1667.5,1657,1666.2,1034,1656,1657.05,1654.4,1656,107,1654.2,1660,1654.2,1657,512,1694.8,1650.0,1694.8,1650.0
2025-01-10,1651,1665.3,1651,1662.05,3319,1640.4,1642,1639.75,1640.3,363,1642,1643,1636.45,1641.95,100,1665.3,1630.1,1665.3,1630.1
2025-01-13,1606,1653,1606,1652.5,2106,1626.6,1627,1625.5,1627,791,1630.4,1630.4,1621,1621,979,1658.95,1606.0,1658.95,1606.0
2025-01-14,1628.15,1650.05,1628.15,1649.95,1497,1650.45,1652.7,1650.15,1652.05,467,1647,1650,1647,1650,267,1653.4,1628.15,1653.4,1628.15
2025-01-15,1648.05,1648.05,1639.4,1640,305,1631.9,1632,1630.3,1632,426,1632.85,1635.8,1632.85,1635.55,424,1648.05,1626.55,1648.05,1626.55
2025-01-16,1640,1640,1638,1640,3545,1650.25,1651.8,1650.25,1651.45,681,1650.6,1650.75,1650.5,1650.5,1072,1670.75,1631.0,1670.75,1631.0
2025-01-17,1650.6,1650.6,1633.15,1640.35,2763,1649.85,1650.8,1649.85,1650.05,1106,1654.65,1655.35,1649,1654.9,2904,1733.8,1633.15,1733.8,1633.15
2025-01-20,1652,1653.9,1645.55,1645.55,1744,1650.95,1651,1650.9,1651,44,1650.05,1651.85,1650,1651,2914,1655.0,1644.3,1655.0,1644.3
2025-01-21,1652.25,1655.3,1645,1651.25,807,1655.65,1655.7,1652.8,1652.8,47,1655.85,1655.85,1652,1654.25,879,1659.0,1645.0,1659.0,1645.0
2025-01-22,1640,1658.9,1640,1650,1190,1660,1660.65,1660,1660.25,1092,1660.05,1660.15,1660,1660,1544,1664.4,1638.05,1664.4,1638.05
