date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,718.8,729.65,718.8,729.65,7855,754.55,754.75,753.6,753.85,9333,756.8,718.8
2025-01-02,746,749.8,743,744.6,6197,758.4,759.55,758.1,758.95,4855,764.05,738.7
2025-01-03,760,761.8,754,757,3668,759.25,759.4,757.85,758.85,3950,770.9,754.0
2025-01-06,761.6,762.8,755.3,762.8,8430,732,732.7,731,732.45,6387,768.3,718.05
2025-01-07,737,737.35,733.1,733.1,5253,721.95,722.15,721.1,722,2078,737.5,721.1
2025-01-08,722.75,726.2,721,722.45,5409,700,702.1,698.05,700,35170,726.2,698.05
2025-01-09,701.4,701.5,692.35,695.3,28314,675.15,676.6,674.8,676.6,3715,701.5,674.5
2025-01-10,675,675.95,665.6,670.1,21004,666.85,666.85,665.85,665.95,9531,679.85,663.05
2025-01-13,666,666,657,659.7,8398,635.1,635.5,634.95,635,10746,671.25,633.75
2025-01-14,638.85,643.95,635.05,643.85,19609,634.95,635.2,634.1,634.65,2137,656.0,630.95
2025-01-15,644,649,640.05,647.9,5366,660.8,660.9,660,660.6,7508,673.7,640.05
2025-01-16,664.85,670,660,661.2,16773,686.45,686.5,685.55,685.7,10079,690.35,658.8
2025-01-17,685.5,685.6,677.4,677.65,4530,687.25,688.3,686.7,687.25,3772,695.0,677.4
2025-01-20,687.75,689,673.45,674.25,26520,688.65,688.75,687.7,688.35,4256,693.45,671.85
2025-01-21,689.7,691.7,683.45,683.85,3185,659.15,661.2,658.05,660.65,6400,691.7,653.05
2025-01-22,663,664,655.85,660.35,14861,643,643,642.5,643,7319,664.0,641.25
2025-01-23,641,642,633.2,638.9,13839,654.85,655.4,653.7,654.9,12461,663.0,633.2
2025-01-24,640,650,638.15,646.7,20514,620.05,621.8,620,621,13101,650.0,616.05
2025-01-27,615.8,616.95,605.15,611.6,8624,580.05,580.35,578.8,580,10475,616.95,574.1
2025-01-28,581.9,582.7,574.1,576.85,15442,571.75,571.75,569.95,571.1,10192,582.7,549.75
2025-01-29,567.25,578.35,567.25,577.35,22795,574,574,572.3,573,13708,588.95,567.25
2025-01-30,567,568.75,563.05,567.7,7274,573.05,573.05,573,573.05,1433,582.2,561.25
2025-01-31,579.8,579.8,571.15,572.4,4734,583.3,583.4,581.75,582.4,9377,590.6,571.15
2025-02-01,589,589,584,586,2814,583.9,584.9,583.75,584.9,2571,592.95,559.25
2025-02-03,582,582.05,570,572.95,12376,569.75,570.45,569.6,570.45,2241,582.05,560.2
2025-02-04,573.8,577.1,572.65,575,6401,581.5,581.8,580.65,581,7443,587.15,569.1
2025-02-05,583,593.05,583,591.2,12500,629.5,630.75,629.5,630.25,23937,632.6,583.0
2025-02-06,630,630.3,618.5,619.35,21112,605.3,605.6,605,605.05,12160,630.3,597.05
2025-02-07,610,611.25,602.25,603.05,11886,600.35,600.4,599.1,599.1,3080,611.25,591.9
2025-02-10,599.65,602,596.7,596.7,8512,578.45,581.75,578,581.25,14174,602.0,572.4
2025-02-11,574,576.1,568.35,568.7,6435,540.9,540.9,540,540,9348,576.1,538.05
2025-02-12,540.6,541.7,530.65,530.65,21245,552.1,553.2,551.5,551.9,5810,558.75,516.05
2025-02-13,553.65,561.4,553,561.3,4923,548.5,549.6,548.5,549.4,4200,566.0,546.25
2025-02-14,555.3,555.95,552.6,553.45,7159,517.45,519,517.45,518.85,13422,555.95,516.05
2025-02-17,510,514.4,507.15,507.15,11176,521.3,521.8,520.8,520.95,2647,525.55,503.55
2025-02-18,521.8,522.9,518.2,521.65,7035,513.8,514.35,512.85,514.25,9147,522.9,504.9
2025-02-19,511.4,511.7,502.1,508,7947,521.65,521.65,520.6,521.4,7696,532.9,502.1
2025-02-20,523.35,526.85,519.6,525,13397,537.25,538.05,536,536.1,3634,542.0,519.6
2025-02-21,538.8,543.75,538.65,543.75,3805,530.5,531,530,530.25,12232,551.05,528.2
2025-02-24,520,527.55,520,526.75,5553,529,529,528.35,528.75,3745,544.6,513.2
2025-02-25,530,532.1,528.85,530.3,4829,534.35,535.55,533.75,535,6026,544.0,526.4
2025-02-27,538,540.7,536.6,536.9,10228,523.55,523.85,522.75,523.6,4059,540.7,520.05
2025-02-28,520,520.9,516.95,518.25,5838,513.2,514.45,511.9,513.35,8058,524.35,509.05
2025-03-03,512,518.45,512,516.75,5145,515.7,517.05,515.6,516.95,2685,520.0,499.95
2025-03-04,513.9,515.5,510.8,512.7,10642,518.9,518.9,518.45,518.5,1311,526.0,506.35
2025-03-05,520,522.65,518.85,518.85,4876,537.4,537.5,537.25,537.5,10849,541.4,516.8
2025-03-06,540.55,542.7,536.7,541.45,11051,536.3,536.4,536,536.3,9108,543.6,532.4
2025-03-07,531,536.15,530,532.85,8453,527.95,528.55,527.8,528.55,6499,540.8,527.2
2025-03-10,530,533.6,529.25,532.25,3408,520.95,522.05,520.25,520.4,6727,533.8,519.0
2025-03-11,501,510.55,501,510.3,6593,532,532.8,531.8,531.9,12774,546.0,501.0
2025-03-12,530.05,535,530.05,533.7,11962,524.6,525.4,524.5,524.55,6661,537.7,515.0
2025-03-13,524.05,526,523,523,4849,524.35,524.35,523.05,523.5,13439,539.6,519.2
2025-03-17,525.05,525.05,522.25,523.05,2412,541,541,540.45,540.45,4694,543.75,521.0
2025-03-18,541,547.2,541,546,8198,544.55,544.6,544.15,544.25,2987,548.1,538.05
2025-03-19,546,549.85,544,549.85,12084,561.05,562.05,560.85,562,7858,569.3,544.0
2025-03-20,579.35,583.55,565.15,566.1,20533,558.4,558.4,558.35,558.4,10348,583.55,555.65
2025-03-21,555.15,558.15,554.3,557.65,8805,562.05,564.75,562.05,564.75,50221,583.0,554.3
2025-03-24,570,571.8,567.15,568.05,13906,590.45,590.8,590,590.2,9926,593.45,565.15
2025-03-25,594.95,597.95,594.95,597.8,14158,602.25,602.55,600.75,601.6,14311,603.35,580.55
2025-03-26,605.05,607.7,598.75,607.7,20382,590.3,590.3,589.95,590.25,1755,609.75,585.0
2025-03-27,580.05,582.25,573.55,580.65,19910,590.25,590.25,590,590,2152,594.9,573.55
2025-03-28,589.8,595.8,589.8,593.45,4850,579.65,580.5,579.5,579.6,12061,596.75,574.0
2025-04-01,582.55,582.55,573,574.3,5902,567.1,567.45,567,567.2,6241,582.55,565.2
2025-04-02,575,583.65,575,578,12518,595.4,595.75,594.25,594.8,15172,596.0,563.8
2025-04-03,586.4,592,583.15,592,16726,583.5,583.5,583,583,4285,593.3,581.5
2025-04-04,584,588.45,580,582.2,7245,565.05,565.35,563,563.75,9520,588.45,560.65
2025-04-07,498.05,526.05,498.05,522.25,14072,531,531.35,531,531.25,4893,536.85,498.05
2025-04-08,548.65,566.25,548.6,555.4,14120,556.3,556.35,555.85,555.9,3945,568.7,530.1
2025-04-09,555.55,555.55,548.5,549.1,19253,527.3,527.3,525.6,526.05,11539,555.55,525.6
2025-04-11,545,545,531.35,531.4,21752,550.5,550.7,550,550.65,4302,556.65,524.1
2025-04-15,556.9,561.75,556.9,561.75,22959,581.1,581.9,581.1,581.45,9999,583.65,556.9
2025-04-16,581.3,582.4,572.2,575.25,15483,581.15,581.4,581,581,7512,588.25,572.2
2025-04-17,581,583.15,580.35,581.1,7868,592.1,592.7,591.5,592.45,3338,600.0,578.6
2025-04-21,598,607.4,598,607.4,41208,634,634,632.75,632.95,16270,647.7,596.25
