date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,3246.3,3251.1,3238.2,3249.85,798,3279.85,3280.45,3277.7,3279.9,144,3291.1,3202.15
2025-01-02,3282.55,3295,3282.55,3285.1,170,3299.6,3301.35,3299.6,3301.35,135,3309.9,3239.65
2025-01-03,3301.7,3312.3,3300.05,3308.9,179,3360.4,3361.2,3359.1,3359.3,99,3369.0,3288.1
2025-01-06,3375,3384.95,3364,3364,1931,3347.8,3350,3344.8,3349.05,556,3384.95,3319.05
2025-01-07,3350,3387.5,3333.75,3380.75,708,3474.5,3477.45,3474.5,3476.95,471,3507.2,3333.75
2025-01-08,3480,3518.2,3479.95,3514.75,5632,3495.2,3495.5,3492.7,3495.45,241,3518.2,3427.2
2025-01-09,3590.3,3795.65,3590.3,3762.65,69313,3817.5,3824.35,3817,3823.25,13286,4017.1,3590.3
2025-01-10,3650,3742.95,3635.55,3719.5,35263,3633.35,3637,3629.4,3631,6370,3747.2,3591.1
2025-01-13,3624.9,3624.9,3594.15,3613.3,2137,3614.85,3620,3612.35,3619.05,2213,3673.9,3580.65
2025-01-14,3619.55,3650.6,3619.55,3645,2223,3633,3633.35,3630.5,3633.35,290,3672.0,3570.05
2025-01-15,3631.85,3659.95,3631.85,3638.55,854,3710.25,3715.35,3709.15,3711.5,2061,3723.0,3590.1
2025-01-16,3739.4,3755.85,3736.2,3745.85,2850,3767.5,3767.5,3764.2,3767.3,564,3790.95,3716.3
2025-01-17,3779.6,3786,3751.35,3760.8,1143,3755.9,3755.9,3753.25,3754.75,412,3822.15,3720.0
2025-01-20,3785.55,3795.1,3755.1,3755.1,2332,3777.05,3779.6,3776.4,3779,844,3795.1,3704.45
2025-01-21,3798,3798,3756.35,3787.5,2120,3790.85,3800,3786.45,3800,11197,3851.0,3756.35
2025-01-22,3814.65,3814.65,3758.5,3763.1,4844,3690.85,3692.4,3689.7,3691.3,982,3814.65,3611.2
2025-01-23,3687.1,3687.1,3601.7,3669.9,1806,3775.95,3775.95,3771.7,3771.7,383,3792.0,3601.7
2025-01-24,3763.05,3763.05,3735.35,3744,2220,3710,3710,3706.15,3710,324,3772.05,3690.1
2025-01-27,3684.75,3684.8,3655.15,3670,504,3602.55,3603.2,3598.5,3600.95,375,3684.8,3594.0
2025-01-28,3600,3613,3578.75,3601.5,734,3563.25,3567.3,3562.75,3564.35,145,3620.25,3524.65
2025-01-29,3502,3545.25,3502,3535,617,3741,3744.15,3740.15,3741,2374,3774.8,3502.0
2025-01-30,3776,3783,3761.15,3761.15,2746,3903.5,3906.5,3901,3901,2111,3930.0,3746.7
2025-01-31,4195.35,4200,4066,4140.7,118733,4149.65,4150.5,4146,4146.75,5860,4299.05,4066.0
2025-02-01,4121,4138.15,4116.35,4125.9,3504,4124.4,4127.45,4121.6,4125.05,631,4184.0,4038.65
2025-02-03,4132,4132.65,4059.5,4114.5,3453,4169.65,4172.1,4167.7,4168.95,1740,4253.9,4059.5
2025-02-04,4175,4201.7,4138.9,4138.9,5576,4201.65,4205,4201,4202.55,520,4214.95,4085.0
2025-02-05,4230,4232,4216.55,4216.55,1426,4251.55,4252.8,4248.55,4251.85,796,4260.0,4171.05
2025-02-06,4277,4287,4259.65,4261.5,1020,4249.5,4253,4247.3,4252.25,601,4289.0,4222.3
2025-02-07,4164.25,4262,4164.25,4257.3,2417,4222.5,4223.15,4218,4221.1,65,4270.0,4164.25
2025-02-10,4221.45,4239.95,4200.05,4208.7,568,4211.05,4211.05,4204.5,4207.5,496,4250.5,4159.55
2025-02-11,4208.75,4210.4,4182.2,4200.75,267,4058.35,4061.8,4056.4,4061.8,247,4216.2,4053.0
2025-02-12,4000,4059,4000,4058.3,1569,4097.35,4104.65,4094.05,4104.15,1728,4127.2,3930.95
2025-02-13,4150,4160,4124.15,4142.95,3784,4106.7,4110.15,4103.15,4103.7,1797,4160.0,4021.35
2025-02-14,4100.1,4108.45,4074.65,4074.65,2631,4015.3,4016.95,4012.15,4013.85,75,4108.45,3959.9
2025-02-17,4016.1,4016.1,3955.5,3984.8,1223,4106.75,4106.75,4101.8,4104.1,556,4124.05,3955.5
2025-02-18,4148.1,4150,4108.05,4148,2064,4086,4086.95,4081.05,4085.9,279,4162.95,4076.6
2025-02-19,4044.25,4084.95,4020.15,4072.25,3159,4044,4045,4043.85,4045,2576,4088.8,4018.05
2025-02-20,4044.55,4068.3,4028.1,4054.2,1787,4045.05,4045.7,4043.15,4043.15,175,4107.85,4022.1
2025-02-21,4024,4059.55,4013,4059.55,379,4037.05,4037.85,4033.5,4036.9,2979,4060.0,3940.3
2025-02-24,3986.35,4009.9,3976,4009.85,1105,3904.9,3906.75,3903.55,3904.35,167,4018.0,3897.65
2025-02-25,3915.1,3959.75,3915.1,3946.75,2020,3796.3,3803.95,3792.45,3803.8,1039,3959.75,3792.45
2025-02-27,3780,3799.95,3768,3786.55,882,3774.05,3777.75,3772.5,3777.75,1697,3808.0,3605.0
2025-02-28,3773.7,3773.7,3624.75,3734.8,3333,3773.8,3777.15,3770,3777.15,2017,3814.75,3624.75
2025-03-03,3750,3762.3,3706.35,3706.35,2052,3834.35,3834.35,3820.05,3832.35,1500,3858.75,3566.0
2025-03-04,3810,3811.95,3785.9,3803.65,713,3902.75,3904.7,3900,3900.05,764,3910.0,3728.35
2025-03-05,3880,3937.2,3880,3937.2,755,4058.3,4063,4058.3,4060.35,1224,4063.0,3880.0
2025-03-06,4075,4109.95,4065,4108.25,939,4122.75,4124,4117.65,4120.55,531,4136.55,4065.0
2025-03-07,4149,4150,4104.8,4112.55,1214,4077,4078.45,4068.85,4072.7,820,4195.0,4068.85
2025-03-10,4115.3,4179.3,4115.3,4161.7,878,4089.5,4089.5,4082.2,4083.95,496,4249.0,4056.8
2025-03-11,4080.5,4080.5,4024.2,4024.2,797,4115,4124,4115,4122.35,671,4124.0,3975.0
2025-03-12,4170,4170,4137.6,4141.85,868,4103.55,4105,4100.15,4105,314,4190.0,4084.0
2025-03-13,4124,4130,4080.05,4080.05,556,4128.2,4132,4128.2,4132,226,4137.9,4042.75
2025-03-17,4129.5,4137.95,4108.1,4108.1,218,4154.25,4154.25,4153.9,4154.25,801,4200.4,4060.6
2025-03-18,4151.35,4164.6,4147.35,4153.6,320,4160.05,4161.95,4158,4159.65,541,4210.0,4132.25
2025-03-19,4145,4145.5,4112.55,4112.55,443,4073.95,4076.05,4071.95,4074.5,540,4145.5,4044.0
2025-03-20,4072.5,4113.8,4072.5,4099.2,859,4180,4181.85,4179.95,4181.25,301,4187.5,4044.05
2025-03-21,4170,4225,4164.2,4209.95,2712,4253.75,4253.75,4245.65,4247.6,1094,4288.0,4164.2
2025-03-24,4275,4310.85,4275,4285.2,1494,4198.5,4198.8,4192.75,4198.1,518,4310.85,4184.0
2025-03-25,4198,4228,4198,4225.25,427,4199.7,4200,4195.85,4199.55,474,4240.0,4120.0
2025-03-26,4224,4224,4180.85,4194.6,522,4200,4200,4196.45,4197.9,174,4260.35,4180.85
2025-03-27,4166.2,4219.45,4164.95,4213.15,1725,4219.9,4222.9,4216.9,4222.9,321,4267.0,4164.95
2025-03-28,4253.1,4253.15,4238.15,4245.7,89,4213.55,4214.6,4211.8,4212.1,922,4381.0,4180.15
2025-04-01,4204,4244.4,4180.05,4210.05,2094,4198.85,4199.05,4196,4199,164,4244.4,4180.05
2025-04-02,4180,4235,4180,4204.25,640,4246.7,4250.4,4246.65,4250.35,611,4255.0,4125.15
2025-04-03,4247.6,4297.65,4220.85,4284,6646,4188.9,4193.8,4183.8,4193,1636,4337.45,3955.0
2025-04-04,4170,4177.2,4138.35,4170.15,2637,4072.7,4076.5,4070.75,4075.95,252,4199.95,4031.1
2025-04-07,3700,3764.85,3670.6,3764.85,3081,3870.75,3886.25,3870.75,3884.7,1478,3894.35,3670.6
2025-04-08,3910,3968,3910,3967.4,765,3854.95,3854.95,3852,3852,520,3970.2,3725.0
2025-04-09,3873.55,3887.95,3862.7,3887.95,525,3980,3980,3978.6,3980,824,3990.0,3842.4
2025-04-11,4010,4048.95,3961.2,3961.2,6009,4097.5,4098,4094.3,4097.35,456,4190.0,3959.45
2025-04-15,4116.8,4148.8,4110,4144.2,1644,4170,4173.3,4161.6,4168.5,1721,4244.9,4110.0
2025-04-16,4192.4,4242,4170,4230.2,1260,4269.8,4269.8,4260,4263.2,255,4290.0,4170.0
2025-04-17,4286.6,4294.4,4262.1,4289.9,699,4250.2,4252.2,4246,4251.9,289,4314.8,4243.7
2025-04-21,4232.5,4241.2,4225.4,4232.3,555,4207.4,4208.1,4203.3,4206.2,283,4255.5,4199.0
2025-04-22,4230,4238.9,4218.7,4238.9,194,4272,4272,4271.6,4271.7,162,4349.0,4207.0
2025-04-23,4315.1,4315.9,4275.1,4292.1,1060,4312,4312,4301.1,4305.4,1335,4324.0,4265.0
2025-04-24,4325,4345,4285,4302.6,1264,4350,4353.9,4346.1,4353.6,259,4475.0,4285.0
2025-04-25,4369.8,4439.7,4330,4433,1802,4447.9,4451.1,4443.4,4447,3984,4562.1,4330.0
2025-04-28,4470.9,4506.4,4470,4506.4,3837,4444.4,4444.4,4440.3,4440.3,730,4535.0,4425.5
2025-04-29,4448.7,4482.8,4435,4445,1828,4506.1,4508,4500,4507.7,836,4549.0,4338.1
2025-04-30,4501,4503.4,4470.1,4470.1,536,4517,4520.1,4517,4520,1346,4549.0,4411.7
2025-05-02,4484,4535.9,4484,4535.9,1792,4527.5,4538,4526.2,4537.4,1981,4610.0,4453.3
2025-05-05,4549.9,4609.3,4549,4600.7,1565,4651.9,4652.1,4649.7,4650,3361,4704.5,4549.0
2025-05-06,4640,4640,4609,4609,1218,4639.8,4639.8,4634.9,4634.9,204,4666.5,4585.3
2025-05-07,4550,4612.5,4536.6,4612.5,804,4648.4,4657.8,4647.4,4649.8,1818,4674.5,4502.8
2025-05-08,4680,4725.7,4676.9,4706.2,1952,4541.8,4541.8,4519.5,4535.2,1124,4725.7,4519.5
2025-05-09,4525,4536.6,4450.1,4509.5,2161,4591,4591,4588.1,4590.9,182,4670.0,4450.1
2025-05-12,4745,4748,4701,4737.6,19878,4434.1,4443.9,4434,4441.4,3557,4748.0,4420.0
2025-05-13,4435,4469.5,4407,4411,5483,4321.1,4329.8,4321.1,4329.8,2071,4469.5,4316.1
2025-05-14,4351.7,4363.4,4305,4305,4279,4274,4278.9,4274,4275.5,2335,4363.4,4248.0
2025-05-15,4300,4321.8,4286.8,4286.8,2425,4282.9,4289,4282.9,4289,542,4360.0,4280.0
2025-05-16,4340,4340,4292,4297.9,1475,4244.4,4247.3,4243.6,4247.3,439,4343.4,4232.0
2025-05-19,4254.5,4280,4214.5,4215.4,1763,4314,4314.3,4311.1,4311.8,628,4323.4,4189.4
2025-05-20,4344,4348.5,4304.5,4304.5,1711,4308.2,4311.1,4307.8,4311,735,4388.0,4269.4
2025-05-21,4335.5,4345.9,4305.6,4324.9,1194,4268.9,4269.8,4259.2,4266.5,834,4350.0,4241.1
2025-05-22,4279,4295,4255.2,4259.6,342,4331,4340,4331,4331.8,645,4350.0,4225.3
2025-05-23,4320,4324,4301,4318.6,168,4287,4287,4284.7,4285.3,296,4340.0,4275.0
2025-05-26,4274.7,4303.5,4274.7,4285.2,401,4271.9,4274.9,4269.6,4273.9,945,4303.5,4245.0
2025-05-27,4275,4292,4275,4287.3,240,4256.6,4257.8,4251,4251,515,4329.0,4242.8
2025-05-28,4287.7,4290,4257.5,4286.3,699,4280.9,4282,4279,4279,477,4303.9,4241.0
2025-05-29,4300.9,4310,4290,4298.3,508,4318,4318,4315,4317.9,482,4324.9,4266.0
2025-05-30,4316.3,4342.9,4316.3,4335.9,734,4264.8,4264.8,4259.8,4262.4,2947,4434.0,4242.8
2025-06-02,4262.1,4268.4,4225,4244.7,1452,4372.3,4372.3,4369.1,4371.9,355,4402.0,4225.0
2025-06-03,4401,4420.7,4396.6,4407.1,1308,4412.7,4417.6,4409.1,4411.1,123,4475.9,4364.4
2025-06-04,4425,4433.9,4411.7,4427.6,452,4439.4,4440,4435,4435,756,4460.0,4411.7
2025-06-05,4434.7,4455,4431.1,4451.9,346,4486.9,4487.8,4481.4,4481.4,609,4494.7,4431.1
2025-06-06,4484.9,4492.8,4471.2,4471.2,332,4435,4435.7,4435,4435.7,111,4492.8,4425.0
2025-06-09,4439.9,4459.5,4439.9,4450.1,303,4415,4416.3,4413.8,4415.6,349,4459.5,4373.0
2025-06-10,4410,4426.9,4410,4419.7,132,4382.7,4385.1,4380,4385.1,282,4469.9,4370.0
2025-06-11,4377.3,4391,4348.2,4359.2,968,4393.8,4397.1,4393.8,4394.5,94,4427.9,4348.2
2025-06-12,4418.5,4445.9,4418.5,4428.4,446,4535,4540,4522,4528.4,3399,4598.4,4410.1
2025-06-13,4480,4480,4441.8,4447.5,1307,4539.8,4539.8,4531.2,4533,5403,4585.0,4441.8
2025-06-16,4564.9,4575,4556,4557,1058,4521.9,4521.9,4518.6,4520.5,475,4575.0,4465.0
2025-06-17,4580,4679.5,4568.1,4659.9,15185,4714.6,4714.7,4707.2,4709.4,5844,4794.3,4568.1
2025-06-18,4721.9,4744.9,4694.1,4744.9,4048,4738.4,4742,4738.4,4740.8,1723,4795.5,4680.0
2025-06-19,4740,4740,4698.5,4705.8,813,4640,4640,4627.7,4627.7,1424,4759.2,4627.7
2025-06-20,4606.2,4659.2,4600,4631.1,2178,4680.6,4684.4,4680.6,4684.2,463,4714.9,4600.0
2025-06-23,4660,4676.5,4643.7,4663,607,4638.2,4641.7,4632.9,4638.7,212,4712.0,4629.6
2025-06-24,4695,4695,4652,4665.4,442,4627.7,4634.8,4626.5,4631.8,1521,4695.0,4515.2
2025-06-25,4614,4661.2,4614,4624,637,4700,4700,4698.2,4699.6,1487,4774.0,4614.0
2025-06-26,4719.9,4742.9,4719.9,4732.4,362,4687.6,4688.8,4686.4,4687,104,4747.0,4659.8
2025-06-27,4698,4700.5,4690.9,4694.2,74,4816.6,4830.1,4816.6,4830.1,2472,4899.0,4683.1
2025-06-30,4835.3,4889,4835.3,4883.7,2287,4810.8,4819.8,4803,4819.2,756,4922.0,4791.1
2025-07-01,4849.9,4888,4844.2,4888,2748,4892.6,4893.9,4885.6,4893.9,1381,4995.0,4844.2
