date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-11-14,242,248,234.17,239.73,3944220,251.07,251.3,247.3,248.95,605575,284.0,234.17
2025-11-17,252.67,259.4,252.17,256.7,1104449,240.29,242.7,239.9,242.5,276302,262.0,238.1
2025-11-18,240.54,246.85,240.51,246,437412,241.2,241.25,241.05,241.1,51357,250.0,235.5
2025-11-19,240.97,241.4,240.41,241.4,67975,241.6,241.69,241.05,241.17,13277,244.68,237.47
2025-11-20,238,241.87,238,241.35,63553,238.43,238.62,238.3,238.41,10784,241.87,235.1
2025-11-21,236.94,240.37,236.67,239.94,85342,236.31,236.4,236.08,236.4,15718,242.82,235.1
2025-11-24,233.31,234.94,230.53,233.88,46440,233.5,233.74,233.5,233.74,9370,236.49,230.53
2025-11-25,232,238.69,232,235.12,200199,246.4,246.43,246.17,246.23,20292,248.53,232.0
2025-11-26,245.05,245.07,241.68,242.79,34341,240.37,240.88,240,240.65,15294,245.1,239.45
2025-11-27,240,243,239.88,243,33246,242.02,242.23,242.02,242.22,14825,243.43,239.88
2025-11-28,242.09,242.7,241.26,242.7,10200,249.32,250.1,249.23,249.89,89622,252.64,239.25
2025-12-01,249,249.64,248.4,249.17,21417,244.8,245.54,244.75,245.08,12490,249.64,241.7
2025-12-02,245.65,246.19,244.5,246.19,7366,250.89,251.02,249.95,250.46,49245,254.64,242.2
2025-12-03,251.1,252,250.99,251.05,44359,247.5,247.64,246.83,247,24679,254.75,245.6
2025-12-04,249.99,254.06,248.85,252.98,992831,242.6,242.6,241.6,241.91,71678,254.06,241.6
2025-12-05,242,244.4,241.97,244.26,53862,247.8,248.02,247.36,247.5,18370,251.12,241.97
2025-12-08,243,247.15,242.54,245.85,59803,241.09,241.29,241.09,241.09,5956,248.44,239.91
2025-12-09,240,241.5,240,241.3,82044,242.81,242.94,242.76,242.88,27170,243.0,236.86
2025-12-10,244.38,245.78,243.82,245.08,19532,242.57,242.6,242.49,242.5,4307,246.08,240.08
2025-12-11,241.15,242,237.99,241.13,144210,240.41,240.5,240.33,240.49,583,242.46,237.99
2025-12-12,239.5,242.09,239.1,242.09,64965,238.09,238.09,237.32,237.32,3954,242.43,235.91
2025-12-15,236.1,236.99,235.38,236.99,22413,231.52,231.63,231.5,231.56,2017,237.0,231.16
2025-12-16,230,231.81,229,231.81,47161,225.89,225.89,225.63,225.67,2866,233.3,225.57
2025-12-17,227.2,227.2,226.2,226.45,8971,225.47,225.48,225.43,225.47,1123,227.2,219.5
2025-12-18,224.88,224.88,224.25,224.25,1613,223.6,223.81,223.6,223.7,6810,226.8,220.64
2025-12-19,223.99,225.22,223.99,225.22,2824,241.5,242.03,241.36,242,36851,245.9,223.99
2025-12-22,242,242.01,237.97,238.27,39163,232.24,232.24,231.78,231.8,7994,242.01,231.19
2025-12-23,236,236,234.48,234.48,25725,234,234.03,234,234,9348,237.9,232.0
2025-12-24,240,240.01,237.24,237.99,127007,236.7,236.92,235.48,236.7,37022,251.8,233.58
2025-12-26,235,237.8,235,235.96,39176,237.3,237.48,237.3,237.31,2869,239.64,235.0
2025-12-29,236.99,238.5,235.98,235.98,12456,235.6,235.6,235.23,235.59,8130,238.5,234.3
