date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,7285,7325,7264.2,7276.05,1577,7334.4,7341.2,7330.25,7330.25,890,7355.0,7202.8
2025-01-02,7341.4,7364.9,7341.4,7360,495,7386,7387.9,7383.1,7383.1,609,7440.0,7280.05
2025-01-03,7400,7438,7399,7407.15,1814,7194.85,7197.3,7191.95,7193,844,7438.0,7169.7
2025-01-06,7215,7235.55,7172.5,7180.7,1780,6937.9,6937.9,6930,6931.25,1159,7235.55,6925.6
2025-01-07,7009.9,7019.95,6968.9,7015.75,2276,7140,7152.35,7140,7151.45,1821,7190.0,6968.9
2025-01-08,7150,7150,7108.15,7108.15,1526,6899.7,6899.75,6894,6894.05,1233,7150.0,6820.05
2025-01-09,7000,7000,6884.75,6888.3,7981,6744.8,6749,6737.5,6749,2644,7000.0,6737.5
2025-01-10,6750.6,6760,6690,6715.7,4109,6550,6555.1,6541.25,6547.7,1291,6760.0,6500.0
2025-01-13,6451.05,6478,6425.45,6443.65,2503,6248.15,6255,6245.1,6255,2776,6537.3,6228.15
2025-01-14,6259.9,6335.65,6258.05,6335.65,7739,6470,6472.95,6456.4,6456.95,3937,6508.35,6185.55
2025-01-15,6500,6508,6464.6,6466.2,1492,6453.35,6453.35,6447.4,6447.55,994,6599.0,6390.15
2025-01-16,6522.3,6567.05,6522.3,6535.25,1187,6668.45,6668.45,6666,6667.95,781,6710.0,6522.3
2025-01-17,6592,6638.5,6592,6621.75,5439,6778.3,6783,6775.3,6783,1315,6824.0,6592.0
2025-01-20,6790.05,6807.45,6725,6742.05,4655,6799.05,6799.05,6796.95,6797.5,316,6825.0,6700.0
2025-01-21,6820,6821.6,6780.65,6785.15,2368,6557.1,6559.4,6545.8,6550.4,2145,6821.6,6526.35
2025-01-22,6597.9,6605.95,6535,6577,7454,6150.85,6164.9,6150.85,6158.35,7214,6605.95,5982.0
2025-01-23,6179.95,6209,6143.55,6198.95,19574,6249.95,6253.95,6248.9,6250,3104,6464.0,6143.55
2025-01-24,6293.9,6316.25,6255.9,6287.1,12268,5909.75,5920,5904.35,5919.2,8290,6407.85,5891.25
2025-01-27,5879.15,5879.15,5816.5,5839.65,15890,5645,5645,5641.75,5643.25,2109,5879.15,5590.05
2025-01-28,5650.95,5685,5634.5,5652.35,17833,5678,5678,5665.05,5668.9,4222,5760.0,5485.95
2025-01-29,5705.5,5739.75,5690.25,5710.35,3552,5832.15,5836.55,5826.75,5833.65,1324,5906.0,5690.25
2025-01-30,5870,5889.9,5822,5822,10656,5786.5,5786.5,5780.25,5781.95,1637,5889.9,5729.3
2025-01-31,5809.95,5811.05,5718.6,5754.05,13595,6032.45,6034,6022,6032.05,4727,6053.6,5718.6
2025-02-01,6080.95,6080.95,6007.6,6030,6999,5852.5,5856,5850,5855,1705,6080.95,5670.0
2025-02-03,5834.45,5849.85,5745.05,5831.75,12514,5857.6,5860,5856.05,5857.2,1123,5919.8,5745.05
2025-02-04,5866.7,5959.25,5860.05,5916.4,5704,5964.75,5965,5964.15,5964.15,6624,5987.0,5860.05
2025-02-05,6039,6039,5980.25,6006.95,4325,6038.55,6042.6,6038.55,6040.65,1229,6092.25,5964.55
2025-02-06,6058.4,6062.6,5990.2,6008.7,5741,5857.35,5858.9,5851.55,5856.95,1259,6062.6,5850.0
2025-02-07,5889.9,5898.95,5853.5,5862.05,4980,5875.05,5875.05,5865.3,5868.15,716,5950.0,5828.05
2025-02-10,5910.85,5910.85,5875,5875,1935,5640.5,5642.9,5640.15,5642.5,2183,5910.85,5616.95
2025-02-11,5655,5667,5615.95,5615.95,2174,5501.8,5505.4,5501,5504.55,1464,5667.0,5392.15
2025-02-12,5500.05,5513.85,5470.1,5513.85,2508,5638.05,5638.45,5637,5638,373,5706.0,5374.0
2025-02-13,5670,5698.4,5670,5687,2049,5548.15,5550.45,5547.05,5547.5,564,5704.75,5545.05
2025-02-14,5582.2,5597.95,5571.35,5586.05,3422,5421.55,5421.7,5419,5420,690,5597.95,5354.05
