date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,265,265,263.35,264.15,22744,258,258,256.5,257.35,86136,267.65,256.5
2025-01-02,260,260.8,257.2,258.3,50907,256.85,257.2,256.25,257,24737,262.7,253.0
2025-01-03,257.9,258.8,256.3,256.95,36446,254.8,254.95,254.05,254.5,39084,260.8,254.05
2025-01-06,255,255.65,252.9,253.85,41844,247.45,247.55,246.25,246.65,61083,255.65,244.2
2025-01-07,248.1,251.55,248.1,250.5,45463,250.3,250.4,249.7,250,45877,253.35,248.1
2025-01-08,252,252.5,250.5,251.9,23253,245.6,245.6,245,245.4,33751,252.5,245.0
2025-01-09,245.55,247.25,244.95,245.75,20196,236.45,236.55,234.85,235.4,78750,251.15,233.3
2025-01-10,237.15,238.95,235,235.15,76777,220,220.6,218.95,219.85,172995,238.95,218.0
2025-01-13,215.05,220.3,215,219.4,224213,232.9,233.25,232.6,233,322630,242.5,215.0
2025-01-14,236.95,241.1,236.15,237.45,286047,235.7,236.85,235.55,236.3,120170,241.1,224.5
2025-01-15,236.9,237.45,235.95,236.35,42407,230.65,230.8,230.15,230.7,36665,237.45,229.25
2025-01-16,233.9,235.95,233.6,234.65,61397,234.75,235.25,234.3,234.9,51483,236.9,232.75
2025-01-17,233.95,234,231.15,231.5,12944,230.5,230.5,229.8,230,31327,234.0,228.8
2025-01-20,232.8,234.1,230.3,231.05,39843,242.55,243.35,242.5,242.8,56672,244.45,229.4
2025-01-21,242.05,245.75,242.05,244.7,96569,241.45,241.45,240.5,241.1,55832,247.1,238.5
2025-01-22,241.6,243,240.55,240.55,61056,243.55,243.55,242.45,243.15,54758,244.15,236.65
2025-01-23,242.3,244.95,241.3,244.55,51943,239.7,239.8,238.8,239.3,68282,251.95,238.6
2025-01-24,239.7,240.45,237.3,238,59397,233.65,233.8,233,233,47598,240.45,230.35
2025-01-27,232.05,232.8,230.7,232.8,67899,224.2,224.3,223.3,223.7,78429,233.6,221.9
2025-01-28,226.45,226.85,224.5,225.1,36228,216.6,216.65,216.05,216.55,31553,227.15,211.3
2025-01-29,205.25,210.95,205.25,210.2,317814,239.5,243.85,239.5,242.25,284019,245.0,205.25
2025-01-30,236.45,237.55,233.4,233.4,110549,231.2,231.55,230.05,230.05,69560,241.35,230.0
